region_sheet,total_indicated,no_pork_population,share_no_pork_tradition
Республика Ингушетия,491137,486827,0.99122
Чеченская Республика,1510824,1487825,0.98478
Республика Дагестан,3134249,3005552,0.95894
Кабардино-Балкарская Республика,880911,679610,0.77149
Карачаево-Черкесская Республика,463268,327203,0.70629
Республика Башкортостан,4025367,2273837,0.56488
Республика Татарстан,3903367,2150333,0.55089
Астраханская область,815683,238599,0.29251
Республика Адыгея,446630,124941,0.27974
ХМАО,1264080,230988,0.18273
Республика Крым,1777415,289117,0.16266
Оренбургская область,1741189,281617,0.16174
Тюменская область,3061649,424784,0.13874
ЯНАО,402806,55236,0.13713
Ульяновская область,1006827,122672,0.12184
Российская Федерация,130587364,15134482,0.1159
Челябинская область,2926024,306431,0.10473
Тюменская область без АО,1394763,138560,0.09934
Республика Калмыкия,254763,25161,0.09876
РСО-Алания,646295,57800,0.08943
Ставропольский край,2785764,218192,0.07832
Пензенская область,1150603,85077,0.07394
Республика Алтай,197888,13907,0.07028
Омская область,1678302,106521,0.06347
Саратовская область,2211271,137947,0.06238
Удмуртская Республика,1242862,77440,0.06231
Республика Мордовия,750685,44206,0.05889
Пермский край,2270867,126095,0.05553
Самарская область,2968040,157305,0.053
Республика Марий Эл,614959,32513,0.05287
Курганская область,681858,31554,0.04628
Свердловская область,3902190,171381,0.04392
Калужская область,1003355,43710,0.04356
Волгоградская область,2232524,86338,0.03867
Республика Саха (Якутия),848768,30390,0.0358
Чувашская Республика,1074805,33100,0.0308
Красноярский край,2544665,74460,0.02926
Ростовская область,3933019,113214,0.02879
Кировская область,1062933,30350,0.02855
Камчатский край,264102,7301,0.02764
Магаданская область,125159,3352,0.02678
Томская область,859664,22501,0.02617
Московская область,7460475,194343,0.02605
Мурманская область,573241,14243,0.02485
г. Москва,10059391,247587,0.02461
Чукотский автономный округ,47044,1137,0.02417
Новосибирская область,2321488,55126,0.02375
Тверская область,1085761,23071,0.02125
Республика Коми,571883,11848,0.02072
Сахалинская область,432876,8856,0.02046
Рязанская область,886440,17943,0.02024
Тульская область,1397524,26259,0.01879
Кемеровская область - Кузбасс,2393166,44534,0.01861
Ленинградская область,1752846,32158,0.01835
г. Санкт-Петербург,4717233,85999,0.01823
Ненецкий автономный округ,37403,675,0.01805
Иркутская область,2079287,35105,0.01688
г. Севастополь,455256,7656,0.01682
Нижегородская область,2572136,43244,0.01681
Ивановская область,862879,13232,0.01533
Калининградская область,886706,13397,0.01511
Краснодарский край,5546124,82897,0.01495
Хабаровский край,1127765,16836,0.01493
Республика Хакасия,433781,5983,0.01379
Ярославская область,1031286,13668,0.01325
Новгородская область,504947,6400,0.01267
Приморский край,1473979,18566,0.0126
Амурская область,724843,9098,0.01255
Владимирская область,1254959,15573,0.01241
Республика Бурятия,909715,11138,0.01224
Воронежская область,2176029,26208,0.01204
Еврейская автономная область,139679,1674,0.01198
Забайкальский край,885648,10395,0.01174
Орловская область,662447,7652,0.01155
Смоленская область,796461,9014,0.01132
Алтайский край,1952433,21797,0.01116
Липецкая область,1026314,11320,0.01103
Белгородская область,1295388,13727,0.0106
Костромская область,473341,4665,0.00986
Тамбовская область,906085,8370,0.00924
Псковская область,569086,5150,0.00905
Республика Карелия,471623,4239,0.00899
Курская область,934104,7130,0.00763
Вологодская область,1008870,6037,0.00598
Архангельская область,865211,5111,0.00591
Брянская область,1056175,5932,0.00562
Архангельская область без АО,827808,4436,0.00536
Республика Тыва,315558,1001,0.00317
