region_sheet,ethnicity,population
Российская Федерация,Все население,147182123
Российская Федерация,Указавшие национальную принадлежность,130587364
Российская Федерация,Абазины (абаза),41793
Российская Федерация,Абхазы (апсуа),8177
Российская Федерация,"Аварцы (аварал, аваро-американцы, аваро-даргинцы, аваро-кумыки, аваро-лезгины, аваро-татары, аваро-украинцы, аваро-чеченцы, аварцы белоканские, закатальцы, маарулал, телетлинцы, тляратинцы, хунзахцы, чародинцы)",1012074
Российская Федерация,"Андийцы (андал, андии, ашалинцы, рикванинцы)",16758
Российская Федерация,"Арчинцы (арчи, арчиб)",1693
Российская Федерация,"Ахвахцы (ашвадо, ратлубцы, хучадинцы)",5282
Российская Федерация,"Багулалы (багвалинцы, кванадинцы, тлондодинцы)",14
Российская Федерация,"Бежтинцы (бежитинцы, капучины, тлядальцы, хашархотинцы)",6890
Российская Федерация,Ботлихцы (буйхади),3788
Российская Федерация,Гинухцы,630
Российская Федерация,Годоберинцы,2172
Российская Федерация,"Гунзибцы (гарбутлинцы, гунзал, нахада)",2363
Российская Федерация,"Дидойцы (хушетинцы, цезы, цунтинцы)",14881
Российская Федерация,"Каратинцы (анчихцы, рацитлинцы, тукитинцы)",7343
Российская Федерация,"Тиндалы (акнадинцы, ангидинцы, идари, тиндальцы, тиндинцы, эчединцы)",1161
Российская Федерация,"Хваршины (инхокваринцы, квантладинцы, сантладинцы, хваршинцы)",827
Российская Федерация,"Чамалалы (гигатлинцы, кенхинцы, урухцы, чамалинцы)",91
Российская Федерация,Агулы (агульцы),34576
Российская Федерация,"Адыгейцы (абадзехи, адыге, адыгейские казаки, адыгейцы-черкесы,  адыги, адыгэ, бжедуги, кемгоевцы, сирийские адыгейцы, адыги-черкесы, черкесы-бжедуги)",111471
Российская Федерация,"Азербайджанцы (азербайджанлы, азербайджано-русские, азер, азери, бакинцы, гардабанцы, грузинские азербайджанцы, гянджинцы, евлахцы, иранские азербайджанцы, каджары, карабахцы, карапапахи, кашкайцы, сумгаитцы, терекеме, теркеме, тюрк с языком азербайджанским, шамкирцы, шекинцы)",474576
Российская Федерация,Алеуты,397
Российская Федерация,"Алтайцы (алмат, алтай, алтай-кижи, ара, джунгары, казах кыпчак, кыпчак с языком алтайским, ойротским, чуйским, кюзен, майман, меркит, мундус, ойрат с языком алтайским, ойрот, ойроты, тодош, тонжоон, тумат, тьабак, чапты, чорос, шор с языком алтайским)",78125
Российская Федерация,"Теленгиты (алтай-теленгит, алтай-телёс, алтайцы-теленгиты, теленит, телёс)",2730
