region,period,t_anomaly,n_stations
Алтайский край,2014-01,1.43,12
Алтайский край,2014-02,-5.18,12
Алтайский край,2014-03,3.3,12
Алтайский край,2014-04,1.64,12
Алтайский край,2014-05,-1.55,11
Алтайский край,2014-06,-0.25,11
Алтайский край,2014-07,-0.36,11
Алтайский край,2014-08,0.62,11
Алтайский край,2014-09,-1.93,11
Алтайский край,2014-10,-1.95,12
Алтайский край,2014-11,-1.51,12
Алтайский край,2014-12,0.36,12
Алтайский край,2015-01,3.2,12
Алтайский край,2015-02,2.01,12
Алтайский край,2015-03,0.23,12
Алтайский край,2015-04,-0.01,12
Алтайский край,2015-05,0.64,12
Алтайский край,2015-06,1.21,12
Алтайский край,2015-07,0.27,11
Алтайский край,2015-08,-0.04,12
Алтайский край,2015-09,-1.19,12
Алтайский край,2015-10,0.74,12
Алтайский край,2015-11,-1.62,12
Алтайский край,2015-12,7.44,12
Алтайский край,2016-01,-3.1,12
Алтайский край,2016-02,4.44,12
Алтайский край,2016-03,3.65,12
Алтайский край,2016-04,3.17,12
Алтайский край,2016-05,-1.28,12
Алтайский край,2016-06,0.62,12
Алтайский край,2016-07,0.6,12
Алтайский край,2016-08,-0.55,12
Алтайский край,2016-09,2.75,12
Алтайский край,2016-10,-5.68,12
Алтайский край,2016-11,-6.63,12
Алтайский край,2016-12,2.3,12
Алтайский край,2017-01,3.99,12
Алтайский край,2017-02,0.29,12
Алтайский край,2017-03,-0.59,12
Алтайский край,2017-04,0.81,12
Алтайский край,2017-05,1.02,12
Алтайский край,2017-06,1.55,12
Алтайский край,2017-07,-0.59,12
Алтайский край,2017-08,-0.45,12
Алтайский край,2017-09,-0.91,12
Алтайский край,2017-10,-1.24,12
Алтайский край,2017-11,1.73,11
Алтайский край,2017-12,-0.15,12
Алтайский край,2018-01,-5.61,12
Алтайский край,2018-02,-0.52,12
Алтайский край,2018-03,0.37,12
Алтайский край,2018-04,-0.79,12
Алтайский край,2018-05,-3.04,12
Алтайский край,2018-06,1.28,12
Алтайский край,2018-07,-1.33,11
Алтайский край,2018-08,-0.12,11
Алтайский край,2018-09,0.13,11
Алтайский край,2018-10,1.17,11
Алтайский край,2018-11,-0.92,11
Алтайский край,2018-12,-5.78,11
Алтайский край,2019-01,0.64,11
Алтайский край,2019-02,-2.08,11
Алтайский край,2019-03,3.01,11
Алтайский край,2019-04,-0.34,11
Алтайский край,2019-05,-1.92,11
Алтайский край,2019-06,-1.57,11
Алтайский край,2019-07,-0.18,8
Алтайский край,2019-08,1.62,8
Алтайский край,2019-09,0.52,8
Алтайский край,2019-10,1.41,8
Алтайский край,2019-11,-2.93,8
Алтайский край,2019-12,4.39,7
Алтайский край,2020-01,5.42,7
Алтайский край,2020-02,6.45,7
Алтайский край,2020-03,2.75,7
Алтайский край,2020-04,4.61,7
Алтайский край,2020-05,3.92,7
Алтайский край,2020-06,-0.83,7
Алтайский край,2020-07,0.1,7
Алтайский край,2020-08,0.99,7
Алтайский край,2020-09,-0.1,7
Алтайский край,2020-10,-0.76,7
Алтайский край,2020-11,1.45,7
Алтайский край,2020-12,-2.22,7
Алтайский край,2021-01,-2.6,7
Алтайский край,2021-02,2.73,7
Алтайский край,2021-03,0.34,7
Алтайский край,2021-04,-1.19,7
Алтайский край,2021-05,2.37,7
Алтайский край,2021-06,-1.25,7
Алтайский край,2021-07,0.02,7
Алтайский край,2021-08,0.41,7
Алтайский край,2021-09,-0.85,7
Алтайский край,2021-10,-0.83,7
Алтайский край,2021-11,0.77,7
Алтайский край,2021-12,4.7,7
Алтайский край,2022-01,2.51,7
Алтайский край,2022-02,1.43,7
Алтайский край,2022-03,-0.11,7
Алтайский край,2022-04,1.65,7
Алтайский край,2022-05,3.9,7
Алтайский край,2022-06,0.49,7
Алтайский край,2022-07,-0.62,6
Алтайский край,2022-08,-1.32,7
Алтайский край,2022-09,0.84,7
Алтайский край,2022-10,0.41,7
Алтайский край,2022-11,-2.16,7
Алтайский край,2022-12,-4.02,7
Алтайский край,2023-01,4.31,7
Алтайский край,2023-02,1.42,7
Алтайский край,2023-03,4.64,7
Алтайский край,2023-04,-2.49,7
Алтайский край,2023-05,-0.77,7
Алтайский край,2023-06,1.32,7
Алтайский край,2023-07,1.25,7
Алтайский край,2023-08,0.61,7
Алтайский край,2023-09,0.81,7
Алтайский край,2023-10,1.01,7
Алтайский край,2023-11,5.16,7
Алтайский край,2023-12,1.4,7
Алтайский край,2024-01,2.97,7
Алтайский край,2024-02,-0.42,7
Алтайский край,2024-03,2.66,7
Алтайский край,2024-04,1.31,7
Алтайский край,2024-05,0.01,7
Алтайский край,2024-06,2.1,7
Алтайский край,2024-07,1.59,7
Алтайский край,2024-08,1.51,7
Алтайский край,2024-09,-1.8,7
Алтайский край,2024-10,-0.07,7
Алтайский край,2024-11,2.04,7
Алтайский край,2024-12,2.32,7
Алтайский край,2025-01,6.92,7
Алтайский край,2025-02,3.81,7
Алтайский край,2025-03,2.02,7
Алтайский край,2025-04,3.84,7
Алтайский край,2025-05,1.58,7
Алтайский край,2025-06,2.8,7
Алтайский край,2025-07,-0.05,7
Алтайский край,2025-08,-1.06,3
Алтайский край,2025-09,1.07,3
Алтайский край,2025-10,-3.23,3
Алтайский край,2025-11,3.11,3
Алтайский край,2025-12,3.79,3
Алтайский край,2026-01,-0.48,3
Алтайский край,2026-02,0.46,3
Алтайский край,2026-03,2.67,2
Алтайский край,2026-04,1.59,3
Алтайский край,2026-05,-0.71,3
Алтайский край,2026-06,3.77,2
Амурская область,2014-01,-2.91,17
Амурская область,2014-02,-3.76,17
Амурская область,2014-03,2.1,17
Амурская область,2014-04,3.89,18
Амурская область,2014-05,0.61,17
Амурская область,2014-06,1.68,18
Амурская область,2014-07,-0.72,17
Амурская область,2014-08,1.28,18
Амурская область,2014-09,0.28,18
Амурская область,2014-10,-2.04,18
Амурская область,2014-11,1.64,18
Амурская область,2014-12,-0.73,18
Амурская область,2015-01,1.68,18
Амурская область,2015-02,3.85,18
Амурская область,2015-03,2.47,18
Амурская область,2015-04,-1.16,18
Амурская область,2015-05,-1.35,18
Амурская область,2015-06,0.13,17
Амурская область,2015-07,0.29,18
Амурская область,2015-08,2.65,18
Амурская область,2015-09,0.14,18
Амурская область,2015-10,0.57,17
Амурская область,2015-11,-0.81,17
Амурская область,2015-12,2.5,18
Амурская область,2016-01,1.28,17
Амурская область,2016-02,-1.78,18
Амурская область,2016-03,2.37,18
Амурская область,2016-04,0.11,18
Амурская область,2016-05,0.17,18
Амурская область,2016-06,-1.55,17
Амурская область,2016-07,-0.36,18
Амурская область,2016-08,-0.99,18
Амурская область,2016-09,1.95,18
Амурская область,2016-10,-4.16,18
Амурская область,2016-11,-3.74,18
Амурская область,2016-12,0.49,18
Амурская область,2017-01,2.59,18
Амурская область,2017-02,3.77,18
Амурская область,2017-03,4.31,18
Амурская область,2017-04,0.82,18
Амурская область,2017-05,0.12,18
Амурская область,2017-06,0.47,18
Амурская область,2017-07,0.25,18
Амурская область,2017-08,0.83,18
Амурская область,2017-09,0.42,18
Амурская область,2017-10,-1.61,18
Амурская область,2017-11,-0.57,18
Амурская область,2017-12,-0.39,18
Амурская область,2018-01,0.07,18
Амурская область,2018-02,-2.48,18
Амурская область,2018-03,0.45,18
Амурская область,2018-04,0.97,18
Амурская область,2018-05,1.44,18
Амурская область,2018-06,-1.09,18
Амурская область,2018-07,-0.06,16
Амурская область,2018-08,0.36,15
Амурская область,2018-09,0.36,16
Амурская область,2018-10,3.58,16
Амурская область,2018-11,1.67,15
Амурская область,2018-12,0.74,16
Амурская область,2019-01,2.83,16
Амурская область,2019-02,2.0,16
Амурская область,2019-03,2.61,16
Амурская область,2019-04,0.23,16
Амурская область,2019-05,-0.34,16
Амурская область,2019-06,-0.71,16
Амурская область,2019-07,-0.84,12
Амурская область,2019-08,-0.31,12
Амурская область,2019-09,0.11,13
Амурская область,2019-10,0.78,13
Амурская область,2019-11,-1.24,13
Амурская область,2019-12,-1.91,13
Амурская область,2020-01,1.83,13
Амурская область,2020-02,2.45,13
Амурская область,2020-03,2.87,13
Амурская область,2020-04,1.12,13
Амурская область,2020-05,-0.12,13
Амурская область,2020-06,-1.61,13
Амурская область,2020-07,1.48,13
Амурская область,2020-08,-1.68,13
Амурская область,2020-09,2.39,13
Амурская область,2020-10,1.17,13
Амурская область,2020-11,3.0,13
Амурская область,2020-12,0.92,13
Амурская область,2021-01,-3.59,13
Амурская область,2021-02,-2.35,13
Амурская область,2021-03,2.61,13
Амурская область,2021-04,-0.72,13
Амурская область,2021-05,-1.65,13
Амурская область,2021-06,1.1,13
Амурская область,2021-07,1.21,13
Амурская область,2021-08,-0.24,12
Амурская область,2021-09,1.51,13
Амурская область,2021-10,0.34,13
Амурская область,2021-11,4.39,13
Амурская область,2021-12,-0.14,13
Амурская область,2022-01,-0.21,13
Амурская область,2022-02,1.7,13
Амурская область,2022-03,2.24,13
Амурская область,2022-04,-0.87,13
Амурская область,2022-05,-1.3,13
Амурская область,2022-06,1.0,13
Амурская область,2022-07,1.89,13
Амурская область,2022-08,-1.48,12
Амурская область,2022-09,-0.57,11
Амурская область,2022-10,0.07,13
Амурская область,2022-11,1.79,13
Амурская область,2022-12,0.88,13
Амурская область,2023-01,-4.48,13
Амурская область,2023-02,0.12,13
Амурская область,2023-03,4.47,13
Амурская область,2023-04,-0.41,13
Амурская область,2023-05,-0.52,13
Амурская область,2023-06,-0.37,13
Амурская область,2023-07,1.03,13
Амурская область,2023-08,0.72,13
Амурская область,2023-09,-0.01,13
Амурская область,2023-10,2.24,13
Амурская область,2023-11,0.83,13
Амурская область,2023-12,-0.91,13
Амурская область,2024-01,-0.27,13
Амурская область,2024-02,0.25,13
Амурская область,2024-03,0.53,13
Амурская область,2024-04,1.28,13
Амурская область,2024-05,-0.16,13
Амурская область,2024-06,-0.99,13
Амурская область,2024-07,1.06,13
Амурская область,2024-08,0.4,13
Амурская область,2024-09,-0.67,13
Амурская область,2024-10,-0.08,13
Амурская область,2024-11,4.19,13
Амурская область,2024-12,2.35,13
Амурская область,2025-01,1.6,13
Амурская область,2025-02,1.67,13
Амурская область,2025-03,-0.83,13
Амурская область,2025-04,1.54,13
Амурская область,2025-05,-0.18,13
Амурская область,2025-06,0.24,13
Амурская область,2025-07,0.07,13
Амурская область,2025-08,-1.47,4
Амурская область,2025-09,0.05,4
Амурская область,2025-10,-4.43,4
Амурская область,2025-11,-0.7,4
Амурская область,2025-12,-3.3,4
Амурская область,2026-01,-1.02,4
Амурская область,2026-02,-0.92,4
Амурская область,2026-03,1.19,3
Амурская область,2026-04,-2.09,4
Амурская область,2026-05,-2.05,4
Амурская область,2026-06,-1.6,4
Архангельская область,2014-01,-1.4,23
Архангельская область,2014-02,3.79,23
Архангельская область,2014-03,2.96,23
Архангельская область,2014-04,-0.6,22
Архангельская область,2014-05,1.16,23
Архангельская область,2014-06,-0.83,23
Архангельская область,2014-07,-1.06,23
Архангельская область,2014-08,2.26,23
Архангельская область,2014-09,0.63,23
Архангельская область,2014-10,-3.53,22
Архангельская область,2014-11,1.16,24
Архангельская область,2014-12,1.4,24
Архангельская область,2015-01,-1.22,24
Архангельская область,2015-02,4.61,23
Архангельская область,2015-03,4.7,23
Архангельская область,2015-04,1.2,23
Архангельская область,2015-05,4.01,23
Архангельская область,2015-06,0.91,21
Архангельская область,2015-07,-3.22,21
Архангельская область,2015-08,-0.91,21
Архангельская область,2015-09,1.57,21
Архангельская область,2015-10,0.14,21
Архангельская область,2015-11,1.02,23
Архангельская область,2015-12,3.7,23
Архангельская область,2016-01,-4.61,23
Архангельская область,2016-02,7.5,23
Архангельская область,2016-03,2.64,23
Архангельская область,2016-04,3.08,23
Архангельская область,2016-05,3.52,22
Архангельская область,2016-06,0.52,21
Архангельская область,2016-07,2.71,21
Архангельская область,2016-08,2.53,21
Архангельская область,2016-09,0.51,21
Архангельская область,2016-10,0.6,22
Архангельская область,2016-11,-2.63,23
Архангельская область,2016-12,0.18,23
Архангельская область,2017-01,1.57,23
Архангельская область,2017-02,1.95,23
Архангельская область,2017-03,4.12,23
Архангельская область,2017-04,-1.47,23
Архангельская область,2017-05,-4.23,23
Архангельская область,2017-06,-2.7,21
Архангельская область,2017-07,0.98,21
Архангельская область,2017-08,1.76,21
Архангельская область,2017-09,-0.82,21
Архангельская область,2017-10,0.45,22
Архангельская область,2017-11,2.91,23
Архангельская область,2017-12,4.47,23
Архангельская область,2018-01,5.24,22
Архангельская область,2018-02,-1.68,23
Архангельская область,2018-03,-5.62,23
Архангельская область,2018-04,0.08,23
Архангельская область,2018-05,1.36,22
Архангельская область,2018-06,-0.64,21
Архангельская область,2018-07,1.93,21
Архангельская область,2018-08,1.53,21
Архангельская область,2018-09,1.84,21
Архангельская область,2018-10,1.23,22
Архангельская область,2018-11,2.71,23
Архангельская область,2018-12,0.39,23
Архангельская область,2019-01,-0.26,23
Архангельская область,2019-02,3.49,23
Архангельская область,2019-03,2.1,23
Архангельская область,2019-04,0.73,23
Архангельская область,2019-05,1.31,22
Архангельская область,2019-06,0.37,21
Архангельская область,2019-07,-2.69,21
Архангельская область,2019-08,-2.12,21
Архангельская область,2019-09,-0.0,21
Архангельская область,2019-10,-0.37,22
Архангельская область,2019-11,0.56,23
Архангельская область,2019-12,5.33,23
Архангельская область,2020-01,5.32,22
Архангельская область,2020-02,5.9,23
Архангельская область,2020-03,3.81,23
Архангельская область,2020-04,-0.4,23
Архангельская область,2020-05,-0.26,22
Архангельская область,2020-06,0.52,21
Архангельская область,2020-07,0.78,21
Архангельская область,2020-08,-0.31,21
Архангельская область,2020-09,1.31,21
Архангельская область,2020-10,1.86,22
Архангельская область,2020-11,4.45,23
Архангельская область,2020-12,0.84,23
Архангельская область,2021-01,-1.7,23
Архангельская область,2021-02,-7.11,21
Архангельская область,2021-03,-0.42,23
Архангельская область,2021-04,2.81,22
Архангельская область,2021-05,2.17,22
Архангельская область,2021-06,3.58,20
Архангельская область,2021-07,0.38,20
Архангельская область,2021-08,0.81,20
Архангельская область,2021-09,-2.13,20
Архангельская область,2021-10,1.39,21
Архангельская область,2021-11,1.17,22
Архангельская область,2021-12,-4.54,22
Архангельская область,2022-01,1.3,21
Архангельская область,2022-02,4.69,21
Архангельская область,2022-03,0.29,22
Архангельская область,2022-04,-0.57,22
Архангельская область,2022-05,-1.15,20
Архангельская область,2022-06,1.3,20
Архангельская область,2022-07,2.64,20
Архангельская область,2022-08,3.75,20
Архангельская область,2022-09,-1.0,20
Архангельская область,2022-10,2.31,21
Архангельская область,2022-11,-0.23,21
Архангельская область,2022-12,-0.3,22
Архангельская область,2023-01,3.44,22
Архангельская область,2023-02,2.99,22
Архангельская область,2023-03,0.35,21
Архангельская область,2023-04,0.46,21
Архангельская область,2023-05,2.84,21
Архангельская область,2023-06,-1.19,20
Архангельская область,2023-07,0.17,20
Архангельская область,2023-08,2.3,20
Архангельская область,2023-09,3.59,20
Архангельская область,2023-10,-0.28,20
Архангельская область,2023-11,-0.72,22
Архангельская область,2023-12,-2.58,22
Архангельская область,2024-01,-1.22,17
Архангельская область,2024-02,0.96,22
Архангельская область,2024-03,2.6,23
Архангельская область,2024-04,-0.6,23
Архангельская область,2024-05,-2.07,22
Архангельская область,2024-06,2.22,16
Архангельская область,2024-07,1.28,21
Архангельская область,2024-08,1.64,20
Архангельская область,2024-09,4.58,20
Архангельская область,2024-10,1.48,21
Архангельская область,2024-11,4.19,22
Архангельская область,2024-12,2.51,22
Архангельская область,2025-01,5.35,22
Архангельская область,2025-02,3.58,22
Архангельская область,2025-03,3.92,21
Архангельская область,2025-04,-0.35,22
Архангельская область,2025-05,1.97,21
Архангельская область,2025-06,-0.42,15
Архангельская область,2025-07,-0.49,20
Архангельская область,2025-08,-10.03,1
Архангельская область,2025-09,-8.28,1
Архангельская область,2025-10,2.03,6
Архангельская область,2025-11,3.21,6
Архангельская область,2025-12,1.54,6
Архангельская область,2026-01,-2.8,6
Архангельская область,2026-02,-7.05,1
Архангельская область,2026-03,1.67,5
Архангельская область,2026-04,0.4,6
Архангельская область,2026-05,2.12,6
Архангельская область,2026-06,0.5,6
Астраханская область,2014-01,-3.48,2
Астраханская область,2014-02,2.6,2
Астраханская область,2014-03,1.46,2
Астраханская область,2014-04,-0.72,2
Астраханская область,2014-05,3.78,2
Астраханская область,2014-06,0.26,2
Астраханская область,2014-07,-0.62,2
Астраханская область,2014-08,4.03,2
Астраханская область,2014-09,-0.4,2
Астраханская область,2014-10,-2.98,2
Астраханская область,2014-11,-2.87,2
Астраханская область,2014-12,0.93,2
Астраханская область,2015-01,1.37,2
Астраханская область,2015-02,0.95,2
Астраханская область,2015-03,0.67,2
Астраханская область,2015-04,-0.53,2
Астраханская область,2015-05,0.2,2
Астраханская область,2015-06,3.11,2
Астраханская область,2015-07,0.03,2
Астраханская область,2015-08,-0.34,2
Астраханская область,2015-09,3.11,2
Астраханская область,2015-10,-2.49,2
Астраханская область,2015-11,1.96,2
Астраханская область,2015-12,3.66,2
Астраханская область,2016-01,-0.21,2
Астраханская область,2016-02,5.38,2
Астраханская область,2016-03,2.19,2
Астраханская область,2016-04,1.98,2
Астраханская область,2016-05,0.4,2
Астраханская область,2016-06,-0.14,2
Астраханская область,2016-07,0.18,2
Астраханская область,2016-08,3.26,2
Астраханская область,2016-09,-1.06,2
Астраханская область,2016-10,-2.79,2
Астраханская область,2016-11,-1.29,2
Астраханская область,2016-12,-2.39,2
Астраханская область,2017-01,0.32,2
Астраханская область,2017-02,-1.19,2
Астраханская область,2017-03,1.74,2
Астраханская область,2017-04,-0.11,2
Астраханская область,2017-05,-0.79,2
Астраханская область,2017-06,-1.85,2
Астраханская область,2017-07,0.79,2
Астраханская область,2017-08,2.1,2
Астраханская область,2017-09,1.95,2
Астраханская область,2017-10,-0.6,2
Астраханская область,2017-11,1.63,2
Астраханская область,2017-12,1.56,2
Астраханская область,2018-01,-1.78,2
Астраханская область,2018-02,-0.22,2
Астраханская область,2018-03,-3.74,2
Астраханская область,2018-04,-0.77,2
Астраханская область,2018-05,2.57,2
Астраханская область,2018-06,-0.34,2
Астраханская область,2018-07,2.19,2
Астраханская область,2018-08,-0.69,2
Астраханская область,2018-09,1.68,2
Астраханская область,2018-10,1.64,2
Астраханская область,2018-11,-1.19,2
Астраханская область,2018-12,0.46,2
Астраханская область,2019-01,0.82,2
Астраханская область,2019-02,1.06,2
Астраханская область,2019-03,1.59,2
Астраханская область,2019-04,0.54,2
Астраханская область,2019-05,1.81,2
Астраханская область,2019-06,2.97,2
Астраханская область,2019-07,-0.83,2
Астраханская область,2019-08,-1.2,2
Астраханская область,2019-09,-1.75,2
Астраханская область,2019-10,2.12,2
Астраханская область,2019-11,-0.92,2
Астраханская область,2019-12,3.03,2
Астраханская область,2020-01,4.37,2
Астраханская область,2020-02,4.93,2
Астраханская область,2020-03,4.76,2
Астраханская область,2020-04,-1.69,2
Астраханская область,2020-05,-0.25,2
Астраханская область,2020-06,2.59,2
Астраханская область,2020-07,2.15,2
Астраханская область,2020-08,-1.53,2
Астраханская область,2020-09,0.53,2
Астраханская область,2020-10,2.42,2
Астраханская область,2020-11,-0.04,2
Астраханская область,2020-12,-2.92,2
Астраханская область,2021-01,2.44,2
Астраханская область,2021-02,0.26,2
Астраханская область,2021-03,-1.46,2
Астраханская область,2021-04,3.13,1
Астраханская область,2021-05,2.55,2
Астраханская область,2021-06,2.01,2
Астраханская область,2021-07,2.02,2
Астраханская область,2021-08,3.92,2
Астраханская область,2021-09,-1.45,2
Астраханская область,2021-10,-1.08,2
Астраханская область,2021-11,1.58,2
Астраханская область,2021-12,3.46,2
Астраханская область,2022-01,2.69,2
Астраханская область,2022-02,5.91,2
Астраханская область,2022-03,-1.64,2
Астраханская область,2022-04,2.63,2
Астраханская область,2022-05,-2.7,2
Астраханская область,2022-06,0.46,2
Астраханская область,2022-07,-1.03,2
Астраханская область,2022-08,3.27,2
Астраханская область,2022-09,1.28,2
Астраханская область,2022-10,0.99,2
Астраханская область,2022-11,1.48,2
Астраханская область,2022-12,-0.49,2
Астраханская область,2023-01,-0.58,2
Астраханская область,2023-02,0.21,2
Астраханская область,2023-03,5.39,2
Астраханская область,2023-04,1.93,2
Астраханская область,2023-05,0.48,2
Астраханская область,2023-06,-0.11,2
Астраханская область,2023-07,0.25,2
Астраханская область,2023-08,2.45,2
Астраханская область,2023-09,1.13,2
Астраханская область,2023-10,1.47,2
Астраханская область,2023-11,5.08,2
Астраханская область,2023-12,2.88,2
Астраханская область,2024-01,0.39,2
Астраханская область,2024-02,3.03,2
Астраханская область,2024-03,-0.34,2
Астраханская область,2024-04,5.96,2
Астраханская область,2024-05,-2.27,2
Астраханская область,2024-06,2.06,2
Астраханская область,2024-07,1.52,2
Астраханская область,2024-08,0.1,2
Астраханская область,2024-09,1.48,2
Астраханская область,2024-10,0.24,2
Астраханская область,2024-11,2.01,2
Астраханская область,2024-12,2.88,2
Астраханская область,2025-01,5.32,2
Астраханская область,2025-02,-1.37,2
Астраханская область,2025-03,3.84,2
Астраханская область,2025-04,1.91,2
