label_0,label_1,label_2,label_3,period_label,period,value
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,январь,2017-01,103.83
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,февраль,2017-02,100.67
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,март,2017-03,99.39
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,апрель,2017-04,98.17
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,май,2017-05,99.51
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,июнь,2017-06,99.55
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,июль,2017-07,99.48
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,август,2017-08,102.11
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,октябрь,2017-10,101.28
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,ноябрь,2017-11,101.19
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,декабрь,2017-12,101.63
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,январь,2018-01,100.38
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,февраль,2018-02,101.14
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,март,2018-03,98.75
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,апрель,2018-04,101.43
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,май,2018-05,105.28
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,июнь,2018-06,103.72
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,июль,2018-07,100.34
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,август,2018-08,100.2
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,сентябрь,2018-09,101.81
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,октябрь,2018-10,103.48
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,ноябрь,2018-11,100.3
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,декабрь,2018-12,95.23
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,январь,2019-01,97.57
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,февраль,2019-02,100.58
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,март,2019-03,101.38
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,апрель,2019-04,100.45
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,май,2019-05,101.75
Российская Федерация,Всего,"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",процент,июнь,2019-06,98.63
