region,period,value_mln_rub
Алтайский край,1991,7.2
Алтайский край,1992,73.0
Алтайский край,1993,638.2
Алтайский край,1994,1717.3
Алтайский край,1995,5689.1
Алтайский край,1996,7719.6
Алтайский край,1997,7121.6
Алтайский край,1998,8555.5
Алтайский край,1999,15571.5
Алтайский край,2000,24042.4
Алтайский край,2001,30758.5
Алтайский край,2002,30520.8
Алтайский край,2003,35249.4
Алтайский край,2004,41466.5
Алтайский край,2005,39838.9
Алтайский край,2006,46439.9
Алтайский край,2007,56142.3
Алтайский край,2008,66992.4
Алтайский край,2009,72625.7
Алтайский край,2010,78562.6
Алтайский край,2011,87685.0
Алтайский край,2012,85050.9
Алтайский край,2013,102220.0
Алтайский край,2014,98774.0
Алтайский край,2015,123740.7
Алтайский край,2016,143325.3
Алтайский край,2017,125999.3
Алтайский край,2018,131825.1
Алтайский край,2019,144540.3
Алтайский край,2020,163229.6
Алтайский край,2021,241624.9
Алтайский край,2022,249362.4
Алтайский край,2023,221096.3
Алтайский край,2024,268010.4
Амурская область,1991,2.5
Амурская область,1992,24.5
Амурская область,1993,196.9
Амурская область,1994,796.6
Амурская область,1995,1454.0
Амурская область,1996,2387.9
Амурская область,1997,2895.0
Амурская область,1998,2770.8
Амурская область,1999,4936.9
Амурская область,2000,6200.5
Амурская область,2001,7509.3
Амурская область,2002,8287.5
Амурская область,2003,6244.1
Амурская область,2004,8495.7
Амурская область,2005,8705.0
Амурская область,2006,9999.8
Амурская область,2007,12296.2
Амурская область,2008,14496.1
Амурская область,2009,19394.7
Амурская область,2010,19851.0
Амурская область,2011,26487.4
Амурская область,2012,26499.8
Амурская область,2013,20733.3
Амурская область,2014,37047.6
Амурская область,2015,43566.6
Амурская область,2016,47012.3
Амурская область,2017,50419.9
Амурская область,2018,47636.6
Амурская область,2019,44736.4
Амурская область,2020,53895.8
Амурская область,2021,74446.6
Амурская область,2022,85919.2
Амурская область,2023,85162.8
Амурская область,2024,94683.7
Архангельская область,1991,1.7
Архангельская область,1992,13.6
Архангельская область,1993,130.6
Архангельская область,1994,539.5
Архангельская область,1995,1608.6
Архангельская область,1996,2246.5
Архангельская область,1997,2216.8
Архангельская область,1998,2398.0
Архангельская область,1999,4006.5
Архангельская область,2000,4524.8
Архангельская область,2001,4677.1
Архангельская область,2002,4801.5
Архангельская область,2003,4657.8
Архангельская область,2004,5013.9
Архангельская область,2005,5251.2
Архангельская область,2006,5874.2
Архангельская область,2007,5897.2
Архангельская область,2008,7526.9
Архангельская область,2009,8676.1
Архангельская область,2010,9103.8
Архангельская область,2011,10941.8
Архангельская область,2012,11016.3
Архангельская область,2013,10539.7
Архангельская область,2014,12644.8
Архангельская область,2015,11706.0
Архангельская область,2016,12196.5
Архангельская область,2017,10824.4
Архангельская область,2018,11017.2
Архангельская область,2019,11406.3
Архангельская область,2020,10963.5
Архангельская область,2021,13824.8
Архангельская область,2022,14041.3
Архангельская область,2023,14420.5
Архангельская область,2024,15800.9
Астраханская область,1991,1.9
Астраханская область,1992,11.7
Астраханская область,1993,112.3
