region,period,index_pct
Алтайский край,2015,102.2
Алтайский край,2016,101.4
Алтайский край,2017,102.7
Алтайский край,2018,98.2
Алтайский край,2019,102.4
Алтайский край,2020,109.7
Алтайский край,2021,98.0
Алтайский край,2022,103.3
Алтайский край,2023,110.6
Алтайский край,2024,105.3
Амурская область,2015,107.3
Амурская область,2016,102.1
Амурская область,2017,108.3
Амурская область,2018,108.1
Амурская область,2019,103.7
Амурская область,2020,97.7
Амурская область,2021,102.2
Амурская область,2022,108.8
Амурская область,2023,101.5
Амурская область,2024,102.4
Архангельская область,2015,93.6
Архангельская область,2016,98.3
Архангельская область,2017,94.1
Архангельская область,2018,93.1
Архангельская область,2019,100.0
Архангельская область,2020,92.1
Архангельская область,2021,100.3
Архангельская область,2022,99.5
Архангельская область,2023,98.9
Архангельская область,2024,100.0
Астраханская область,2015,101.1
Астраханская область,2016,95.3
Астраханская область,2017,102.0
Астраханская область,2018,95.7
Астраханская область,2019,96.9
Астраханская область,2020,101.0
Астраханская область,2021,100.6
Астраханская область,2022,116.7
Астраханская область,2023,102.1
Астраханская область,2024,100.5
Белгородская область,2015,103.4
Белгородская область,2016,101.7
Белгородская область,2017,107.6
Белгородская область,2018,106.9
Белгородская область,2019,109.3
Белгородская область,2020,98.6
Белгородская область,2021,104.1
Белгородская область,2022,101.5
Белгородская область,2023,100.6
Белгородская область,2024,98.9
Брянская область,2015,123.3
Брянская область,2016,100.9
Брянская область,2017,110.6
Брянская область,2018,109.6
Брянская область,2019,124.6
Брянская область,2020,109.2
Брянская область,2021,109.6
Брянская область,2022,99.0
Брянская область,2023,108.8
Брянская область,2024,111.9
Владимирская область,2015,100.7
Владимирская область,2016,101.9
Владимирская область,2017,107.5
Владимирская область,2018,105.0
Владимирская область,2019,103.1
Владимирская область,2020,112.0
Владимирская область,2021,104.9
Владимирская область,2022,105.5
Владимирская область,2023,100.4
Владимирская область,2024,105.4
Волгоградская область,2015,89.0
Волгоградская область,2016,98.6
Волгоградская область,2017,120.7
Волгоградская область,2018,98.8
Волгоградская область,2019,96.3
Волгоградская область,2020,95.2
Волгоградская область,2021,108.5
Волгоградская область,2022,107.5
Волгоградская область,2023,116.6
Волгоградская область,2024,111.0
Вологодская область,2015,101.5
Вологодская область,2016,107.4
Вологодская область,2017,100.5
Вологодская область,2018,101.5
Вологодская область,2019,106.9
Вологодская область,2020,112.8
Вологодская область,2021,97.1
Вологодская область,2022,97.5
Вологодская область,2023,110.3
Вологодская область,2024,104.7
Воронежская область,2015,109.1
Воронежская область,2016,111.7
Воронежская область,2017,114.7
Воронежская область,2018,108.9
Воронежская область,2019,111.4
Воронежская область,2020,100.3
Воронежская область,2021,100.9
Воронежская область,2022,105.0
Воронежская область,2023,117.9
Воронежская область,2024,105.4
Еврейская автономная область,2015,79.6
Еврейская автономная область,2016,104.1
Еврейская автономная область,2017,127.4
Еврейская автономная область,2018,89.5
Еврейская автономная область,2019,98.0
Еврейская автономная область,2020,144.2
Еврейская автономная область,2021,99.4
Еврейская автономная область,2022,82.9
Еврейская автономная область,2023,96.4
Еврейская автономная область,2024,100.0
Забайкальский край,2015,97.3
Забайкальский край,2016,96.0
Забайкальский край,2017,93.8
Забайкальский край,2018,95.4
Забайкальский край,2019,101.9
Забайкальский край,2020,108.8
Забайкальский край,2021,100.3
Забайкальский край,2022,88.5
Забайкальский край,2023,96.6
Забайкальский край,2024,99.8
Ивановская область,2015,118.1
Ивановская область,2016,104.4
Ивановская область,2017,98.2
Ивановская область,2018,89.1
Ивановская область,2019,90.3
Ивановская область,2020,96.1
Ивановская область,2021,97.0
Ивановская область,2022,85.0
Ивановская область,2023,106.2
Ивановская область,2024,99.1
Иркутская область,2015,104.2
Иркутская область,2016,96.1
Иркутская область,2017,98.7
Иркутская область,2018,98.6
Иркутская область,2019,96.3
Иркутская область,2020,100.5
Иркутская область,2021,101.4
Иркутская область,2022,102.2
Иркутская область,2023,100.3
Иркутская область,2024,97.8
Кабардино-Балкарская Республика,2015,108.2
Кабардино-Балкарская Республика,2016,91.7
Кабардино-Балкарская Республика,2017,128.1
Кабардино-Балкарская Республика,2018,77.1
Кабардино-Балкарская Республика,2019,90.0
Кабардино-Балкарская Республика,2020,100.8
Кабардино-Балкарская Республика,2021,92.2
Кабардино-Балкарская Республика,2022,105.3
Кабардино-Балкарская Республика,2023,109.7
Кабардино-Балкарская Республика,2024,100.9
Калининградская область,2015,97.9
Калининградская область,2016,98.2
Калининградская область,2017,107.3
Калининградская область,2018,94.4
Калининградская область,2019,102.9
Калининградская область,2020,102.3
Калининградская область,2021,102.9
Калининградская область,2022,105.4
Калининградская область,2023,106.6
Калининградская область,2024,111.4
Калужская область,2015,110.7
Калужская область,2016,106.7
Калужская область,2017,110.6
Калужская область,2018,106.7
Калужская область,2019,105.5
Калужская область,2020,108.7
Калужская область,2021,109.4
Калужская область,2022,93.1
Калужская область,2023,106.4
Калужская область,2024,123.5
Камчатский край,2015,107.0
Камчатский край,2016,107.6
Камчатский край,2017,114.9
Камчатский край,2018,122.5
Камчатский край,2019,94.8
Камчатский край,2020,92.0
Камчатский край,2021,116.9
Камчатский край,2022,79.9
Камчатский край,2023,138.4
Камчатский край,2024,76.2
Карачаево-Черкесская Республика,2015,91.0
Карачаево-Черкесская Республика,2016,90.1
Карачаево-Черкесская Республика,2017,73.9
Карачаево-Черкесская Республика,2018,102.4
Карачаево-Черкесская Республика,2019,105.6
Карачаево-Черкесская Республика,2020,99.2
Карачаево-Черкесская Республика,2021,84.7
Карачаево-Черкесская Республика,2022,138.5
Карачаево-Черкесская Республика,2023,129.1
Карачаево-Черкесская Республика,2024,124.4
Кемеровская область,2015,108.1
Кемеровская область,2016,98.8
Кемеровская область,2017,100.3
Кемеровская область,2018,98.6
Кемеровская область,2019,108.0
Кемеровская область,2020,99.8
Кемеровская область,2021,112.9
Кемеровская область,2022,106.7
Кемеровская область,2023,114.1
Кемеровская область,2024,106.9
Кировская область,2015,101.8
Кировская область,2016,98.1
Кировская область,2017,106.7
Кировская область,2018,94.2
Кировская область,2019,102.5
Кировская область,2020,106.5
Кировская область,2021,107.4
Кировская область,2022,117.0
Кировская область,2023,106.2
Кировская область,2024,105.5
Костромская область,2015,96.0
Костромская область,2016,104.0
Костромская область,2017,102.9
Костромская область,2018,98.6
Костромская область,2019,102.2
Костромская область,2020,117.2
Костромская область,2021,109.7
Костромская область,2022,106.6
Костромская область,2023,96.5
Костромская область,2024,104.4
Краснодарский край,2015,112.1
Краснодарский край,2016,107.4
Краснодарский край,2017,105.0
Краснодарский край,2018,95.2
Краснодарский край,2019,108.7
Краснодарский край,2020,94.6
Краснодарский край,2021,105.9
Краснодарский край,2022,110.3
Краснодарский край,2023,105.1
Краснодарский край,2024,95.7
Красноярский край,2015,94.5
Красноярский край,2016,100.3
Красноярский край,2017,104.9
Красноярский край,2018,105.4
Красноярский край,2019,102.4
Красноярский край,2020,113.5
Красноярский край,2021,101.7
Красноярский край,2022,104.9
Красноярский край,2023,104.7
Красноярский край,2024,101.4
Курганская область,2015,96.3
Курганская область,2016,98.9
Курганская область,2017,103.2
Курганская область,2018,102.0
Курганская область,2019,94.2
Курганская область,2020,104.8
Курганская область,2021,104.4
Курганская область,2022,102.1
Курганская область,2023,108.0
Курганская область,2024,108.7
Курская область,2015,115.7
Курская область,2016,108.6
Курская область,2017,114.9
Курская область,2018,95.0
Курская область,2019,102.8
Курская область,2020,107.9
Курская область,2021,114.2
Курская область,2022,110.6
Курская область,2023,125.3
Курская область,2024,110.0
Ленинградская область,2015,100.4
Ленинградская область,2016,113.3
Ленинградская область,2017,99.7
Ленинградская область,2018,106.9
Ленинградская область,2019,103.5
Ленинградская область,2020,109.9
Ленинградская область,2021,105.7
Ленинградская область,2022,100.2
Ленинградская область,2023,100.7
Ленинградская область,2024,110.3
Липецкая область,2015,105.2
Липецкая область,2016,105.1
Липецкая область,2017,100.9
Липецкая область,2018,112.3
Липецкая область,2019,103.1
Липецкая область,2020,102.0
Липецкая область,2021,99.1
Липецкая область,2022,96.1
Липецкая область,2023,115.9
Липецкая область,2024,100.6
Магаданская область,2015,97.4
Магаданская область,2016,115.5
Магаданская область,2017,113.4
Магаданская область,2018,104.2
Магаданская область,2019,103.8
Магаданская область,2020,99.3
Магаданская область,2021,99.7
Магаданская область,2022,100.7
Магаданская область,2023,111.4
Магаданская область,2024,93.6
Московская область,2015,105.6
Московская область,2016,108.7
Московская область,2017,110.6
Московская область,2018,109.9
Московская область,2019,110.8
Московская область,2020,108.1
Московская область,2021,112.3
Московская область,2022,100.6
Московская область,2023,108.3
Московская область,2024,107.9
Мурманская область,2015,96.7
Мурманская область,2016,99.8
Мурманская область,2017,110.3
Мурманская область,2018,105.9
Мурманская область,2019,112.6
Мурманская область,2020,85.3
Мурманская область,2021,107.9
Мурманская область,2022,92.5
Мурманская область,2023,101.6
Мурманская область,2024,100.2
Ненецкий автономный округ,2015,98.6
Ненецкий автономный округ,2016,108.3
Ненецкий автономный округ,2017,92.3
Ненецкий автономный округ,2018,87.0
Ненецкий автономный округ,2019,104.2
Ненецкий автономный округ,2020,93.3
Ненецкий автономный округ,2021,100.8
Ненецкий автономный округ,2022,107.4
Ненецкий автономный округ,2023,97.4
Ненецкий автономный округ,2024,98.4
Нижегородская область,2015,104.0
Нижегородская область,2016,101.3
Нижегородская область,2017,106.6
Нижегородская область,2018,103.7
Нижегородская область,2019,96.9
Нижегородская область,2020,109.0
Нижегородская область,2021,102.4
Нижегородская область,2022,98.6
Нижегородская область,2023,108.3
Нижегородская область,2024,103.4
Новгородская область,2015,98.4
Новгородская область,2016,80.9
Новгородская область,2017,100.5
Новгородская область,2018,90.3
Новгородская область,2019,99.0
Новгородская область,2020,83.7
Новгородская область,2021,96.4
Новгородская область,2022,90.7
Новгородская область,2023,120.4
Новгородская область,2024,142.5
Новосибирская область,2015,96.6
Новосибирская область,2016,99.1
Новосибирская область,2017,103.0
Новосибирская область,2018,107.0
Новосибирская область,2019,107.3
Новосибирская область,2020,108.9
Новосибирская область,2021,108.8
Новосибирская область,2022,100.6
Новосибирская область,2023,101.1
Новосибирская область,2024,102.0
Омская область,2015,102.9
Омская область,2016,100.4
Омская область,2017,96.9
Омская область,2018,100.3
Омская область,2019,99.7
Омская область,2020,100.4
Омская область,2021,100.9
Омская область,2022,104.9
Омская область,2023,100.1
Омская область,2024,101.4
Оренбургская область,2015,100.3
Оренбургская область,2016,79.8
Оренбургская область,2017,114.9
Оренбургская область,2018,96.1
Оренбургская область,2019,109.9
Оренбургская область,2020,105.8
Оренбургская область,2021,102.8
Оренбургская область,2022,102.9
Оренбургская область,2023,105.9
Оренбургская область,2024,104.6
Орловская область,2015,110.7
Орловская область,2016,106.2
Орловская область,2017,98.2
Орловская область,2018,99.4
Орловская область,2019,109.4
Орловская область,2020,113.4
Орловская область,2021,112.6
Орловская область,2022,98.2
Орловская область,2023,103.5
Орловская область,2024,105.1
Пензенская область,2015,114.3
Пензенская область,2016,101.4
Пензенская область,2017,108.8
Пензенская область,2018,102.6
Пензенская область,2019,115.6
Пензенская область,2020,123.6
Пензенская область,2021,105.8
Пензенская область,2022,104.4
Пензенская область,2023,110.4
Пензенская область,2024,102.8
Пермский край,2015,97.1
Пермский край,2016,97.8
Пермский край,2017,107.2
Пермский край,2018,103.0
Пермский край,2019,103.8
Пермский край,2020,100.9
Пермский край,2021,103.8
Пермский край,2022,95.8
Пермский край,2023,96.1
Пермский край,2024,100.9
Приморский край,2015,98.5
Приморский край,2016,110.6
Приморский край,2017,100.0
Приморский край,2018,101.3
Приморский край,2019,98.9
Приморский край,2020,97.2
Приморский край,2021,106.4
Приморский край,2022,99.2
Приморский край,2023,103.2
Приморский край,2024,97.2
Псковская область,2015,119.9
Псковская область,2016,113.7
Псковская область,2017,114.1
Псковская область,2018,104.6
Псковская область,2019,107.7
Псковская область,2020,104.2
Псковская область,2021,95.5
Псковская область,2022,97.2
Псковская область,2023,99.8
Псковская область,2024,122.9
Республика Адыгея,2015,110.1
Республика Адыгея,2016,109.3
Республика Адыгея,2017,106.4
Республика Адыгея,2018,101.5
Республика Адыгея,2019,119.8
Республика Адыгея,2020,111.5
Республика Адыгея,2021,117.0
Республика Адыгея,2022,115.2
Республика Адыгея,2023,122.4
Республика Адыгея,2024,104.4
Республика Алтай,2015,108.1
Республика Алтай,2016,82.3
Республика Алтай,2017,117.4
Республика Алтай,2018,95.1
Республика Алтай,2019,84.7
Республика Алтай,2020,100.7
Республика Алтай,2021,96.0
Республика Алтай,2022,99.4
Республика Алтай,2023,116.1
Республика Алтай,2024,100.4
Республика Башкортостан,2015,94.0
Республика Башкортостан,2016,103.0
Республика Башкортостан,2017,107.5
Республика Башкортостан,2018,94.9
Республика Башкортостан,2019,100.7
Республика Башкортостан,2020,108.6
Республика Башкортостан,2021,108.0
Республика Башкортостан,2022,109.0
Республика Башкортостан,2023,102.9
Республика Башкортостан,2024,142.0
Республика Бурятия,2015,98.9
Республика Бурятия,2016,94.8
Республика Бурятия,2017,108.4
Республика Бурятия,2018,98.5
Республика Бурятия,2019,98.0
Республика Бурятия,2020,100.1
Республика Бурятия,2021,103.8
Республика Бурятия,2022,104.0
Республика Бурятия,2023,117.8
Республика Бурятия,2024,103.0
Республика Дагестан,2015,64.8
Республика Дагестан,2016,96.7
Республика Дагестан,2017,133.4
Республика Дагестан,2018,82.0
Республика Дагестан,2019,119.9
Республика Дагестан,2020,117.7
Республика Дагестан,2021,137.1
Республика Дагестан,2022,71.3
Республика Дагестан,2023,144.5
Республика Дагестан,2024,80.2
Республика Ингушетия,2015,102.7
Республика Ингушетия,2016,104.1
Республика Ингушетия,2017,70.6
Республика Ингушетия,2018,106.4
Республика Ингушетия,2019,186.9
Республика Ингушетия,2020,91.3
Республика Ингушетия,2021,100.0
Республика Ингушетия,2022,144.3
Республика Ингушетия,2023,99.5
Республика Ингушетия,2024,98.5
Республика Калмыкия,2015,117.2
Республика Калмыкия,2016,92.1
Республика Калмыкия,2017,89.0
Республика Калмыкия,2018,79.8
Республика Калмыкия,2019,77.2
Республика Калмыкия,2020,113.1
Республика Калмыкия,2021,84.9
Республика Калмыкия,2022,137.3
Республика Калмыкия,2023,124.3
Республика Калмыкия,2024,105.1
Республика Карелия,2015,91.9
Республика Карелия,2016,89.1
Республика Карелия,2017,114.4
Республика Карелия,2018,99.6
Республика Карелия,2019,104.8
Республика Карелия,2020,134.9
Республика Карелия,2021,96.2
Республика Карелия,2022,91.2
Республика Карелия,2023,100.1
Республика Карелия,2024,98.9
Республика Коми,2015,100.1
Республика Коми,2016,96.8
Республика Коми,2017,99.2
Республика Коми,2018,97.8
Республика Коми,2019,96.7
Республика Коми,2020,101.0
Республика Коми,2021,96.8
Республика Коми,2022,99.9
Республика Коми,2023,94.7
Республика Коми,2024,101.2
Республика Крым,2015,104.4
Республика Крым,2016,104.6
Республика Крым,2017,112.2
Республика Крым,2018,115.2
Республика Крым,2019,118.3
Республика Крым,2020,89.2
Республика Крым,2021,97.5
Республика Крым,2022,100.5
Республика Крым,2023,96.2
Республика Крым,2024,107.7
Республика Марий Эл,2015,115.5
Республика Марий Эл,2016,92.4
Республика Марий Эл,2017,102.7
Республика Марий Эл,2018,113.9
Республика Марий Эл,2019,110.5
Республика Марий Эл,2020,102.2
Республика Марий Эл,2021,103.0
Республика Марий Эл,2022,94.6
Республика Марий Эл,2023,106.3
Республика Марий Эл,2024,101.0
Республика Мордовия,2015,114.1
Республика Мордовия,2016,112.8
Республика Мордовия,2017,108.4
Республика Мордовия,2018,106.0
Республика Мордовия,2019,110.4
Республика Мордовия,2020,119.6
Республика Мордовия,2021,112.4
Республика Мордовия,2022,101.9
Республика Мордовия,2023,106.5
Республика Мордовия,2024,105.9
Республика Саха (Якутия),2015,102.5
Республика Саха (Якутия),2016,101.0
Республика Саха (Якутия),2017,103.3
Республика Саха (Якутия),2018,98.6
Республика Саха (Якутия),2019,97.1
Республика Саха (Якутия),2020,95.3
Республика Саха (Якутия),2021,97.0
Республика Саха (Якутия),2022,102.9
Республика Саха (Якутия),2023,99.6
Республика Саха (Якутия),2024,95.3
Республика Северная Осетия - Алания,2015,86.1
Республика Северная Осетия - Алания,2016,76.8
Республика Северная Осетия - Алания,2017,92.9
Республика Северная Осетия - Алания,2018,96.3
Республика Северная Осетия - Алания,2019,109.3
Республика Северная Осетия - Алания,2020,110.3
Республика Северная Осетия - Алания,2021,102.2
Республика Северная Осетия - Алания,2022,107.7
Республика Северная Осетия - Алания,2023,111.6
Республика Северная Осетия - Алания,2024,123.2
Республика Татарстан,2015,104.2
Республика Татарстан,2016,103.8
Республика Татарстан,2017,107.7
Республика Татарстан,2018,106.7
Республика Татарстан,2019,105.3
Республика Татарстан,2020,111.3
Республика Татарстан,2021,113.4
Республика Татарстан,2022,103.8
Республика Татарстан,2023,109.3
Республика Татарстан,2024,104.9
Республика Тыва,2015,107.3
Республика Тыва,2016,112.0
Республика Тыва,2017,107.2
Республика Тыва,2018,97.6
Республика Тыва,2019,107.5
Республика Тыва,2020,84.2
Республика Тыва,2021,119.3
Республика Тыва,2022,114.6
Республика Тыва,2023,93.6
Республика Тыва,2024,85.9
Республика Хакасия,2015,31.9
Республика Хакасия,2016,88.1
Республика Хакасия,2017,82.7
Республика Хакасия,2018,101.6
Республика Хакасия,2019,119.7
Республика Хакасия,2020,116.6
Республика Хакасия,2021,107.3
Республика Хакасия,2022,103.0
Республика Хакасия,2023,106.3
Республика Хакасия,2024,104.7
Ростовская область,2015,110.9
Ростовская область,2016,102.2
Ростовская область,2017,99.1
Ростовская область,2018,99.5
Ростовская область,2019,95.8
Ростовская область,2020,103.3
Ростовская область,2021,111.0
Ростовская область,2022,111.1
Ростовская область,2023,107.3
Ростовская область,2024,103.7
Рязанская область,2015,107.9
Рязанская область,2016,95.7
Рязанская область,2017,95.7
Рязанская область,2018,100.6
Рязанская область,2019,103.0
Рязанская область,2020,105.9
Рязанская область,2021,103.1
Рязанская область,2022,110.3
Рязанская область,2023,89.1
Рязанская область,2024,119.9
Самарская область,2015,102.2
Самарская область,2016,107.9
Самарская область,2017,106.1
Самарская область,2018,100.9
Самарская область,2019,101.0
Самарская область,2020,106.3
Самарская область,2021,98.4
Самарская область,2022,106.7
Самарская область,2023,102.9
Самарская область,2024,118.3
Саратовская область,2015,110.1
Саратовская область,2016,101.1
Саратовская область,2017,106.8
Саратовская область,2018,87.4
Саратовская область,2019,106.2
Саратовская область,2020,104.5
Саратовская область,2021,108.6
Саратовская область,2022,105.7
Саратовская область,2023,104.2
Саратовская область,2024,107.6
Сахалинская область,2015,108.1
Сахалинская область,2016,102.0
Сахалинская область,2017,95.6
Сахалинская область,2018,96.8
Сахалинская область,2019,98.6
Сахалинская область,2020,109.2
Сахалинская область,2021,84.8
Сахалинская область,2022,118.7
Сахалинская область,2023,93.5
Сахалинская область,2024,119.4
Свердловская область,2015,100.5
Свердловская область,2016,95.6
Свердловская область,2017,101.4
Свердловская область,2018,102.2
Свердловская область,2019,102.7
Свердловская область,2020,110.8
Свердловская область,2021,102.2
Свердловская область,2022,95.1
Свердловская область,2023,103.1
Свердловская область,2024,105.3
Смоленская область,2015,107.4
Смоленская область,2016,108.1
Смоленская область,2017,96.7
Смоленская область,2018,100.9
Смоленская область,2019,114.4
Смоленская область,2020,106.2
Смоленская область,2021,109.3
Смоленская область,2022,112.7
Смоленская область,2023,115.4
Смоленская область,2024,102.1
Ставропольский край,2015,104.5
Ставропольский край,2016,104.2
Ставропольский край,2017,107.2
Ставропольский край,2018,100.7
Ставропольский край,2019,108.0
Ставропольский край,2020,102.0
Ставропольский край,2021,99.3
Ставропольский край,2022,99.1
Ставропольский край,2023,99.9
Ставропольский край,2024,100.3
Тамбовская область,2015,115.0
Тамбовская область,2016,117.9
Тамбовская область,2017,127.1
Тамбовская область,2018,117.3
Тамбовская область,2019,108.1
Тамбовская область,2020,108.3
Тамбовская область,2021,103.2
Тамбовская область,2022,106.1
Тамбовская область,2023,102.1
Тамбовская область,2024,109.6
Тверская область,2015,104.9
Тверская область,2016,117.7
Тверская область,2017,101.5
Тверская область,2018,106.3
Тверская область,2019,113.9
Тверская область,2020,100.7
Тверская область,2021,82.8
Тверская область,2022,117.9
Тверская область,2023,113.0
