label_0,label_1,period_label,period,value
Российская Федерация,рубль,,1995,515.9
Российская Федерация,рубль,,1996,769.5
Российская Федерация,рубль,,1997,940.6
Российская Федерация,рубль,,1998,1010.2
Российская Федерация,рубль,,1999,1658.9
Российская Федерация,рубль,,2000,2281.1
Российская Федерация,рубль,,2001,3062.0
Российская Федерация,рубль,,2002,3947.2
Российская Федерация,рубль,,2003,5170.4
Российская Федерация,рубль,,2004,6410.3
Российская Федерация,рубль,,2005,8088.3
Российская Федерация,рубль,,2006,10154.8
Российская Федерация,рубль,,2007,12540.2
Центральный федеральный округ,рубль,,2000,3230.6
Центральный федеральный округ,рубль,,2001,4299.6
Центральный федеральный округ,рубль,,2002,5435.6
Центральный федеральный округ,рубль,,2003,7211.3
Центральный федеральный округ,рубль,,2004,8991.1
Центральный федеральный округ,рубль,,2005,10902.3
Центральный федеральный округ,рубль,,2006,13570.0
Центральный федеральный округ,рубль,,2007,16631.2
Белгородская область,рубль,,1995,392.5
Белгородская область,рубль,,1996,593.3
Белгородская область,рубль,,1997,657.6
Белгородская область,рубль,,1998,717.5
Белгородская область,рубль,,1999,1187.1
Белгородская область,рубль,,2000,1554.5
Белгородская область,рубль,,2001,2121.4
Белгородская область,рубль,,2002,2762.3
Белгородская область,рубль,,2003,3357.4
Белгородская область,рубль,,2004,4070.2
Белгородская область,рубль,,2005,5275.8
Белгородская область,рубль,,2006,7082.8
Белгородская область,рубль,,2007,9399.1
Брянская область,рубль,,1995,342.8
Брянская область,рубль,,1996,528.8
Брянская область,рубль,,1997,601.4
Брянская область,рубль,,1998,592.7
Брянская область,рубль,,1999,945.7
Брянская область,рубль,,2000,1312.1
Брянская область,рубль,,2001,1818.3
Брянская область,рубль,,2002,2452.4
Брянская область,рубль,,2003,3134.6
Брянская область,рубль,,2004,3720.4
Брянская область,рубль,,2005,4787.7
Брянская область,рубль,,2006,6171.1
Брянская область,рубль,,2007,7626.2
Владимирская область,рубль,,1995,317.7
Владимирская область,рубль,,1996,473.2
Владимирская область,рубль,,1997,577.3
Владимирская область,рубль,,1998,593.5
Владимирская область,рубль,,1999,994.5
Владимирская область,рубль,,2000,1279.6
Владимирская область,рубль,,2001,1665.9
Владимирская область,рубль,,2002,2158.0
Владимирская область,рубль,,2003,2842.0
Владимирская область,рубль,,2004,3381.6
Владимирская область,рубль,,2005,4107.5
Владимирская область,рубль,,2006,5626.9
Владимирская область,рубль,,2007,7014.9
Воронежская область,рубль,,1995,345.0
Воронежская область,рубль,,1996,468.0
Воронежская область,рубль,,1997,676.2
Воронежская область,рубль,,1998,787.1
Воронежская область,рубль,,1999,1186.0
Воронежская область,рубль,,2000,1486.5
Воронежская область,рубль,,2001,2039.7
Воронежская область,рубль,,2002,2597.4
Воронежская область,рубль,,2003,3391.2
Воронежская область,рубль,,2004,4143.0
Воронежская область,рубль,,2005,5398.0
Воронежская область,рубль,,2006,6861.6
Воронежская область,рубль,,2007,8306.6
Ивановская область,рубль,,1995,309.9
Ивановская область,рубль,,1996,460.5
Ивановская область,рубль,,1997,555.2
Ивановская область,рубль,,1998,522.2
Ивановская область,рубль,,1999,756.7
Ивановская область,рубль,,2000,1037.6
Ивановская область,рубль,,2001,1297.8
Ивановская область,рубль,,2002,1778.4
Ивановская область,рубль,,2003,2293.1
Ивановская область,рубль,,2004,2858.8
Ивановская область,рубль,,2005,3480.3
Ивановская область,рубль,,2006,4456.9
Ивановская область,рубль,,2007,5683.5
Калужская область,рубль,,1995,438.4
Калужская область,рубль,,1996,571.0
Калужская область,рубль,,1997,644.8
Калужская область,рубль,,1998,696.7
Калужская область,рубль,,1999,1028.5
Калужская область,рубль,,2000,1311.3
Калужская область,рубль,,2001,1782.1
Калужская область,рубль,,2002,2503.3
Калужская область,рубль,,2003,3339.8
Калужская область,рубль,,2004,4181.4
Калужская область,рубль,,2005,5343.4
Калужская область,рубль,,2006,6924.7
Калужская область,рубль,,2007,9185.5
Костромская область,рубль,,1995,398.7
Костромская область,рубль,,1996,533.9
Костромская область,рубль,,1997,620.3
Костромская область,рубль,,1998,619.0
Костромская область,рубль,,1999,1034.5
Костромская область,рубль,,2000,1438.9
Костромская область,рубль,,2001,1904.5
Костромская область,рубль,,2002,2515.7
Костромская область,рубль,,2003,3089.2
Костромская область,рубль,,2004,3815.5
Костромская область,рубль,,2005,4985.4
Костромская область,рубль,,2006,6397.5
Костромская область,рубль,,2007,7857.3
Курская область,рубль,,1995,313.4
Курская область,рубль,,1996,463.2
Курская область,рубль,,1997,595.5
Курская область,рубль,,1998,644.7
