label_0,label_1,label_2,period_label,period,value
Российская Федерация,рубль,значение показателя за год,,2015,30694.0
Российская Федерация,рубль,значение показателя за год,,2016,32633.0
Российская Федерация,рубль,значение показателя за год,,2017,34574.0
Российская Федерация,рубль,значение показателя за год,,2018,37889.0
Российская Федерация,рубль,значение показателя за год,,2019,39921.0
Российская Федерация,рубль,значение показателя за год,,2020,42366.0
Российская Федерация,рубль,значение показателя за год,,2021,45936.0
Российская Федерация,рубль,значение показателя за год,,2022,50702.0
Российская Федерация,рубль,значение показателя за год,,2023,57210.0
Центральный федеральный округ,рубль,значение показателя за год,,2015,38150.0
Центральный федеральный округ,рубль,значение показателя за год,,2016,41158.0
Центральный федеральный округ,рубль,значение показателя за год,,2017,43173.0
Центральный федеральный округ,рубль,значение показателя за год,,2018,47400.0
Центральный федеральный округ,рубль,значение показателя за год,,2019,50166.0
Центральный федеральный округ,рубль,значение показателя за год,,2020,52958.0
Центральный федеральный округ,рубль,значение показателя за год,,2021,57472.0
Центральный федеральный округ,рубль,значение показателя за год,,2022,62996.0
Центральный федеральный округ,рубль,значение показателя за год,,2023,70667.0
Белгородская область,рубль,значение показателя за год,,2015,23702.0
Белгородская область,рубль,значение показателя за год,,2016,24444.0
Белгородская область,рубль,значение показателя за год,,2017,25968.0
Белгородская область,рубль,значение показателя за год,,2018,28434.0
Белгородская область,рубль,значение показателя за год,,2019,30094.0
Белгородская область,рубль,значение показателя за год,,2020,32296.0
Белгородская область,рубль,значение показателя за год,,2021,34999.0
Белгородская область,рубль,значение показателя за год,,2022,39089.0
Белгородская область,рубль,значение показателя за год,,2023,43683.0
Брянская область,рубль,значение показателя за год,,2015,19754.0
Брянская область,рубль,значение показателя за год,,2016,20092.0
Брянская область,рубль,значение показателя за год,,2017,21458.0
Брянская область,рубль,значение показателя за год,,2018,23606.0
Брянская область,рубль,значение показателя за год,,2019,24989.0
Брянская область,рубль,значение показателя за год,,2020,26077.0
Брянская область,рубль,значение показателя за год,,2021,28552.0
Брянская область,рубль,значение показателя за год,,2022,31866.0
Брянская область,рубль,значение показателя за год,,2023,37374.0
Владимирская область,рубль,значение показателя за год,,2015,21995.0
Владимирская область,рубль,значение показателя за год,,2016,22807.0
Владимирская область,рубль,значение показателя за год,,2017,24239.0
Владимирская область,рубль,значение показателя за год,,2018,26781.0
Владимирская область,рубль,значение показателя за год,,2019,27957.0
Владимирская область,рубль,значение показателя за год,,2020,29769.0
Владимирская область,рубль,значение показателя за год,,2021,32368.0
Владимирская область,рубль,значение показателя за год,,2022,35621.0
Владимирская область,рубль,значение показателя за год,,2023,41381.0
Воронежская область,рубль,значение показателя за год,,2015,22413.0
Воронежская область,рубль,значение показателя за год,,2016,23396.0
Воронежская область,рубль,значение показателя за год,,2017,24616.0
Воронежская область,рубль,значение показателя за год,,2018,26820.0
Воронежская область,рубль,значение показателя за год,,2019,28263.0
Воронежская область,рубль,значение показателя за год,,2020,29723.0
Воронежская область,рубль,значение показателя за год,,2021,32706.0
Воронежская область,рубль,значение показателя за год,,2022,36755.0
Воронежская область,рубль,значение показателя за год,,2023,41982.0
Ивановская область,рубль,значение показателя за год,,2015,18031.0
Ивановская область,рубль,значение показателя за год,,2016,19335.0
Ивановская область,рубль,значение показателя за год,,2017,20140.0
Ивановская область,рубль,значение показателя за год,,2018,21943.0
Ивановская область,рубль,значение показателя за год,,2019,22924.0
Ивановская область,рубль,значение показателя за год,,2020,23965.0
Ивановская область,рубль,значение показателя за год,,2021,25909.0
Ивановская область,рубль,значение показателя за год,,2022,28110.0
Ивановская область,рубль,значение показателя за год,,2023,31236.0
Калужская область,рубль,значение показателя за год,,2015,27254.0
Калужская область,рубль,значение показателя за год,,2016,27949.0
Калужская область,рубль,значение показателя за год,,2017,30024.0
Калужская область,рубль,значение показателя за год,,2018,33329.0
Калужская область,рубль,значение показателя за год,,2019,34495.0
Калужская область,рубль,значение показателя за год,,2020,36567.0
Калужская область,рубль,значение показателя за год,,2021,39817.0
Калужская область,рубль,значение показателя за год,,2022,42781.0
Калужская область,рубль,значение показателя за год,,2023,46873.0
