label_0,label_1,label_2,period_label,period,value
Российская Федерация,15 лет и старше,процент,январь,2017-01,5.6
Российская Федерация,15 лет и старше,процент,февраль,2017-02,5.6
Российская Федерация,15 лет и старше,процент,март,2017-03,5.4
Российская Федерация,15 лет и старше,процент,апрель,2017-04,5.3
Российская Федерация,15 лет и старше,процент,май,2017-05,5.2
Российская Федерация,15 лет и старше,процент,июнь,2017-06,5.1
Российская Федерация,15 лет и старше,процент,июль,2017-07,5.1
Российская Федерация,15 лет и старше,процент,август,2017-08,4.9
Российская Федерация,15 лет и старше,процент,сентябрь,2017-09,5.0
Российская Федерация,15 лет и старше,процент,октябрь,2017-10,5.0
Российская Федерация,15 лет и старше,процент,ноябрь,2017-11,5.1
Российская Федерация,15 лет и старше,процент,декабрь,2017-12,5.1
Российская Федерация,15 лет и старше,процент,январь,2018-01,5.2
Российская Федерация,15 лет и старше,процент,февраль,2018-02,5.0
Российская Федерация,15 лет и старше,процент,март,2018-03,5.0
Российская Федерация,15 лет и старше,процент,апрель,2018-04,4.9
Российская Федерация,15 лет и старше,процент,май,2018-05,4.7
Российская Федерация,15 лет и старше,процент,июнь,2018-06,4.7
Российская Федерация,15 лет и старше,процент,июль,2018-07,4.7
Российская Федерация,15 лет и старше,процент,август,2018-08,4.6
Российская Федерация,15 лет и старше,процент,сентябрь,2018-09,4.5
Российская Федерация,15 лет и старше,процент,октябрь,2018-10,4.7
Российская Федерация,15 лет и старше,процент,ноябрь,2018-11,4.8
Российская Федерация,15 лет и старше,процент,декабрь,2018-12,4.8
Российская Федерация,15 лет и старше,процент,январь,2019-01,4.9
Российская Федерация,15 лет и старше,процент,февраль,2019-02,4.9
Российская Федерация,15 лет и старше,процент,март,2019-03,4.7
Российская Федерация,15 лет и старше,процент,апрель,2019-04,4.7
Российская Федерация,15 лет и старше,процент,май,2019-05,4.5
Российская Федерация,15 лет и старше,процент,июнь,2019-06,4.4
Российская Федерация,15 лет и старше,процент,июль,2019-07,4.5
Российская Федерация,15 лет и старше,процент,август,2019-08,4.3
Российская Федерация,15 лет и старше,процент,сентябрь,2019-09,4.5
Российская Федерация,15 лет и старше,процент,октябрь,2019-10,4.6
Российская Федерация,15 лет и старше,процент,ноябрь,2019-11,4.6
Российская Федерация,15 лет и старше,процент,декабрь,2019-12,4.6
Российская Федерация,15 лет и старше,процент,январь,2020-01,4.6
Российская Федерация,15 лет и старше,процент,февраль,2020-02,4.6
Российская Федерация,15 лет и старше,процент,март,2020-03,4.6
Российская Федерация,15 лет и старше,процент,апрель,2020-04,5.7
Российская Федерация,15 лет и старше,процент,май,2020-05,6.1
Российская Федерация,15 лет и старше,процент,июнь,2020-06,6.2
Российская Федерация,15 лет и старше,процент,июль,2020-07,6.3
Российская Федерация,15 лет и старше,процент,август,2020-08,6.4
Российская Федерация,15 лет и старше,процент,сентябрь,2020-09,6.4
Российская Федерация,15 лет и старше,процент,октябрь,2020-10,6.3
Российская Федерация,15 лет и старше,процент,ноябрь,2020-11,6.1
Российская Федерация,15 лет и старше,процент,декабрь,2020-12,5.9
Российская Федерация,15 лет и старше,процент,январь,2021-01,5.8
Российская Федерация,15 лет и старше,процент,февраль,2021-02,5.7
Российская Федерация,15 лет и старше,процент,март,2021-03,5.4
Российская Федерация,15 лет и старше,процент,апрель,2021-04,5.2
Российская Федерация,15 лет и старше,процент,май,2021-05,4.9
Российская Федерация,15 лет и старше,процент,июнь,2021-06,4.8
Российская Федерация,15 лет и старше,процент,июль,2021-07,4.6
Российская Федерация,15 лет и старше,процент,август,2021-08,4.4
Российская Федерация,15 лет и старше,процент,сентябрь,2021-09,4.3
Российская Федерация,15 лет и старше,процент,октябрь,2021-10,4.3
Российская Федерация,15 лет и старше,процент,ноябрь,2021-11,4.3
Российская Федерация,15 лет и старше,процент,декабрь,2021-12,4.3
Российская Федерация,15 лет и старше,процент,январь,2022-01,4.4
Российская Федерация,15 лет и старше,процент,февраль,2022-02,4.1
Российская Федерация,15 лет и старше,процент,март,2022-03,4.1
Российская Федерация,15 лет и старше,процент,апрель,2022-04,4.0
Российская Федерация,15 лет и старше,процент,май,2022-05,3.9
Российская Федерация,15 лет и старше,процент,июнь,2022-06,4.0
Российская Федерация,15 лет и старше,процент,июль,2022-07,3.9
Российская Федерация,15 лет и старше,процент,август,2022-08,3.8
Российская Федерация,15 лет и старше,процент,сентябрь,2022-09,3.9
Российская Федерация,15 лет и старше,процент,октябрь,2022-10,3.9
Российская Федерация,15 лет и старше,процент,ноябрь,2022-11,3.7
Российская Федерация,15 лет и старше,процент,декабрь,2022-12,3.7
Российская Федерация,15-72 лет,процент,январь,2015-01,5.5
Российская Федерация,15-72 лет,процент,февраль,2015-02,5.8
Российская Федерация,15-72 лет,процент,март,2015-03,5.9
Российская Федерация,15-72 лет,процент,апрель,2015-04,5.8
Российская Федерация,15-72 лет,процент,май,2015-05,5.6
Российская Федерация,15-72 лет,процент,июнь,2015-06,5.3
Российская Федерация,15-72 лет,процент,июль,2015-07,5.3
Российская Федерация,15-72 лет,процент,август,2015-08,5.2
Российская Федерация,15-72 лет,процент,сентябрь,2015-09,5.2
Российская Федерация,15-72 лет,процент,октябрь,2015-10,5.5
Российская Федерация,15-72 лет,процент,ноябрь,2015-11,5.8
Российская Федерация,15-72 лет,процент,декабрь,2015-12,5.8
Российская Федерация,15-72 лет,процент,январь,2016-01,5.8
Российская Федерация,15-72 лет,процент,февраль,2016-02,5.8
Российская Федерация,15-72 лет,процент,март,2016-03,6.0
Российская Федерация,15-72 лет,процент,апрель,2016-04,5.9
Российская Федерация,15-72 лет,процент,май,2016-05,5.6
Российская Федерация,15-72 лет,процент,июнь,2016-06,5.4
Российская Федерация,15-72 лет,процент,июль,2016-07,5.3
Российская Федерация,15-72 лет,процент,август,2016-08,5.2
Российская Федерация,15-72 лет,процент,сентябрь,2016-09,5.2
Российская Федерация,15-72 лет,процент,октябрь,2016-10,5.3
Российская Федерация,15-72 лет,процент,ноябрь,2016-11,5.3
Российская Федерация,15-72 лет,процент,декабрь,2016-12,5.3
Российская Федерация,15-72 лет,процент,январь,2017-01,5.6
Российская Федерация,15-72 лет,процент,февраль,2017-02,5.6
Российская Федерация,15-72 лет,процент,март,2017-03,5.4
Российская Федерация,15-72 лет,процент,апрель,2017-04,5.3
Российская Федерация,15-72 лет,процент,май,2017-05,5.2
Российская Федерация,15-72 лет,процент,июнь,2017-06,5.1
Российская Федерация,15-72 лет,процент,июль,2017-07,5.1
Российская Федерация,15-72 лет,процент,август,2017-08,4.9
Российская Федерация,15-72 лет,процент,сентябрь,2017-09,5.0
Российская Федерация,15-72 лет,процент,октябрь,2017-10,5.0
Российская Федерация,15-72 лет,процент,ноябрь,2017-11,5.1
Российская Федерация,15-72 лет,процент,декабрь,2017-12,5.1
Российская Федерация,15-72 лет,процент,январь,2018-01,5.2
Российская Федерация,15-72 лет,процент,февраль,2018-02,5.0
Российская Федерация,15-72 лет,процент,март,2018-03,5.0
Российская Федерация,15-72 лет,процент,апрель,2018-04,4.9
Российская Федерация,15-72 лет,процент,май,2018-05,4.7
Российская Федерация,15-72 лет,процент,июнь,2018-06,4.7
Российская Федерация,15-72 лет,процент,июль,2018-07,4.7
Российская Федерация,15-72 лет,процент,август,2018-08,4.6
Российская Федерация,15-72 лет,процент,сентябрь,2018-09,4.5
Российская Федерация,15-72 лет,процент,октябрь,2018-10,4.7
Российская Федерация,15-72 лет,процент,ноябрь,2018-11,4.8
Российская Федерация,15-72 лет,процент,декабрь,2018-12,4.9
Российская Федерация,15-72 лет,процент,январь,2019-01,4.9
Российская Федерация,15-72 лет,процент,февраль,2019-02,4.9
Российская Федерация,15-72 лет,процент,март,2019-03,4.7
Российская Федерация,15-72 лет,процент,апрель,2019-04,4.7
Российская Федерация,15-72 лет,процент,май,2019-05,4.6
Российская Федерация,15-72 лет,процент,июнь,2019-06,4.4
Российская Федерация,15-72 лет,процент,июль,2019-07,4.5
Российская Федерация,15-72 лет,процент,август,2019-08,4.3
Российская Федерация,15-72 лет,процент,сентябрь,2019-09,4.5
Российская Федерация,15-72 лет,процент,октябрь,2019-10,4.6
Российская Федерация,15-72 лет,процент,ноябрь,2019-11,4.6
Российская Федерация,15-72 лет,процент,декабрь,2019-12,4.6
Российская Федерация,15-72 лет,процент,январь,2020-01,4.6
Российская Федерация,15-72 лет,процент,февраль,2020-02,4.6
Российская Федерация,15-72 лет,процент,март,2020-03,4.6
Российская Федерация,15-72 лет,процент,апрель,2020-04,5.8
Российская Федерация,15-72 лет,процент,май,2020-05,6.1
Российская Федерация,15-72 лет,процент,июнь,2020-06,6.2
Российская Федерация,15-72 лет,процент,июль,2020-07,6.3
Российская Федерация,15-72 лет,процент,август,2020-08,6.4
Российская Федерация,15-72 лет,процент,сентябрь,2020-09,6.4
Российская Федерация,15-72 лет,процент,октябрь,2020-10,6.3
Российская Федерация,15-72 лет,процент,ноябрь,2020-11,6.1
Российская Федерация,15-72 лет,процент,декабрь,2020-12,5.9
Российская Федерация,15-72 лет,процент,январь,2021-01,5.8
Российская Федерация,15-72 лет,процент,февраль,2021-02,5.7
Российская Федерация,15-72 лет,процент,март,2021-03,5.4
Российская Федерация,15-72 лет,процент,апрель,2021-04,5.2
Российская Федерация,15-72 лет,процент,май,2021-05,4.9
Российская Федерация,15-72 лет,процент,июнь,2021-06,4.8
Российская Федерация,15-72 лет,процент,июль,2021-07,4.6
Российская Федерация,15-72 лет,процент,август,2021-08,4.4
