label_0,label_1,label_2,period_label,period,value
Российская Федерация,процент,значение показателя за год,,2010,7.3
Российская Федерация,процент,значение показателя за год,,2011,6.5
Российская Федерация,процент,значение показателя за год,,2012,5.5
Российская Федерация,процент,значение показателя за год,,2013,5.5
Российская Федерация,процент,значение показателя за год,,2014,5.2
Российская Федерация,процент,значение показателя за год,,2015,5.6
Российская Федерация,процент,значение показателя за год,,2016,5.5
Российская Федерация,процент,значение показателя за год,,2017,5.2
Российская Федерация,процент,значение показателя за год,,2018,4.8
Центральный федеральный округ,процент,значение показателя за год,,2010,4.6
Центральный федеральный округ,процент,значение показателя за год,,2011,4.1
Центральный федеральный округ,процент,значение показателя за год,,2012,3.1
Центральный федеральный округ,процент,значение показателя за год,,2013,3.3
Центральный федеральный округ,процент,значение показателя за год,,2014,3.1
Центральный федеральный округ,процент,значение показателя за год,,2015,3.5
Центральный федеральный округ,процент,значение показателя за год,,2016,3.5
Центральный федеральный округ,процент,значение показателя за год,,2017,3.2
Центральный федеральный округ,процент,значение показателя за год,,2018,2.9
Белгородская область,процент,значение показателя за год,,2010,5.2
Белгородская область,процент,значение показателя за год,,2011,4.3
Белгородская область,процент,значение показателя за год,,2012,3.7
Белгородская область,процент,значение показателя за год,,2013,4.0
Белгородская область,процент,значение показателя за год,,2014,4.0
Белгородская область,процент,значение показателя за год,,2015,4.1
Белгородская область,процент,значение показателя за год,,2016,4.0
Белгородская область,процент,значение показателя за год,,2017,3.9
Белгородская область,процент,значение показателя за год,,2018,4.0
Брянская область,процент,значение показателя за год,,2010,8.0
Брянская область,процент,значение показателя за год,,2011,7.1
Брянская область,процент,значение показателя за год,,2012,5.1
Брянская область,процент,значение показателя за год,,2013,5.2
Брянская область,процент,значение показателя за год,,2014,5.0
Брянская область,процент,значение показателя за год,,2015,4.6
Брянская область,процент,значение показателя за год,,2016,4.6
Брянская область,процент,значение показателя за год,,2017,4.4
Брянская область,процент,значение показателя за год,,2018,3.9
Владимирская область,процент,значение показателя за год,,2010,6.1
Владимирская область,процент,значение показателя за год,,2011,5.7
Владимирская область,процент,значение показателя за год,,2012,4.4
Владимирская область,процент,значение показателя за год,,2013,3.8
Владимирская область,процент,значение показателя за год,,2014,4.3
Владимирская область,процент,значение показателя за год,,2015,5.6
Владимирская область,процент,значение показателя за год,,2016,5.6
Владимирская область,процент,значение показателя за год,,2017,4.8
Владимирская область,процент,значение показателя за год,,2018,4.7
Воронежская область,процент,значение показателя за год,,2010,7.5
Воронежская область,процент,значение показателя за год,,2011,6.4
Воронежская область,процент,значение показателя за год,,2012,5.5
Воронежская область,процент,значение показателя за год,,2013,4.7
Воронежская область,процент,значение показателя за год,,2014,4.5
Воронежская область,процент,значение показателя за год,,2015,4.5
Воронежская область,процент,значение показателя за год,,2016,4.5
Воронежская область,процент,значение показателя за год,,2017,4.3
Воронежская область,процент,значение показателя за год,,2018,3.7
Ивановская область,процент,значение показателя за год,,2010,7.6
Ивановская область,процент,значение показателя за год,,2011,6.6
Ивановская область,процент,значение показателя за год,,2012,6.3
Ивановская область,процент,значение показателя за год,,2013,5.2
Ивановская область,процент,значение показателя за год,,2014,4.3
Ивановская область,процент,значение показателя за год,,2015,5.6
Ивановская область,процент,значение показателя за год,,2016,5.6
Ивановская область,процент,значение показателя за год,,2017,4.7
Ивановская область,процент,значение показателя за год,,2018,4.2
Калужская область,процент,значение показателя за год,,2010,6.7
Калужская область,процент,значение показателя за год,,2011,5.6
Калужская область,процент,значение показателя за год,,2012,4.3
Калужская область,процент,значение показателя за год,,2013,4.5
Калужская область,процент,значение показателя за год,,2014,4.2
Калужская область,процент,значение показателя за год,,2015,4.3
Калужская область,процент,значение показателя за год,,2016,4.2
Калужская область,процент,значение показателя за год,,2017,4.0
Калужская область,процент,значение показателя за год,,2018,3.9
Костромская область,процент,значение показателя за год,,2010,6.0
Костромская область,процент,значение показателя за год,,2011,5.1
Костромская область,процент,значение показателя за год,,2012,4.8
Костромская область,процент,значение показателя за год,,2013,4.9
Костромская область,процент,значение показателя за год,,2014,4.3
Костромская область,процент,значение показателя за год,,2015,5.3
Костромская область,процент,значение показателя за год,,2016,5.5
Костромская область,процент,значение показателя за год,,2017,5.3
Костромская область,процент,значение показателя за год,,2018,4.5
Курская область,процент,значение показателя за год,,2010,8.2
Курская область,процент,значение показателя за год,,2011,6.3
Курская область,процент,значение показателя за год,,2012,5.1
Курская область,процент,значение показателя за год,,2013,4.6
Курская область,процент,значение показателя за год,,2014,3.9
Курская область,процент,значение показателя за год,,2015,4.2
Курская область,процент,значение показателя за год,,2016,4.3
Курская область,процент,значение показателя за год,,2017,4.1
Курская область,процент,значение показателя за год,,2018,4.0
Липецкая область,процент,значение показателя за год,,2010,4.5
Липецкая область,процент,значение показателя за год,,2011,4.9
Липецкая область,процент,значение показателя за год,,2012,3.6
Липецкая область,процент,значение показателя за год,,2013,3.7
Липецкая область,процент,значение показателя за год,,2014,3.7
Липецкая область,процент,значение показателя за год,,2015,4.1
Липецкая область,процент,значение показателя за год,,2016,4.0
Липецкая область,процент,значение показателя за год,,2017,3.9
Липецкая область,процент,значение показателя за год,,2018,3.8
Московская область,процент,значение показателя за год,,2010,3.3
Московская область,процент,значение показателя за год,,2011,3.7
Московская область,процент,значение показателя за год,,2012,2.9
Московская область,процент,значение показателя за год,,2013,2.8
Московская область,процент,значение показателя за год,,2014,2.7
Московская область,процент,значение показателя за год,,2015,3.3
Московская область,процент,значение показателя за год,,2016,3.3
Московская область,процент,значение показателя за год,,2017,3.2
Московская область,процент,значение показателя за год,,2018,2.7
Орловская область,процент,значение показателя за год,,2010,8.9
Орловская область,процент,значение показателя за год,,2011,6.3
Орловская область,процент,значение показателя за год,,2012,5.3
Орловская область,процент,значение показателя за год,,2013,5.8
Орловская область,процент,значение показателя за год,,2014,5.1
Орловская область,процент,значение показателя за год,,2015,6.2
Орловская область,процент,значение показателя за год,,2016,6.4
Орловская область,процент,значение показателя за год,,2017,6.5
Орловская область,процент,значение показателя за год,,2018,4.9
Рязанская область,процент,значение показателя за год,,2010,8.4
Рязанская область,процент,значение показателя за год,,2011,7.2
Рязанская область,процент,значение показателя за год,,2012,4.6
Рязанская область,процент,значение показателя за год,,2013,4.7
Рязанская область,процент,значение показателя за год,,2014,4.4
Рязанская область,процент,значение показателя за год,,2015,4.7
Рязанская область,процент,значение показателя за год,,2016,4.4
Рязанская область,процент,значение показателя за год,,2017,4.1
