label_0,label_1,label_2,period_label,period,value
Российская Федерация,15-72 лет,процент,значение показателя за год,2000,10.6
Российская Федерация,15-72 лет,процент,значение показателя за год,2001,9.0
Российская Федерация,15-72 лет,процент,значение показателя за год,2002,7.9
Российская Федерация,15-72 лет,процент,значение показателя за год,2003,8.2
Российская Федерация,15-72 лет,процент,значение показателя за год,2004,7.8
Российская Федерация,15-72 лет,процент,значение показателя за год,2005,7.1
Российская Федерация,15-72 лет,процент,значение показателя за год,2006,7.1
Российская Федерация,15-72 лет,процент,значение показателя за год,2007,6.0
Российская Федерация,15-72 лет,процент,значение показателя за год,2008,6.2
Российская Федерация,15-72 лет,процент,значение показателя за год,2009,8.3
Российская Федерация,15-72 лет,процент,I квартал,2010-Q1,8.7
Российская Федерация,15-72 лет,процент,II квартал,2010-Q2,7.3
Российская Федерация,15-72 лет,процент,III квартал,2010-Q3,6.7
Российская Федерация,15-72 лет,процент,IV квартал,2010-Q4,6.7
Российская Федерация,15-72 лет,процент,значение показателя за год,2010,7.3
Российская Федерация,15-72 лет,процент,I квартал,2011-Q1,7.4
Российская Федерация,15-72 лет,процент,II квартал,2011-Q2,6.4
Российская Федерация,15-72 лет,процент,III квартал,2011-Q3,6.1
Российская Федерация,15-72 лет,процент,IV квартал,2011-Q4,6.1
Российская Федерация,15-72 лет,процент,значение показателя за год,2011,6.5
Российская Федерация,15-72 лет,процент,I квартал,2012-Q1,6.3
Российская Федерация,15-72 лет,процент,II квартал,2012-Q2,5.3
Российская Федерация,15-72 лет,процент,III квартал,2012-Q3,5.1
Российская Федерация,15-72 лет,процент,IV квартал,2012-Q4,5.1
Российская Федерация,15-72 лет,процент,значение показателя за год,2012,5.5
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2000,7.8
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2001,6.0
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2002,5.1
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2003,5.1
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2004,4.7
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2005,4.3
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2006,4.0
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2007,3.1
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2008,3.6
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2009,5.8
Центральный федеральный округ,15-72 лет,процент,I квартал,2010-Q1,5.6
Центральный федеральный округ,15-72 лет,процент,II квартал,2010-Q2,4.6
Центральный федеральный округ,15-72 лет,процент,III квартал,2010-Q3,4.3
Центральный федеральный округ,15-72 лет,процент,IV квартал,2010-Q4,4.1
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2010,4.6
Центральный федеральный округ,15-72 лет,процент,I квартал,2011-Q1,4.6
Центральный федеральный округ,15-72 лет,процент,II квартал,2011-Q2,4.0
Центральный федеральный округ,15-72 лет,процент,III квартал,2011-Q3,3.9
Центральный федеральный округ,15-72 лет,процент,IV квартал,2011-Q4,3.9
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2011,4.1
Центральный федеральный округ,15-72 лет,процент,I квартал,2012-Q1,3.8
Центральный федеральный округ,15-72 лет,процент,II квартал,2012-Q2,3.0
Центральный федеральный округ,15-72 лет,процент,III квартал,2012-Q3,2.9
Центральный федеральный округ,15-72 лет,процент,IV квартал,2012-Q4,2.8
Центральный федеральный округ,15-72 лет,процент,значение показателя за год,2012,3.1
Белгородская область,15-72 лет,процент,значение показателя за год,2000,6.1
Белгородская область,15-72 лет,процент,значение показателя за год,2001,6.4
Белгородская область,15-72 лет,процент,значение показателя за год,2002,8.1
Белгородская область,15-72 лет,процент,значение показателя за год,2003,8.3
Белгородская область,15-72 лет,процент,значение показателя за год,2004,6.2
Белгородская область,15-72 лет,процент,значение показателя за год,2005,5.9
Белгородская область,15-72 лет,процент,значение показателя за год,2006,5.6
