region,period,value
Алтайский край,1990,2640419.0
Алтайский край,1991,2653818.0
Алтайский край,1992,2664886.0
Алтайский край,1993,2680334.0
Алтайский край,1994,2684297.0
Алтайский край,1995,2694271.0
Алтайский край,1996,2688035.0
Алтайский край,1997,2676677.0
Алтайский край,1998,2670454.0
Алтайский край,1999,2662738.0
Алтайский край,2000,2651628.0
Алтайский край,2001,2641079.0
Алтайский край,2002,2621050.0
Алтайский край,2003,2602595.0
Алтайский край,2004,2571987.0
Алтайский край,2005,2539430.0
Алтайский край,2006,2503510.0
Алтайский край,2007,2473024.0
Алтайский край,2008,2453455.0
Алтайский край,2009,2438910.0
Алтайский край,2010,2430765.0
Алтайский край,2011,2417358.0
Алтайский край,2012,2396786.0
Алтайский край,2013,2377980.0
Алтайский край,2014,2359540.0
Алтайский край,2015,2343388.0
Алтайский край,2016,2376774.0
Алтайский край,2017,2365680.0
Алтайский край,2018,2350080.0
Алтайский край,2019,2332813.0
Алтайский край,2020,2317153.0
Алтайский край,2021,2296353.0
Алтайский край,2022,2154932.0
Алтайский край,2023,2130950.0
Алтайский край,2024,2115308.0
Алтайский край,2025,2099186.0
Амурская область,1990,1055337.0
Амурская область,1991,1054267.0
Амурская область,1992,1048649.0
Амурская область,1993,1029516.0
Амурская область,1994,1018407.0
Амурская область,1995,995012.0
Амурская область,1996,986417.0
Амурская область,1997,974942.0
Амурская область,1998,962023.0
Амурская область,1999,949526.0
Амурская область,2000,935607.0
Амурская область,2001,923055.0
Амурская область,2002,911381.0
Амурская область,2003,901044.0
Амурская область,2004,887781.0
Амурская область,2005,874018.0
Амурская область,2006,861056.0
Амурская область,2007,850502.0
Амурская область,2008,844290.0
Амурская область,2009,838869.0
Амурская область,2010,834905.0
Амурская область,2011,828660.0
Амурская область,2012,820627.0
Амурская область,2013,815163.0
Амурская область,2014,808726.0
Амурская область,2015,806524.0
Амурская область,2016,805689.0
Амурская область,2017,801752.0
Амурская область,2018,798424.0
Амурская область,2019,793194.0
Амурская область,2020,790044.0
Амурская область,2021,781846.0
Амурская область,2022,763570.0
Амурская область,2023,756198.0
Амурская область,2024,750083.0
Амурская область,2025,753046.0
Архангельская область,1990,1575502.0
Архангельская область,1991,1568960.0
Архангельская область,1992,1554584.0
Архангельская область,1993,1537808.0
Архангельская область,1994,1517979.0
Архангельская область,1995,1498182.0
Архангельская область,1996,1476064.0
Архангельская область,1997,1454894.0
Архангельская область,1998,1433874.0
Архангельская область,1999,1414144.0
Архангельская область,2000,1390334.0
Архангельская область,2001,1369118.0
Архангельская область,2002,1350448.0
Архангельская область,2003,1332655.0
Архангельская область,2004,1315549.0
Архангельская область,2005,1299218.0
Архангельская область,2006,1281838.0
Архангельская область,2007,1266667.0
Архангельская область,2008,1257164.0
Архангельская область,2009,1246204.0
Архангельская область,2010,1237493.0
Архангельская область,2011,1224880.0
Архангельская область,2012,1204128.0
Архангельская область,2013,1183559.0
Архангельская область,2014,1163718.0
Архангельская область,2015,1146094.0
Архангельская область,2016,1174078.0
Архангельская область,2017,1165750.0
Архангельская область,2018,1155028.0
Архангельская область,2019,1144119.0
Архангельская область,2020,1136535.0
Архангельская область,2021,1127051.0
Архангельская область,2022,1016030.0
Архангельская область,2023,1005687.0
Архангельская область,2024,998072.0
Архангельская область,2025,989434.0
Астраханская область,1990,997516.0
Астраханская область,1991,1001044.0
Астраханская область,1992,1003253.0
Астраханская область,1993,1004737.0
Астраханская область,1994,1006099.0
Астраханская область,1995,1014170.0
Астраханская область,1996,1019171.0
Астраханская область,1997,1020576.0
Астраханская область,1998,1019880.0
Астраханская область,1999,1016372.0
Астраханская область,2000,1012385.0
Астраханская область,2001,1009281.0
Астраханская область,2002,1005510.0
Астраханская область,2003,1004780.0
Астраханская область,2004,1006073.0
Астраханская область,2005,1006467.0
Астраханская область,2006,1002517.0
Астраханская область,2007,1001300.0
Астраханская область,2008,1005897.0
Астраханская область,2009,1009926.0
Астраханская область,2010,1011120.0
Астраханская область,2011,1009801.0
Астраханская область,2012,1011490.0
Астраханская область,2013,1007485.0
Астраханская область,2014,1007357.0
Астраханская область,2015,1009216.0
Астраханская область,2016,1018626.0
Астраханская область,2017,1018866.0
Астраханская область,2018,1017514.0
Астраханская область,2019,1014065.0
Астраханская область,2020,1005782.0
Астраханская область,2021,997778.0
Астраханская область,2022,957772.0
Астраханская область,2023,950557.0
Астраханская область,2024,946429.0
Астраханская область,2025,946580.0
Белгородская область,1990,1387455.0
Белгородская область,1991,1397986.0
Белгородская область,1992,1404959.0
Белгородская область,1993,1419743.0
Белгородская область,1994,1434551.0
Белгородская область,1995,1454923.0
Белгородская область,1996,1467562.0
Белгородская область,1997,1478580.0
Белгородская область,1998,1485855.0
Белгородская область,1999,1494868.0
Белгородская область,2000,1501699.0
Белгородская область,2001,1506976.0
Белгородская область,2002,1508137.0
Белгородская область,2003,1511899.0
Белгородская область,2004,1513860.0
Белгородская область,2005,1511662.0
Белгородская область,2006,1511715.0
Белгородская область,2007,1514153.0
Белгородская область,2008,1520102.0
Белгородская область,2009,1526258.0
Белгородская область,2010,1531781.0
Белгородская область,2011,1532353.0
Белгородская область,2012,1536605.0
Белгородская область,2013,1541929.0
Белгородская область,2014,1545522.0
Белгородская область,2015,1549797.0
Белгородская область,2016,1550137.0
Белгородская область,2017,1552865.0
Белгородская область,2018,1549876.0
Белгородская область,2019,1547418.0
Белгородская область,2020,1549151.0
Белгородская область,2021,1541259.0
Белгородская область,2022,1536466.0
Белгородская область,2023,1514527.0
Белгородская область,2024,1500659.0
Белгородская область,2025,1482025.0
Брянская область,1990,1470953.0
Брянская область,1991,1457987.0
Брянская область,1992,1456025.0
Брянская область,1993,1460144.0
Брянская область,1994,1462308.0
Брянская область,1995,1469251.0
Брянская область,1996,1466792.0
Брянская область,1997,1459181.0
Брянская область,1998,1448275.0
Брянская область,1999,1437471.0
Брянская область,2000,1423178.0
Брянская область,2001,1407965.0
Брянская область,2002,1391430.0
Брянская область,2003,1375004.0
Брянская область,2004,1360249.0
Брянская область,2005,1344132.0
Брянская область,2006,1327652.0
Брянская область,2007,1312748.0
Брянская область,2008,1303343.0
Брянская область,2009,1294251.0
Брянская область,2010,1286540.0
Брянская область,2011,1275354.0
Брянская область,2012,1263667.0
Брянская область,2013,1252266.0
Брянская область,2014,1240554.0
Брянская область,2015,1230244.0
Брянская область,2016,1225741.0
Брянская область,2017,1220530.0
Брянская область,2018,1210982.0
Брянская область,2019,1200187.0
Брянская область,2020,1192491.0
Брянская область,2021,1182682.0
Брянская область,2022,1164635.0
Брянская область,2023,1152505.0
Брянская область,2024,1142404.0
Брянская область,2025,1132795.0
Владимирская область,1990,1657068.0
Владимирская область,1991,1654489.0
Владимирская область,1992,1647701.0
Владимирская область,1993,1642469.0
Владимирская область,1994,1634028.0
Владимирская область,1995,1630514.0
Владимирская область,1996,1623677.0
Владимирская область,1997,1612692.0
Владимирская область,1998,1602911.0
Владимирская область,1999,1592184.0
Владимирская область,2000,1575507.0
Владимирская область,2001,1558052.0
Владимирская область,2002,1539179.0
Владимирская область,2003,1520057.0
Владимирская область,2004,1509571.0
Владимирская область,2005,1497598.0
Владимирская область,2006,1486453.0
Владимирская область,2007,1475861.0
Владимирская область,2008,1466743.0
Владимирская область,2009,1457937.0
Владимирская область,2010,1449773.0
Владимирская область,2011,1441129.0
Владимирская область,2012,1433524.0
Владимирская область,2013,1424967.0
Владимирская область,2014,1418179.0
Владимирская область,2015,1412104.0
Владимирская область,2016,1397168.0
Владимирская область,2017,1389599.0
Владимирская область,2018,1378337.0
Владимирская область,2019,1365805.0
Владимирская область,2020,1358416.0
Владимирская область,2021,1342099.0
Владимирская область,2022,1342235.0
Владимирская область,2023,1325510.0
Владимирская область,2024,1309942.0
Владимирская область,2025,1297936.0
Волгоградская область,1990,2620147.0
Волгоградская область,1991,2641862.0
