label_0,label_1,label_2,period_label,period,value
Российская Федерация,процент,значение показателя за год,,2017,149.9
Российская Федерация,процент,значение показателя за год,,2018,174.2
Российская Федерация,процент,значение показателя за год,,2019,185.2
Российская Федерация,процент,значение показателя за год,,2020,115.4
Российская Федерация,процент,значение показателя за год,,2021,162.0
Центральный федеральный округ,процент,значение показателя за год,,2017,173.6
Центральный федеральный округ,процент,значение показателя за год,,2018,212.8
Центральный федеральный округ,процент,значение показателя за год,,2019,227.2
Центральный федеральный округ,процент,значение показателя за год,,2020,124.4
Центральный федеральный округ,процент,значение показателя за год,,2021,169.0
Белгородская область,процент,значение показателя за год,,2017,150.4
Белгородская область,процент,значение показателя за год,,2018,165.0
Белгородская область,процент,значение показателя за год,,2019,172.0
Белгородская область,процент,значение показателя за год,,2020,110.3
Белгородская область,процент,значение показателя за год,,2021,164.4
Брянская область,процент,значение показателя за год,,2017,149.1
Брянская область,процент,значение показателя за год,,2018,166.8
Брянская область,процент,значение показателя за год,,2019,165.9
Брянская область,процент,значение показателя за год,,2020,100.4
Брянская область,процент,значение показателя за год,,2021,148.1
Владимирская область,процент,значение показателя за год,,2017,117.5
Владимирская область,процент,значение показателя за год,,2018,117.4
Владимирская область,процент,значение показателя за год,,2019,128.0
Владимирская область,процент,значение показателя за год,,2020,66.5
Владимирская область,процент,значение показателя за год,,2021,108.9
Воронежская область,процент,значение показателя за год,,2017,173.7
Воронежская область,процент,значение показателя за год,,2018,179.0
Воронежская область,процент,значение показателя за год,,2019,187.6
Воронежская область,процент,значение показателя за год,,2020,132.5
Воронежская область,процент,значение показателя за год,,2021,206.6
Ивановская область,процент,значение показателя за год,,2017,110.1
Ивановская область,процент,значение показателя за год,,2018,109.6
Ивановская область,процент,значение показателя за год,,2019,116.0
Ивановская область,процент,значение показателя за год,,2020,62.6
Ивановская область,процент,значение показателя за год,,2021,97.3
Калужская область,процент,значение показателя за год,,2017,140.9
Калужская область,процент,значение показателя за год,,2018,171.4
Калужская область,процент,значение показателя за год,,2019,161.6
Калужская область,процент,значение показателя за год,,2020,111.3
Калужская область,процент,значение показателя за год,,2021,147.7
Костромская область,процент,значение показателя за год,,2017,120.2
Костромская область,процент,значение показателя за год,,2018,129.2
Костромская область,процент,значение показателя за год,,2019,132.8
Костромская область,процент,значение показателя за год,,2020,120.0
