label_0,label_1,label_2,period_label,period,value
Российская Федерация,человек,январь-февраль,4459821,2022,8214191.0
Российская Федерация,человек,январь-март,4459821,2022,12656857.0
Российская Федерация,человек,январь-апрель,4459821,2022,18185917.0
Российская Федерация,человек,январь-май,4459821,2022,23996821.0
Российская Федерация,человек,январь-июнь,4459821,2022,30576525.0
Российская Федерация,человек,январь-июль,4459821,2022,38591277.0
Российская Федерация,человек,январь-август,4459821,2022,45781857.0
Российская Федерация,человек,январь-сентябрь,4459821,2022,50715286.0
Российская Федерация,человек,январь-октябрь,4459821,2022,55667029.0
Российская Федерация,человек,январь-ноябрь,4459821,2022,60271970.0
Российская Федерация,человек,январь-декабрь,4459821,2022,64564940.0
Центральный федеральный округ,человек,январь,4459821,2022,1688284.0
Центральный федеральный округ,человек,январь-февраль,4459821,2022,3178355.0
Центральный федеральный округ,человек,январь-март,4459821,2022,4671631.0
Центральный федеральный округ,человек,январь-апрель,4459821,2022,6232541.0
Центральный федеральный округ,человек,январь-май,4459821,2022,7954518.0
Центральный федеральный округ,человек,январь-июнь,4459821,2022,9867410.0
Центральный федеральный округ,человек,январь-июль,4459821,2022,12048145.0
Центральный федеральный округ,человек,январь-август,4459821,2022,13910287.0
Центральный федеральный округ,человек,январь-сентябрь,4459821,2022,15383030.0
Центральный федеральный округ,человек,январь-октябрь,4459821,2022,16892758.0
Центральный федеральный округ,человек,январь-ноябрь,4459821,2022,18300899.0
Центральный федеральный округ,человек,январь-декабрь,4459821,2022,19742136.0
Белгородская область,человек,январь,4459821,2022,14333.0
Белгородская область,человек,январь-февраль,4459821,2022,26326.0
Белгородская область,человек,январь-март,4459821,2022,43795.0
Белгородская область,человек,январь-апрель,4459821,2022,65899.0
Белгородская область,человек,январь-май,4459821,2022,83976.0
Белгородская область,человек,январь-июнь,4459821,2022,111322.0
Белгородская область,человек,январь-июль,4459821,2022,147965.0
Белгородская область,человек,январь-август,4459821,2022,179359.0
Белгородская область,человек,январь-сентябрь,4459821,2022,196050.0
Белгородская область,человек,январь-октябрь,4459821,2022,212938.0
Белгородская область,человек,январь-ноябрь,4459821,2022,226849.0
Белгородская область,человек,январь-декабрь,4459821,2022,241555.0
Брянская область,человек,январь,4459821,2022,12721.0
Брянская область,человек,январь-февраль,4459821,2022,23851.0
Брянская область,человек,январь-март,4459821,2022,33353.0
Брянская область,человек,январь-апрель,4459821,2022,45852.0
Брянская область,человек,январь-май,4459821,2022,61754.0
Брянская область,человек,январь-июнь,4459821,2022,95699.0
Брянская область,человек,январь-июль,4459821,2022,137905.0
Брянская область,человек,январь-август,4459821,2022,167530.0
Брянская область,человек,январь-сентябрь,4459821,2022,181057.0
Брянская область,человек,январь-октябрь,4459821,2022,193321.0
Брянская область,человек,январь-ноябрь,4459821,2022,206823.0
Брянская область,человек,январь-декабрь,4459821,2022,223984.0
Владимирская область,человек,январь,4459821,2022,40995.0
Владимирская область,человек,январь-февраль,4459821,2022,69811.0
Владимирская область,человек,январь-март,4459821,2022,116084.0
Владимирская область,человек,январь-апрель,4459821,2022,172765.0
Владимирская область,человек,январь-май,4459821,2022,244140.0
Владимирская область,человек,январь-июнь,4459821,2022,306692.0
Владимирская область,человек,январь-июль,4459821,2022,426393.0
Владимирская область,человек,январь-август,4459821,2022,477236.0
Владимирская область,человек,январь-сентябрь,4459821,2022,499328.0
Владимирская область,человек,январь-октябрь,4459821,2022,525409.0
Владимирская область,человек,январь-ноябрь,4459821,2022,553736.0
Владимирская область,человек,январь-декабрь,4459821,2022,585944.0
Воронежская область,человек,январь,4459821,2022,42508.0
Воронежская область,человек,январь-февраль,4459821,2022,73909.0
Воронежская область,человек,январь-март,4459821,2022,108867.0
Воронежская область,человек,январь-апрель,4459821,2022,155448.0
Воронежская область,человек,январь-май,4459821,2022,206584.0
Воронежская область,человек,январь-июнь,4459821,2022,261140.0
Воронежская область,человек,январь-июль,4459821,2022,318088.0
Воронежская область,человек,январь-август,4459821,2022,378042.0
Воронежская область,человек,январь-сентябрь,4459821,2022,413872.0
Воронежская область,человек,январь-октябрь,4459821,2022,444118.0
Воронежская область,человек,январь-ноябрь,4459821,2022,472600.0
Воронежская область,человек,январь-декабрь,4459821,2022,500021.0
Ивановская область,человек,январь,4459821,2022,19001.0
Ивановская область,человек,январь-февраль,4459821,2022,35078.0
Ивановская область,человек,январь-март,4459821,2022,54829.0
Ивановская область,человек,январь-апрель,4459821,2022,81737.0
Ивановская область,человек,январь-май,4459821,2022,106173.0
Ивановская область,человек,январь-июнь,4459821,2022,134655.0
Ивановская область,человек,январь-июль,4459821,2022,165029.0
Ивановская область,человек,январь-август,4459821,2022,193162.0
Ивановская область,человек,январь-сентябрь,4459821,2022,211253.0
Ивановская область,человек,январь-октябрь,4459821,2022,233224.0
Ивановская область,человек,январь-ноябрь,4459821,2022,255351.0
Ивановская область,человек,январь-декабрь,4459821,2022,275267.0
Калужская область,человек,январь,4459821,2022,42237.0
Калужская область,человек,январь-февраль,4459821,2022,73144.0
Калужская область,человек,январь-март,4459821,2022,106122.0
Калужская область,человек,январь-апрель,4459821,2022,139247.0
Калужская область,человек,январь-май,4459821,2022,176760.0
Калужская область,человек,январь-июнь,4459821,2022,224030.0
Калужская область,человек,январь-июль,4459821,2022,294770.0
Калужская область,человек,январь-август,4459821,2022,336966.0
Калужская область,человек,январь-сентябрь,4459821,2022,365223.0
Калужская область,человек,январь-октябрь,4459821,2022,390785.0
Калужская область,человек,январь-ноябрь,4459821,2022,417492.0
Калужская область,человек,январь-декабрь,4459821,2022,440800.0
Костромская область,человек,январь,4459821,2022,17072.0
Костромская область,человек,январь-февраль,4459821,2022,30308.0
Костромская область,человек,январь-март,4459821,2022,55041.0
Костромская область,человек,январь-апрель,4459821,2022,76161.0
Костромская область,человек,январь-май,4459821,2022,94572.0
Костромская область,человек,январь-июнь,4459821,2022,126233.0
Костромская область,человек,январь-июль,4459821,2022,164193.0
Костромская область,человек,январь-август,4459821,2022,202859.0
Костромская область,человек,январь-сентябрь,4459821,2022,222696.0
Костромская область,человек,январь-октябрь,4459821,2022,240509.0
Костромская область,человек,январь-ноябрь,4459821,2022,257399.0
Костромская область,человек,январь-декабрь,4459821,2022,272420.0
Курская область,человек,январь,4459821,2022,10323.0
Курская область,человек,январь-февраль,4459821,2022,24431.0
Курская область,человек,январь-март,4459821,2022,35117.0
Курская область,человек,январь-апрель,4459821,2022,57161.0
Курская область,человек,январь-май,4459821,2022,78499.0
Курская область,человек,январь-июнь,4459821,2022,110225.0
Курская область,человек,январь-июль,4459821,2022,141048.0
Курская область,человек,январь-август,4459821,2022,161374.0
Курская область,человек,январь-сентябрь,4459821,2022,172089.0
Курская область,человек,январь-октябрь,4459821,2022,186594.0
Курская область,человек,январь-ноябрь,4459821,2022,201125.0
Курская область,человек,январь-декабрь,4459821,2022,212393.0
Липецкая область,человек,январь,4459821,2022,20044.0
Липецкая область,человек,январь-февраль,4459821,2022,35800.0
Липецкая область,человек,январь-март,4459821,2022,52454.0
Липецкая область,человек,январь-апрель,4459821,2022,81979.0
Липецкая область,человек,январь-май,4459821,2022,118484.0
Липецкая область,человек,январь-июнь,4459821,2022,148878.0
Липецкая область,человек,январь-июль,4459821,2022,194867.0
Липецкая область,человек,январь-август,4459821,2022,245017.0
Липецкая область,человек,январь-сентябрь,4459821,2022,267919.0
Липецкая область,человек,январь-октябрь,4459821,2022,287863.0
Липецкая область,человек,январь-ноябрь,4459821,2022,307091.0
Липецкая область,человек,январь-декабрь,4459821,2022,323093.0
Московская область,человек,январь,4459821,2022,398281.0
Московская область,человек,январь-февраль,4459821,2022,718641.0
Московская область,человек,январь-март,4459821,2022,1050351.0
Московская область,человек,январь-апрель,4459821,2022,1318612.0
Московская область,человек,январь-май,4459821,2022,1634447.0
Московская область,человек,январь-июнь,4459821,2022,1986615.0
Московская область,человек,январь-июль,4459821,2022,2504358.0
Московская область,человек,январь-август,4459821,2022,2878742.0
Московская область,человек,январь-сентябрь,4459821,2022,3219825.0
Московская область,человек,январь-октябрь,4459821,2022,3547525.0
Московская область,человек,январь-ноябрь,4459821,2022,3835932.0
Московская область,человек,январь-декабрь,4459821,2022,4131736.0
Орловская область,человек,январь,4459821,2022,10837.0
Орловская область,человек,январь-февраль,4459821,2022,18944.0
Орловская область,человек,январь-март,4459821,2022,27679.0
Орловская область,человек,январь-апрель,4459821,2022,43595.0
Орловская область,человек,январь-май,4459821,2022,61826.0
Орловская область,человек,январь-июнь,4459821,2022,78474.0
Орловская область,человек,январь-июль,4459821,2022,90586.0
Орловская область,человек,январь-август,4459821,2022,100710.0
Орловская область,человек,январь-сентябрь,4459821,2022,109313.0
Орловская область,человек,январь-октябрь,4459821,2022,120238.0
Орловская область,человек,январь-ноябрь,4459821,2022,130685.0
Орловская область,человек,январь-декабрь,4459821,2022,138059.0
Рязанская область,человек,январь,4459821,2022,26436.0
Рязанская область,человек,январь-февраль,4459821,2022,67473.0
Рязанская область,человек,январь-март,4459821,2022,99698.0
Рязанская область,человек,январь-апрель,4459821,2022,128017.0
Рязанская область,человек,январь-май,4459821,2022,162082.0
Рязанская область,человек,январь-июнь,4459821,2022,212482.0
Рязанская область,человек,январь-июль,4459821,2022,256880.0
Рязанская область,человек,январь-август,4459821,2022,306260.0
Рязанская область,человек,январь-сентябрь,4459821,2022,332494.0
Рязанская область,человек,январь-октябрь,4459821,2022,387566.0
Рязанская область,человек,январь-ноябрь,4459821,2022,410934.0
Рязанская область,человек,январь-декабрь,4459821,2022,431641.0
Смоленская область,человек,январь,4459821,2022,11158.0
Смоленская область,человек,январь-февраль,4459821,2022,21044.0
Смоленская область,человек,январь-март,4459821,2022,34218.0
Смоленская область,человек,январь-апрель,4459821,2022,46821.0
Смоленская область,человек,январь-май,4459821,2022,67812.0
Смоленская область,человек,январь-июнь,4459821,2022,100191.0
Смоленская область,человек,январь-июль,4459821,2022,122265.0
Смоленская область,человек,январь-август,4459821,2022,145567.0
Смоленская область,человек,январь-сентябрь,4459821,2022,160202.0
Смоленская область,человек,январь-октябрь,4459821,2022,180128.0
Смоленская область,человек,январь-ноябрь,4459821,2022,198773.0
Смоленская область,человек,январь-декабрь,4459821,2022,216372.0
Тамбовская область,человек,январь,4459821,2022,8620.0
Тамбовская область,человек,январь-февраль,4459821,2022,18768.0
Тамбовская область,человек,январь-март,4459821,2022,34704.0
Тамбовская область,человек,январь-апрель,4459821,2022,60391.0
Тамбовская область,человек,январь-май,4459821,2022,85519.0
Тамбовская область,человек,январь-июнь,4459821,2022,112920.0
Тамбовская область,человек,январь-июль,4459821,2022,151156.0
Тамбовская область,человек,январь-август,4459821,2022,173708.0
Тамбовская область,человек,январь-сентябрь,4459821,2022,185079.0
Тамбовская область,человек,январь-октябрь,4459821,2022,193566.0
Тамбовская область,человек,январь-ноябрь,4459821,2022,203401.0
Тамбовская область,человек,январь-декабрь,4459821,2022,210957.0
Тверская область,человек,январь,4459821,2022,52744.0
Тверская область,человек,январь-февраль,4459821,2022,91733.0
Тверская область,человек,январь-март,4459821,2022,137310.0
Тверская область,человек,январь-апрель,4459821,2022,200164.0
Тверская область,человек,январь-май,4459821,2022,249297.0
Тверская область,человек,январь-июнь,4459821,2022,311712.0
Тверская область,человек,январь-июль,4459821,2022,387149.0
Тверская область,человек,январь-август,4459821,2022,455826.0
Тверская область,человек,январь-сентябрь,4459821,2022,496987.0
Тверская область,человек,январь-октябрь,4459821,2022,532486.0
Тверская область,человек,январь-ноябрь,4459821,2022,564172.0
Тверская область,человек,январь-декабрь,4459821,2022,597438.0
Тульская область,человек,январь,4459821,2022,28361.0
Тульская область,человек,январь-февраль,4459821,2022,49070.0
Тульская область,человек,январь-март,4459821,2022,73411.0
Тульская область,человек,январь-апрель,4459821,2022,105210.0
Тульская область,человек,январь-май,4459821,2022,149074.0
Тульская область,человек,январь-июнь,4459821,2022,187553.0
Тульская область,человек,январь-июль,4459821,2022,233763.0
Тульская область,человек,январь-август,4459821,2022,278669.0
Тульская область,человек,январь-сентябрь,4459821,2022,305461.0
Тульская область,человек,январь-октябрь,4459821,2022,336118.0
Тульская область,человек,январь-ноябрь,4459821,2022,366241.0
Тульская область,человек,январь-декабрь,4459821,2022,392179.0
Ярославская область,человек,январь,4459821,2022,75260.0
Ярославская область,человек,январь-февраль,4459821,2022,143829.0
Ярославская область,человек,январь-март,4459821,2022,212255.0
Ярославская область,человек,январь-апрель,4459821,2022,301632.0
Ярославская область,человек,январь-май,4459821,2022,398601.0
