region,period,value
Алтайский край,1990,34176.0
Алтайский край,1991,31142.0
Алтайский край,1992,27836.0
Алтайский край,1993,24371.0
Алтайский край,1994,24642.0
Алтайский край,1995,23338.0
Алтайский край,1996,22616.0
Алтайский край,1997,22514.0
Алтайский край,1998,23424.0
Алтайский край,1999,23208.0
Алтайский край,2000,24674.0
Алтайский край,2001,25221.0
Алтайский край,2002,26889.0
Алтайский край,2003,28010.0
Алтайский край,2004,27736.0
Алтайский край,2005,26395.0
Алтайский край,2006,25594.0
Алтайский край,2007,28363.0
Алтайский край,2008,30741.0
Алтайский край,2009,30906.0
Алтайский край,2010,30853.0
Алтайский край,2011,30705.0
Алтайский край,2012,32879.0
Алтайский край,2013,32193.0
Алтайский край,2014,31414.0
Алтайский край,2015,30080.0
Алтайский край,2016,28734.0
Алтайский край,2017,25556.0
Алтайский край,2018,23408.0
Алтайский край,2019,21085.0
Алтайский край,2020,19840.0
Алтайский край,2021,18998.0
Алтайский край,2022,17580.0
Алтайский край,2023,16610.0
Амурская область,1990,17087.0
Амурская область,1991,15026.0
Амурская область,1992,12880.0
Амурская область,1993,10944.0
Амурская область,1994,11112.0
Амурская область,1995,10533.0
Амурская область,1996,10171.0
Амурская область,1997,9617.0
Амурская область,1998,9931.0
Амурская область,1999,9312.0
Амурская область,2000,9433.0
Амурская область,2001,9995.0
Амурская область,2002,10468.0
Амурская область,2003,11097.0
Амурская область,2004,11020.0
Амурская область,2005,10659.0
Амурская область,2006,10391.0
Амурская область,2007,10956.0
Амурская область,2008,11218.0
Амурская область,2009,11397.0
Амурская область,2010,11479.0
Амурская область,2011,11211.0
Амурская область,2012,11740.0
Амурская область,2013,11453.0
Амурская область,2014,11094.0
Амурская область,2015,10778.0
Амурская область,2016,10350.0
Амурская область,2017,9459.0
Амурская область,2018,8812.0
Амурская область,2019,7941.0
Амурская область,2020,7800.0
Амурская область,2021,7373.0
Амурская область,2022,6942.0
Амурская область,2023,6917.0
Архангельская область,1990,21216.0
Архангельская область,1991,18611.0
Архангельская область,1992,16090.0
Архангельская область,1993,13905.0
Архангельская область,1994,14140.0
Архангельская область,1995,13275.0
Архангельская область,1996,12909.0
Архангельская область,1997,12536.0
Архангельская область,1998,12912.0
Архангельская область,1999,11855.0
Архангельская область,2000,12150.0
Архангельская область,2001,13090.0
Архангельская область,2002,13934.0
Архангельская область,2003,14269.0
Архангельская область,2004,14361.0
Архангельская область,2005,13898.0
Архангельская область,2006,14006.0
Архангельская область,2007,15153.0
Архангельская область,2008,15174.0
Архангельская область,2009,15499.0
Архангельская область,2010,15466.0
Архангельская область,2011,14930.0
Архангельская область,2012,15478.0
Архангельская область,2013,15305.0
Архангельская область,2014,15005.0
Архангельская область,2015,14662.0
Архангельская область,2016,14086.0
Архангельская область,2017,12391.0
Архангельская область,2018,11248.0
Архангельская область,2019,10227.0
Архангельская область,2020,9485.0
Архангельская область,2021,9026.0
Архангельская область,2022,8163.0
Архангельская область,2023,7744.0
Астраханская область,1990,15067.0
Астраханская область,1991,13938.0
Астраханская область,1992,12131.0
Астраханская область,1993,10384.0
Астраханская область,1994,10811.0
Астраханская область,1995,10362.0
Астраханская область,1996,9944.0
Астраханская область,1997,9976.0
Астраханская область,1998,9798.0
Астраханская область,1999,9662.0
Астраханская область,2000,10027.0
Астраханская область,2001,10549.0
Астраханская область,2002,11623.0
Астраханская область,2003,12160.0
Астраханская область,2004,12358.0
Астраханская область,2005,12121.0
Астраханская область,2006,12375.0
Астраханская область,2007,13437.0
Астраханская область,2008,14203.0
Астраханская область,2009,14279.0
Астраханская область,2010,14307.0
Астраханская область,2011,14371.0
Астраханская область,2012,15352.0
Астраханская область,2013,15015.0
Астраханская область,2014,15171.0
Астраханская область,2015,14834.0
Астраханская область,2016,14239.0
Астраханская область,2017,12270.0
Астраханская область,2018,11781.0
Астраханская область,2019,10981.0
Астраханская область,2020,10956.0
Астраханская область,2021,10683.0
Астраханская область,2022,9662.0
Астраханская область,2023,9423.0
Белгородская область,1990,18035.0
Белгородская область,1991,16169.0
Белгородская область,1992,14843.0
Белгородская область,1993,13752.0
Белгородская область,1994,14155.0
Белгородская область,1995,13696.0
Белгородская область,1996,12953.0
Белгородская область,1997,12011.0
Белгородская область,1998,11899.0
Белгородская область,1999,11407.0
Белгородская область,2000,12101.0
Белгородская область,2001,12307.0
Белгородская область,2002,13037.0
Белгородская область,2003,13853.0
Белгородская область,2004,13795.0
Белгородская область,2005,13486.0
Белгородская область,2006,14382.0
Белгородская область,2007,15676.0
Белгородская область,2008,16790.0
Белгородская область,2009,16845.0
Белгородская область,2010,16635.0
Белгородская область,2011,16980.0
Белгородская область,2012,17923.0
Белгородская область,2013,17885.0
Белгородская область,2014,17848.0
Белгородская область,2015,17773.0
Белгородская область,2016,17247.0
Белгородская область,2017,15093.0
Белгородская область,2018,14317.0
Белгородская область,2019,13183.0
Белгородская область,2020,12294.0
Белгородская область,2021,12245.0
Белгородская область,2022,10817.0
Белгородская область,2023,10013.0
Брянская область,1990,19102.0
Брянская область,1991,17539.0
Брянская область,1992,16388.0
Брянская область,1993,14969.0
Брянская область,1994,14434.0
Брянская область,1995,13613.0
Брянская область,1996,12810.0
Брянская область,1997,11725.0
Брянская область,1998,11795.0
Брянская область,1999,11116.0
Брянская область,2000,11111.0
Брянская область,2001,11094.0
Брянская область,2002,11898.0
Брянская область,2003,12419.0
Брянская область,2004,12481.0
Брянская область,2005,12009.0
Брянская область,2006,12092.0
Брянская область,2007,13349.0
Брянская область,2008,14259.0
Брянская область,2009,14401.0
Брянская область,2010,13727.0
Брянская область,2011,13843.0
Брянская область,2012,14391.0
Брянская область,2013,13824.0
Брянская область,2014,13618.0
Брянская область,2015,14070.0
Брянская область,2016,13364.0
Брянская область,2017,11548.0
Брянская область,2018,11129.0
Брянская область,2019,9956.0
Брянская область,2020,9511.0
Брянская область,2021,9016.0
Брянская область,2022,8274.0
Брянская область,2023,7933.0
Владимирская область,1990,20065.0
Владимирская область,1991,16962.0
Владимирская область,1992,14966.0
Владимирская область,1993,13029.0
Владимирская область,1994,13272.0
Владимирская область,1995,12539.0
Владимирская область,1996,12230.0
Владимирская область,1997,11711.0
Владимирская область,1998,11933.0
Владимирская область,1999,11393.0
Владимирская область,2000,11918.0
Владимирская область,2001,12585.0
Владимирская область,2002,13125.0
Владимирская область,2003,14020.0
Владимирская область,2004,14030.0
Владимирская область,2005,13640.0
Владимирская область,2006,13914.0
Владимирская область,2007,14785.0
Владимирская область,2008,15569.0
Владимирская область,2009,15551.0
Владимирская область,2010,15542.0
Владимирская область,2011,15617.0
Владимирская область,2012,16477.0
Владимирская область,2013,15740.0
Владимирская область,2014,15809.0
Владимирская область,2015,16214.0
Владимирская область,2016,15654.0
Владимирская область,2017,13356.0
Владимирская область,2018,12693.0
Владимирская область,2019,11101.0
Владимирская область,2020,10072.0
Владимирская область,2021,9765.0
Владимирская область,2022,8787.0
Владимирская область,2023,8449.0
Волгоградская область,1990,34153.0
Волгоградская область,1991,31566.0
Волгоградская область,1992,28359.0
Волгоградская область,1993,25555.0
Волгоградская область,1994,25572.0
Волгоградская область,1995,24439.0
Волгоградская область,1996,23147.0
Волгоградская область,1997,22122.0
Волгоградская область,1998,22649.0
Волгоградская область,1999,21298.0
Волгоградская область,2000,22346.0
