region,period,value
Алтайский край,1990,29329.0
Алтайский край,1991,30104.0
Алтайский край,1992,31427.0
Алтайский край,1993,37527.0
Алтайский край,1994,40528.0
Алтайский край,1995,39551.0
Алтайский край,1996,38394.0
Алтайский край,1997,36893.0
Алтайский край,1998,34074.0
Алтайский край,1999,36686.0
Алтайский край,2000,37813.0
Алтайский край,2001,38641.0
Алтайский край,2002,41028.0
Алтайский край,2003,41177.0
Алтайский край,2004,40577.0
Алтайский край,2005,42571.0
Алтайский край,2006,38558.0
Алтайский край,2007,37402.0
Алтайский край,2008,37497.0
Алтайский край,2009,35774.0
Алтайский край,2010,36369.0
Алтайский край,2011,35108.0
Алтайский край,2012,35132.0
Алтайский край,2013,33887.0
Алтайский край,2014,33971.0
Алтайский край,2015,33661.0
Алтайский край,2016,33356.0
Алтайский край,2017,33097.0
Алтайский край,2018,33264.0
Алтайский край,2019,32594.0
Алтайский край,2020,38021.0
Алтайский край,2021,43659.0
Алтайский край,2022,33782.0
Алтайский край,2023,30542.0
Амурская область,1990,9051.0
Амурская область,1991,9492.0
Амурская область,1992,10513.0
Амурская область,1993,12759.0
Амурская область,1994,13381.0
Амурская область,1995,12431.0
Амурская область,1996,12712.0
Амурская область,1997,12089.0
Амурская область,1998,11641.0
Амурская область,1999,12612.0
Амурская область,2000,13532.0
Амурская область,2001,13973.0
Амурская область,2002,14574.0
Амурская область,2003,14871.0
Амурская область,2004,15288.0
Амурская область,2005,14959.0
Амурская область,2006,13635.0
Амурская область,2007,12479.0
Амурская область,2008,13099.0
Амурская область,2009,12629.0
Амурская область,2010,12740.0
Амурская область,2011,12211.0
Амурская область,2012,12080.0
Амурская область,2013,11320.0
Амурская область,2014,11230.0
Амурская область,2015,11194.0
Амурская область,2016,11017.0
Амурская область,2017,10683.0
Амурская область,2018,10650.0
Амурская область,2019,11103.0
Амурская область,2020,12710.0
Амурская область,2021,14350.0
Амурская область,2022,11250.0
Амурская область,2023,10607.0
Архангельская область,1990,15455.0
Архангельская область,1991,15465.0
Архангельская область,1992,18160.0
Архангельская область,1993,22174.0
Архангельская область,1994,24033.0
Архангельская область,1995,22263.0
Архангельская область,1996,20679.0
Архангельская область,1997,19437.0
Архангельская область,1998,18967.0
Архангельская область,1999,22212.0
Архангельская область,2000,22540.0
Архангельская область,2001,21997.0
Архангельская область,2002,23517.0
Архангельская область,2003,23771.0
Архангельская область,2004,23001.0
Архангельская область,2005,22027.0
Архангельская область,2006,20269.0
Архангельская область,2007,18821.0
Архангельская область,2008,18496.0
Архангельская область,2009,18067.0
Архангельская область,2010,17975.0
Архангельская область,2011,16930.0
Архангельская область,2012,16472.0
Архангельская область,2013,15967.0
Архангельская область,2014,15746.0
Архангельская область,2015,15889.0
Архангельская область,2016,15828.0
Архангельская область,2017,15068.0
Архангельская область,2018,15064.0
Архангельская область,2019,14819.0
Архангельская область,2020,16632.0
Архангельская область,2021,19814.0
Архангельская область,2022,15661.0
Архангельская область,2023,14095.0
Астраханская область,1990,10412.0
Астраханская область,1991,11123.0
Астраханская область,1992,11272.0
Астраханская область,1993,13176.0
Астраханская область,1994,14399.0
Астраханская область,1995,13868.0
Астраханская область,1996,13449.0
Астраханская область,1997,13026.0
Астраханская область,1998,13553.0
Астраханская область,1999,13932.0
Астраханская область,2000,14466.0
Астраханская область,2001,14727.0
Астраханская область,2002,15410.0
Астраханская область,2003,15633.0
Астраханская область,2004,15034.0
Астраханская область,2005,15453.0
Астраханская область,2006,14654.0
Астраханская область,2007,14052.0
Астраханская область,2008,13642.0
Астраханская область,2009,13459.0
Астраханская область,2010,13636.0
Астраханская область,2011,13145.0
Астраханская область,2012,12861.0
Астраханская область,2013,12358.0
Астраханская область,2014,12858.0
Астраханская область,2015,12537.0
Астраханская область,2016,12229.0
Астраханская область,2017,11620.0
Астраханская область,2018,11734.0
Астраханская область,2019,11426.0
Астраханская область,2020,13640.0
Астраханская область,2021,16273.0
Астраханская область,2022,12107.0
Астраханская область,2023,11196.0
Белгородская область,1990,17910.0
Белгородская область,1991,18702.0
Белгородская область,1992,19408.0
Белгородская область,1993,22044.0
Белгородская область,1994,22487.0
Белгородская область,1995,21642.0
Белгородская область,1996,21422.0
Белгородская область,1997,21597.0
Белгородская область,1998,21247.0
Белгородская область,1999,22568.0
Белгородская область,2000,23291.0
Белгородская область,2001,24206.0
Белгородская область,2002,24481.0
Белгородская область,2003,24369.0
Белгородская область,2004,24524.0
Белгородская область,2005,24168.0
Белгородская область,2006,23082.0
Белгородская область,2007,22417.0
Белгородская область,2008,22422.0
Белгородская область,2009,22011.0
Белгородская область,2010,22027.0
Белгородская область,2011,21610.0
Белгородская область,2012,21602.0
Белгородская область,2013,21328.0
Белгородская область,2014,21611.0
Белгородская область,2015,21490.0
Белгородская область,2016,21586.0
Белгородская область,2017,20921.0
Белгородская область,2018,20898.0
Белгородская область,2019,20662.0
Белгородская область,2020,24039.0
Белгородская область,2021,28023.0
Белгородская область,2022,21640.0
Белгородская область,2023,20232.0
Брянская область,1990,18837.0
Брянская область,1991,19066.0
Брянская область,1992,19996.0
Брянская область,1993,23352.0
Брянская область,1994,24913.0
Брянская область,1995,23481.0
Брянская область,1996,22865.0
Брянская область,1997,23877.0
Брянская область,1998,23784.0
Брянская область,1999,25093.0
Брянская область,2000,25699.0
Брянская область,2001,25084.0
Брянская область,2002,26608.0
