region,period,total_pop,share_older,share_child
Алтайский край,1990,2640419.0,0.18653,0.13178
Алтайский край,1991,2653818.0,0.18969,0.12977
Алтайский край,1992,2664886.0,0.19234,0.2507
Алтайский край,1993,2680334.0,0.19536,0.12559
Алтайский край,1994,2684297.0,0.19765,0.24122
Алтайский край,1995,2694271.0,0.19946,0.12045
Алтайский край,1996,2688035.0,0.2017,0.11756
Алтайский край,1997,2676677.0,0.20311,0.11435
Алтайский край,1998,2670454.0,0.20343,0.21742
Алтайский край,1999,2662738.0,0.20329,0.20892
Алтайский край,2000,2651628.0,0.20221,0.20024
Алтайский край,2001,2641079.0,0.20091,0.19248
Алтайский край,2002,2621050.0,0.2011,0.09453
Алтайский край,2003,2602595.0,0.20038,0.17832
Алтайский край,2004,2571987.0,0.20046,0.08779
Алтайский край,2005,2539430.0,0.20187,0.08537
Алтайский край,2006,2503510.0,0.20387,0.16352
Алтайский край,2007,2473024.0,0.20805,0.08192
Алтайский край,2008,2453455.0,0.21239,0.15925
Алтайский край,2009,2438910.0,0.21687,0.16041
Алтайский край,2010,2430765.0,0.22235,0.1631
Алтайский край,2011,2417358.0,0.22853,0.16557
Алтайский край,2012,2396786.0,0.23458,
Алтайский край,2013,2377980.0,0.24036,
Алтайский край,2014,2359540.0,0.24661,
Алтайский край,2015,2343388.0,0.25259,
Алтайский край,2016,2325025.0,0.25899,
Алтайский край,2017,2303606.0,0.26462,
Алтайский край,2018,2277683.0,0.27039,
Алтайский край,2019,2250096.0,0.27551,
Алтайский край,2020,2224119.0,0.26564,
Алтайский край,2021,1189400.0,0.49379,
Алтайский край,2022,2154932.0,0.25449,
Алтайский край,2023,2130950.0,0.25854,
Алтайский край,2024,2115308.0,0.24954,
Алтайский край,2025,2099186.0,0.25289,
Амурская область,1990,1055337.0,0.12261,0.14576
Амурская область,1991,1054267.0,0.12647,0.1456
Амурская область,1992,1048649.0,0.13061,0.28367
Амурская область,1993,1029516.0,0.13641,0.14141
Амурская область,1994,1018407.0,0.13924,0.27074
Амурская область,1995,995012.0,0.14285,0.13483
Амурская область,1996,986417.0,0.14686,0.13153
Амурская область,1997,974942.0,0.1505,0.12798
Амурская область,1998,962023.0,0.15361,0.2425
Амурская область,1999,949526.0,0.15495,0.23316
Амурская область,2000,935607.0,0.15629,0.2231
Амурская область,2001,923055.0,0.15721,0.21463
Амурская область,2002,911381.0,0.15964,0.10615
Амурская область,2003,901044.0,0.1613,0.2002
Амурская область,2004,887781.0,0.16211,0.09917
Амурская область,2005,874018.0,0.16481,0.09656
Амурская область,2006,861056.0,0.1683,0.18462
Амурская область,2007,850502.0,0.17337,0.09228
Амурская область,2008,844290.0,0.17921,0.17837
Амурская область,2009,838869.0,0.18361,0.17887
Амурская область,2010,834905.0,0.18921,0.1809
Амурская область,2011,828660.0,0.19547,0.18198
Амурская область,2012,820627.0,0.20125,
Амурская область,2013,815163.0,0.20589,
Амурская область,2014,808726.0,0.21141,
Амурская область,2015,806524.0,0.21599,
Амурская область,2016,801539.0,0.22134,
Амурская область,2017,796801.0,0.22563,
Амурская область,2018,792672.0,0.22844,
Амурская область,2019,786641.0,0.23225,
Амурская область,2020,782690.0,0.22236,
Амурская область,2021,407762.0,0.42462,
Амурская область,2022,763570.0,0.21137,
Амурская область,2023,756198.0,0.21456,
Амурская область,2024,750083.0,0.20623,
Амурская область,2025,753046.0,0.20671,
Архангельская область,1990,1575502.0,0.15592,0.13486
Архангельская область,1991,1568960.0,0.15923,0.13403
Архангельская область,1992,1554584.0,0.16298,0.26036
Архангельская область,1993,1537808.0,0.16804,0.12978
Архангельская область,1994,1517979.0,0.17105,0.24876
Архангельская область,1995,1498182.0,0.17365,0.12399
Архангельская область,1996,1476064.0,0.17679,0.12084
Архангельская область,1997,1454894.0,0.18038,0.11751
Архангельская область,1998,1433874.0,0.18227,0.22293
Архангельская область,1999,1414144.0,0.18252,0.21465
Архангельская область,2000,1390334.0,0.18251,0.20622
Архангельская область,2001,1369118.0,0.18228,0.19902
Архангельская область,2002,1350448.0,0.18475,0.09869
Архангельская область,2003,1332655.0,0.18484,0.18574
Архангельская область,2004,1315549.0,0.18441,0.09079
Архангельская область,2005,1299218.0,0.18711,0.08736
Архангельская область,2006,1281838.0,0.19021,0.16512
Архангельская область,2007,1266667.0,0.19526,0.0828
Архангельская область,2008,1257164.0,0.2002,0.1614
Архангельская область,2009,1246204.0,0.20465,0.16236
Архангельская область,2010,1237493.0,0.21177,0.16516
Архангельская область,2011,1224880.0,0.21883,0.16739
Архангельская область,2012,1204128.0,0.22638,
Архангельская область,2013,1183559.0,0.23409,
Архангельская область,2014,1163718.0,0.24163,
Архангельская область,2015,1146094.0,0.24956,
Архангельская область,2016,1127780.0,0.25747,
Архангельская область,2017,1110597.0,0.26439,
Архангельская область,2018,1091130.0,0.27112,
Архангельская область,2019,1071587.0,0.27767,
Архангельская область,2020,1055460.0,0.26911,
Архангельская область,2021,556827.0,0.50912,
Архангельская область,2022,1016030.0,0.26165,
Архангельская область,2023,1005687.0,0.26609,
Архангельская область,2024,998072.0,0.25762,
Архангельская область,2025,989434.0,0.26239,
Астраханская область,1990,997516.0,0.1741,0.13217
Астраханская область,1991,1001044.0,0.17739,0.13218
Астраханская область,1992,1003253.0,0.18008,0.25922
Астраханская область,1993,1004737.0,0.18414,0.12999
Астраханская область,1994,1006099.0,0.18647,0.25196
Астраханская область,1995,1014170.0,0.187,0.1262
Астраханская область,1996,1019171.0,0.18839,0.12436
Астраханская область,1997,1020576.0,0.19024,0.12155
Астраханская область,1998,1019880.0,0.19159,0.2329
Астраханская область,1999,1016372.0,0.19077,0.22642
Астраханская область,2000,1012385.0,0.18984,0.21892
Астраханская область,2001,1009281.0,0.18896,0.21137
Астраханская область,2002,1005510.0,0.18912,0.10466
Астраханская область,2003,1004780.0,0.18752,0.19669
Астраханская область,2004,1006073.0,0.19014,0.09682
Астраханская область,2005,1006467.0,0.19456,0.09367
Астраханская область,2006,1002517.0,0.19752,0.17855
Астраханская область,2007,1001300.0,0.20018,0.08829
Астраханская область,2008,1005897.0,0.20108,0.17184
Астраханская область,2009,1009926.0,0.20277,0.17202
Астраханская область,2010,1011120.0,0.2065,0.17383
Астраханская область,2011,1009801.0,0.21086,0.17502
Астраханская область,2012,1011490.0,0.21328,
Астраханская область,2013,1007485.0,0.21709,
Астраханская область,2014,1007357.0,0.22023,
Астраханская область,2015,1009216.0,0.22302,
Астраханская область,2016,1003926.0,0.22774,
Астраханская область,2017,1001527.0,0.2312,
Астраханская область,2018,997401.0,0.23487,
Астраханская область,2019,991078.0,0.23855,
Астраханская область,2020,979935.0,0.23,
Астраханская область,2021,514442.0,0.43806,
Астраханская область,2022,957772.0,0.21957,
Астраханская область,2023,950557.0,0.22456,
Астраханская область,2024,946429.0,0.21677,
Астраханская область,2025,946580.0,0.21993,
Белгородская область,1990,1387455.0,0.22826,0.11643
Белгородская область,1991,1397986.0,0.2289,0.11651
Белгородская область,1992,1404959.0,0.23048,0.2287
Белгородская область,1993,1419743.0,0.23227,0.11555
Белгородская область,1994,1434551.0,0.23294,0.22423
Белгородская область,1995,1454923.0,0.23246,0.11308
Белгородская область,1996,1467562.0,0.23383,0.11119
Белгородская область,1997,1478580.0,0.23663,0.10894
Белгородская область,1998,1485855.0,0.23725,0.20942
Белгородская область,1999,1494868.0,0.23636,0.20418
Белгородская область,2000,1501699.0,0.23437,0.19718
Белгородская область,2001,1506976.0,0.2322,0.18983
Белгородская область,2002,1508137.0,0.23241,0.09315
Белгородская область,2003,1511899.0,0.23096,0.17353
Белгородская область,2004,1513860.0,0.22871,0.08508
Белгородская область,2005,1511662.0,0.22861,0.08207
Белгородская область,2006,1511715.0,0.22807,0.15631
Белгородская область,2007,1514153.0,0.22929,0.07783
Белгородская область,2008,1520102.0,0.23044,0.15113
Белгородская область,2009,1526258.0,0.23249,0.15038
Белгородская область,2010,1531781.0,0.23653,0.15057
Белгородская область,2011,1532353.0,0.24081,0.15052
Белгородская область,2012,1536605.0,0.24518,
Белгородская область,2013,1541929.0,0.25001,
Белгородская область,2014,1545522.0,0.2551,
Белгородская область,2015,1549797.0,0.26084,
Белгородская область,2016,1552417.0,0.2668,
Белгородская область,2017,1555513.0,0.27191,
Белгородская область,2018,1552936.0,0.27734,
Белгородская область,2019,1550883.0,0.28247,
Белгородская область,2020,1552957.0,0.27229,
Белгородская область,2021,830140.0,0.51294,
Белгородская область,2022,1536466.0,0.26297,
Белгородская область,2023,1514527.0,0.26909,
Белгородская область,2024,1500659.0,0.26131,
Белгородская область,2025,1482025.0,0.2671,
Брянская область,1990,1470953.0,0.23452,0.11653
Брянская область,1991,1457987.0,0.23932,0.11634
Брянская область,1992,1456025.0,0.24265,0.22816
Брянская область,1993,1460144.0,0.24582,0.11533
Брянская область,1994,1462308.0,0.24635,0.22477
Брянская область,1995,1469251.0,0.24478,0.11356
Брянская область,1996,1466792.0,0.24466,0.11131
Брянская область,1997,1459181.0,0.24657,0.10888
Брянская область,1998,1448275.0,0.24662,0.20914
Брянская область,1999,1437471.0,0.24476,0.20418
Брянская область,2000,1423178.0,0.24268,0.19784
Брянская область,2001,1407965.0,0.23943,0.19153
Брянская область,2002,1391430.0,0.23858,0.09499
Брянская область,2003,1375004.0,0.23653,0.17772
Брянская область,2004,1360249.0,0.23313,0.08764
Брянская область,2005,1344132.0,0.23232,0.08462
Брянская область,2006,1327652.0,0.23128,0.15995
Брянская область,2007,1312748.0,0.23204,0.07959
Брянская область,2008,1303343.0,0.23338,0.15376
Брянская область,2009,1294251.0,0.23469,0.15307
Брянская область,2010,1286540.0,0.23846,0.15375
Брянская область,2011,1275354.0,0.24272,0.15429
Брянская область,2012,1263667.0,0.24725,
Брянская область,2013,1252266.0,0.25193,
Брянская область,2014,1240554.0,0.25671,
Брянская область,2015,1230244.0,0.26179,
