need_id,query,indicator_id,title
D09,индекс цен производителей промышленных товаров,58605,Индексы цен производителей к среднегодовому значению 2010 г.
D09,индекс цен производителей промышленных товаров,58604,Индексы цен производителей по видам товаров к предыдущему месяцу
D09,индекс цен производителей промышленных товаров,58602,Индексы цен производителей по видам экономической деятельности к предыдущему месяцу
D09,индекс цен производителей промышленных товаров,40611,Индексы цен производителей по видам экономической деятельности по 2011 г.
D09,индекс цен производителей промышленных товаров,43561,Индексы цен производителей по видам экономической деятельности с 2012 г. по 2016 г.
D09,индекс цен производителей промышленных товаров,57609,Индексы цен производителей по видам экономической деятельности с 2017 г.
D10,производство пищевых продуктов,43236,Остатки продукции в натурально-вещественном исчислении на конец отчетного месяца с 2010 г. по 2016 г. (в соответствии с ОКПД)
D10,производство пищевых продуктов,37667,Отгружено (передано) продукции в натуральном выражении с 2010 г. по 2016 г. (в соответствии с ОКПД)
D10,производство пищевых продуктов,40636,Производство основных видов продукции в натуральном выражении  с 2010 г. по 2016 г. (оперативные данные в соответствии с ОКПД)
D10,производство пищевых продуктов,40557,Производство основных видов  продукции в натуральном выражении  с 2010 по 2016 г.г. (в соответствии с ОКПД)
D10,производство пищевых продуктов,58636,Производство основных видов продукции в натуральном выражении с 2017 г. (в соответствии с ОКПД2)
D10,производство пищевых продуктов,58998,Коэффициенты концентрации  производства по видам продукции (в соответствии с ОКПД2)
D10,производство пищевых продуктов,43044,Коэффициенты концентрации производства по видам продукции (в соответствии с ОКПД)
D10,производство пищевых продуктов,62021,Остатки продукции в натурально-вещественном исчислении на конец отчетного года с 2017 г. (в соответствии с ОКПД2)
D10,производство пищевых продуктов,57789,Остатки продукции в натурально-вещественном исчислении на конец отчетного месяца с 2017 г. (оперативные данные в соответствии с ОКПД2)
D10,производство пищевых продуктов,62020,Отгружено (передано) продукции в натуральном выражении с 2017 г. (годовые данные в соответствии с ОКПД2)
D10,производство пищевых продуктов,57786,Отгружено (передано) продукции в натуральном выражении с 2017 г. (оперативные данные в соответствии с ОКПД2)
D10,производство пищевых продуктов,57783,Производство основных видов продукции в натуральном выражении  с 2017 г. (оперативные данные в соответствии с ОКПД2)
D10,производство пищевых продуктов,60765,Производство основных видов продукции в натуральном выражении с  2017 г.  (уточненные оперативные данные)
D10,производство пищевых продуктов,58235,"Выручка (нетто) от продажи товаров, продукции, работ, услуг (за минусом налога на добавленную стоимость, акцизов и иных аналогичных обязательных платежей) по данным бухгалтерской отчетности c 2017 г."
D10,производство пищевых продуктов,58018,"Выручка (нетто) от продажи товаров, продукции, работ, услуг (за минусом налога на добавленную стоимость, акцизов и иных аналогичных обязательных платежей) с 2017 г."
D10,производство пищевых продуктов,58013,Готовая продукция на конец периода c 2017 г. по 2019 г.
D10,производство пищевых продуктов,59590,Готовая продукция на конец периода c 2020 г.
D10,производство пищевых продуктов,58012,Затраты в незавершенном производстве (издержках обращения) на конец периода c 2017 г. по 2019 г.
D10,производство пищевых продуктов,59589,Затраты в незавершенном производстве (издержках обращения) на конец периода c 2020 г.
D10,производство пищевых продуктов,57723,"Затраты на производство и реализацию продукции (товаров, работ, услуг) по крупнейшим базовым организациям с 2017 г."
D10,производство пищевых продуктов,58552,"Затраты на производство и реализацию продукции (товаров, работ, услуг) с 2017 г."
D10,производство пищевых продуктов,38175,Количество использованных отходов производства и потребления
D10,производство пищевых продуктов,38174,Количество обезвреженных отходов производства и потребления
D10,производство пищевых продуктов,38177,Количество образованных отходов производства и потребления
D10,производство пищевых продуктов,38171,"Количество отходов производства и потребления, накопленных в организациях на конец отчётного года"
D10,производство пищевых продуктов,38499,"Количество отходов производства и потребления, накопленных в организациях на начало отчётного года"
D10,производство пищевых продуктов,38173,"Количество отходов производства и потребления, переданных другим организациям"
D10,производство пищевых продуктов,38176,"Количество отходов производства и потребления, поступивших от других организаций"
D10,производство пищевых продуктов,38172,"Количество отходов производства и потребления, размещённых на собственных объектах"
D10,производство пищевых продуктов,57720,Общий объем заказов на поставку продукции в последующие периоды с 2017 г.
D10,производство пищевых продуктов,57988,"Объем отгруженной продукции, выполненных работ, оказанных услуг предприятиями стран СНГ (в ценах реализации) c 2017 г."
D10,производство пищевых продуктов,58575,Отгружено товаров собственного производства на экспорт с 2017 г.
D10,производство пищевых продуктов,57711,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (по хозяйственным видам деятельности) с 2017 г."
D10,производство пищевых продуктов,57712,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами инновационного характера с 2017 г."
D10,производство пищевых продуктов,58554,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами с 2017 г."
D10,производство пищевых продуктов,57713,Продано товаров несобственного производства средними организациями с 2017 г.
D10,производство пищевых продуктов,58010,Производственные запасы за вычетом износа на конец периода c 2017 г. по 2019 г.
D10,производство пищевых продуктов,59588,Производственные запасы за вычетом износа на конец периода c 2020 г.
D10,производство пищевых продуктов,58261,"Рентабельность (убыточность) проданных товаров, продукции, работ, услуг c 2017 г."
D10,производство пищевых продуктов,58236,"Себестоимость проданных товаров, продукции, работ, услуг по данным бухгалтерской отчетности c 2017 г."
D10,производство пищевых продуктов,58019,"Себестоимость проданных товаров, продукции, работ, услуг с 2017 г."
D10,производство пищевых продуктов,58577,"Сумма НДС, начисленная и причитающаяся к получению от покупателей за проданные товары, продукцию, выполненные работы, оказанные услуги в отчетном году с 2017 г."
D10,производство пищевых продуктов,58036,"Уровень рентабельности (убыточности) проданных товаров, продукции, работ, услуг c 2017 г."
D10,производство пищевых продуктов,40610,Индексы цен производителей по товарам и товарным группам с 2010 г. по 2016г.
D10,производство пищевых продуктов,30984,"Выручка (нетто) от продажи товаров, продукции, работ, услуг (за минусом налога на добавленную стоимость, акцизов и иных аналогичных обязательных платежей) по 2016 г."
D10,производство пищевых продуктов,37184,"Выручка (нетто) от продажи товаров, продукции, работ, услуг (за минусом налога на добавленную стоимость, акцизов и иных аналогичных обязательных платежей) по данным бухгалтерской отчетности по 2016 г."
D10,производство пищевых продуктов,31042,Готовая продукция на конец периода по 2016 г.
D10,производство пищевых продуктов,45370,"Другие расходы, связанные с производством и продажей продукции (товаров, работ, услуг) по 2016 г."
D10,производство пищевых продуктов,31045,Затраты в незавершенном производстве (издержках обращения) на конец периода по 2016 г.
D10,производство пищевых продуктов,33633,"Затраты на производство и реализацию продукции (товаров, работ, услуг) по 2016 г."
D10,производство пищевых продуктов,60019,Затраты организаций промышленного производства на инновационную деятельность
D10,производство пищевых продуктов,58760,Затраты организаций промышленного производства на технологические инновации c 2017 г.
D10,производство пищевых продуктов,45379,"Земельный налог, включаемый в себестоимость продукции (работ, услуг) по 2016 г."
D10,производство пищевых продуктов,57609,Индексы цен производителей по видам экономической деятельности с 2017 г.
D10,производство пищевых продуктов,58999,Коэффициенты концентрации  производства по видам экономической деятельности с 2017 г.
D10,производство пищевых продуктов,45381,"Налоги и сборы, включаемые в себестоимость продукции (работ, услуг) (без страховых взносов в Пенсионный фонд, ФСС, ФФОМС, ТФОМС) по 2016 г."
D10,производство пищевых продуктов,37163,Общий объем заказов на поставку продукции в последующие периоды по 2016 г.
D10,производство пищевых продуктов,31277,"Объем отгруженной продукции, выполненных работ, оказанных услуг предприятиями стран СНГ (в ценах реализации) по 2016 г."
D10,производство пищевых продуктов,45385,Обязательные страховые платежи от несчастных случаев на производстве и профессиональных заболеваниях  по 2016 г.
D10,производство пищевых продуктов,58761,"Отгружено инновационных товаров  собственного производства, выполнено работ и услуг собственными силами (без НДС, акцизов и других аналогичных платежей) c 2017 г."
D10,производство пищевых продуктов,58763,"Отгружено товаров собственного производства, выполнено работ и услуг  собственными силами (без НДС, акцизов и других аналогичных платежей) c 2017 г."
D10,производство пищевых продуктов,58464,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без НДС, акцизов и аналогичных обязательных платежей) по &laquo;чистым&raquo; видам деятельности с 2017 г."
D10,производство пищевых продуктов,33419,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без НДС,акцизов и аналогичных обязательных платежей) по &quot;чистым&quot; видам деятельности по 2016 г."
D10,производство пищевых продуктов,57716,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без НДС,акцизов и аналогичных обязательных платежей) по &quot;чистым&quot; видам деятельности с 2017 г."
D10,производство пищевых продуктов,45433,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами по 2016 г."
D10,производство пищевых продуктов,45399,"Покупная стоимость сырья, материалов, топлива, комплектующих изделий, приобретенных для производства продукции, но проданных на сторону без переработки (обработки) по 2016 г."
D10,производство пищевых продуктов,31361,Продано товаров несобственного производства средними организациями по Российской Федерации по 2016 г.
D10,производство пищевых продуктов,31047,Производственные запасы за вычетом износа на конец периода по 2016 г.
D10,производство пищевых продуктов,45410,"Расходы на приобретение импортного сырья, материалов, покупных изделий для производства и продажи продукции (товаров, работ, услуг) по 2016 г."
D10,производство пищевых продуктов,45412,"Расходы на приобретение сырья, материалов, покупных полуфабрикатов и комплектующих изделий для производства и продажи продукции (товаров, работ, услуг) по 2016 г."
D10,производство пищевых продуктов,43218,"Рентабельность(убыточность) проданных товаров, продукции, работ, услуг по 2016 г."
D10,производство пищевых продуктов,31435,"Себестоимость проданных товаров, продукции, работ, услуг по 2016 г."
D10,производство пищевых продуктов,37183,"Себестоимость проданных товаров, продукции, работ, услуг по данным бухгалтерской отчетности по 2016 г."
D10,производство пищевых продуктов,45366,"Сумма НДС, начисленная и причитающаяся к получению от покупателей за проданные товары, продукцию, выполненные работы, оказанные услуги в отчетном году по 2016 г."
D10,производство пищевых продуктов,45376,"Транспортный налог, включаемый в себестоимость продукции (работ, услуг) по 2016 г."
D10,производство пищевых продуктов,60021,"Удельный вес затрат на инновационную деятельность в общем объеме отгруженных товаров, выполненных работ, услуг организаций промышленного производства"
D10,производство пищевых продуктов,58768,"Удельный вес затрат на технологические инновации в общем объеме отгруженных товаров, выполненных работ, услуг организаций промышленного производства c 2017 г."
D10,производство пищевых продуктов,58762,"Удельный вес инновационных товаров,  работ, услуг в общем объеме отгруженных товаров, выполненных работ, услуг организаций промышленного производства c 2017 г."
D10,производство пищевых продуктов,58767,"Удельный вес организаций, осуществляющих технологические инновации, в общем числе организаций промышленного производства c 2017 г."
D10,производство пищевых продуктов,58769,Уровень инновационной активности организаций промышленного производства
D10,производство пищевых продуктов,31429,"Уровень рентабельности (убыточности) проданных товаров, продукции, работ, услуг по 2016 г."
D10,производство пищевых продуктов,45378,"Водный налог, включаемый в себестоимость продукции (работ, услуг) по 2016 г."
D10,производство пищевых продуктов,37052,"Затраты на производство и реализацию продукции (товаров, работ, услуг) по крупнейшим базовым организациям по 2016 г."
D10,производство пищевых продуктов,43574,Затраты организаций промышленного производства на технологические инновации по 2016 г.
D10,производство пищевых продуктов,57747,Индекс предпринимательской уверенности малых предприятий в обрабатывающих производствах (без микропредприятий)  с 2017 г.
D10,производство пищевых продуктов,37419,Индекс предпринимательской уверенности малых предприятий обрабатывающих производств (без микропредприятий) с 2009 г. по 2016 г.
D10,производство пищевых продуктов,40637,Индекс предпринимательской уверенности организаций обрабатывающих производств (без малых предприятий) с 2009 г. по 2016 г.
D10,производство пищевых продуктов,43047,Индекс производства
D10,производство пищевых продуктов,57807,Индекс производства (ОКВЭД2)
D10,производство пищевых продуктов,43048,Индекс производства (оперативные данные)
D10,производство пищевых продуктов,57806,Индекс производства (оперативные данные) (ОКВЭД2)
D10,производство пищевых продуктов,31111,"Индексы цен на продукцию (затраты, услуги) инвестиционного назначения по 2016 г."
D10,производство пищевых продуктов,57795,"Индексы цен на продукцию (затраты, услуги) инвестиционного назначения с 2017 г."
D10,производство пищевых продуктов,40609,"Индексы цен на прочую продукцию (затраты, услуги) инвестиционного назначения по 2016 г."
D10,производство пищевых продуктов,57798,"Индексы цен на прочую продукцию (затраты, услуги) инвестиционного назначения с 2017 г."
D10,производство пищевых продуктов,58605,Индексы цен производителей к среднегодовому значению 2010 г.
D10,производство пищевых продуктов,31108,Индексы цен производителей на строительную продукцию по 2016 г.
D10,производство пищевых продуктов,57796,Индексы цен производителей на строительную продукцию с 2017 г.
D10,производство пищевых продуктов,58602,Индексы цен производителей по видам экономической деятельности к предыдущему месяцу
D10,производство пищевых продуктов,40611,Индексы цен производителей по видам экономической деятельности по 2011 г.
D10,производство пищевых продуктов,43561,Индексы цен производителей по видам экономической деятельности с 2012 г. по 2016 г.
D10,производство пищевых продуктов,42981,Использовано отработанных нефтепродуктов в качестве котельно-печного топлива по 2016 г.
D10,производство пищевых продуктов,42978,Использовано отработанных нефтепродуктов для регенерации (очистки) на собственных установках по 2016 г.
D10,производство пищевых продуктов,42980,Использовано отработанных нефтепродуктов на технологические нужды по 2016 г.
D10,производство пищевых продуктов,40475,Использовано отработанных нефтепродуктов по 2016 г.
D10,производство пищевых продуктов,60464,Количество рабочих мест на всех видах работ  по производству товаров и услуг (по статусу в занятости)  в среднем за год с 2017 г.
D10,производство пищевых продуктов,60463,Количество фактически отработанного времени на всех видах работ по производству товаров и услуг (по статусу в занятости) в среднем за год с 2017 г.
D10,производство пищевых продуктов,36637,Коэффициенты концентрации производства по видам экономической деятельности по 2016 г.
D10,производство пищевых продуктов,45380,"Налог на добычу полезных ископаемых, включаемый в себестоимость продукции (работ, услуг) по 2016 г."
D10,производство пищевых продуктов,33836,"Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности индивидуальных предпринимателей за 2009 г."
D10,производство пищевых продуктов,43006,"Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности по 2016 г."
D10,производство пищевых продуктов,58488,"Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности с 2017 г."
D10,производство пищевых продуктов,37123,"Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам предпринимательской деятельности за 2010, 2015 гг."
D10,производство пищевых продуктов,62387,"Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам предпринимательской деятельности за 2020 год"
D10,производство пищевых продуктов,40639,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без НДС, акцизов и аналогичных обязательных платежей) по &quot;чистым&quot; видам деятельности по 2016 г."
D10,производство пищевых продуктов,42890,"Отгружено товаров собственного производства, выполнено работ и услуг собственными силами инновационного характера по 2016 год"
D10,производство пищевых продуктов,45431,"Отгружено товаров, произведенных из собственного сырья и материалов другими юридическими и физическими лицами по 2016 г."
D10,производство пищевых продуктов,58568,"Отгружено товаров, произведенных из собственного сырья и материалов другими юридическими и физическими лицами с 2017 г."
D10,производство пищевых продуктов,63013,Поставлено отработанных нефтепродуктов с 2017 г. по 2022 г. включительно
D10,производство пищевых продуктов,33927,"Потребление электроэнергии организациями добывающих, обрабатывающих производств, производства и распределения электроэнергии, газа и воды"
