factor_id,name,role,rows,regions,period_min,period_max,periods,expected_rows_observed_span,missing_rows_observed_span,min,max,zero_count,low_count,high_count,flag_count,qc_decision,auto_ready,enabled_after_qc,reason
body_ipc_air_transport,ИПЦ воздушный транспорт,body,17065,85,2002-01,2023-01,253,21505,4440,27.07,308.0,0,10,15,25,exclude_auto_v0,no,no,много экстремальных значений; временно исключаем до ручной проверки
body_ipc_food_ex_optional,ИПЦ продовольственные товары без необязательных,body,4956,83,2002-01,2006-12,60,4980,24,83.92,112.75,0,0,0,0,exclude_auto_v0,no,no,короткий исторический ряд 2002-2006; не используем в первом автоподборе
body_ipc_food_optional,ИПЦ продовольственные товары необязательного пользования,body,4956,83,2002-01,2006-12,60,4980,24,93.85,127.82,0,0,0,0,exclude_auto_v0,no,no,короткий исторический ряд 2002-2006; не используем в первом автоподборе
body_ipc_nonfood_ex_optional,ИПЦ непродовольственные товары без необязательных,body,4956,83,2002-01,2006-12,60,4980,24,97.41,105.18,0,0,0,0,exclude_auto_v0,no,no,короткий исторический ряд 2002-2006; не используем в первом автоподборе
body_ipc_nonfood_optional,ИПЦ непродовольственные товары необязательного пользования,body,4956,83,2002-01,2006-12,60,4980,24,90.68,125.26,0,0,0,0,exclude_auto_v0,no,no,короткий исторический ряд 2002-2006; не используем в первом автоподборе
body_ipc_diesel,ИПЦ дизельное топливо,body,17209,85,2006-01,2023-01,205,17425,216,80.28,127.5,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_food_ex_veg_pot_fruit,"ИПЦ продовольствие без овощей, картофеля и фруктов",body,21084,85,2002-01,2023-01,253,21505,421,97.18,113.66,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_food_no_alcohol,ИПЦ продовольственные товары без алкоголя,body,21084,85,2002-01,2023-01,253,21505,421,84.48,115.12,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_gasoline,ИПЦ бензин автомобильный,body,21169,85,2002-01,2023-01,253,21505,336,77.64,152.75,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_motor_fuel,ИПЦ моторное топливо,body,17124,85,2006-01,2023-01,205,17425,301,80.66,126.6,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_nonfood_broad,ИПЦ непродовольственных товаров (кандидат тела),body,21084,85,2002-01,2023-01,253,21505,421,97.92,115.84,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_passenger_transport,ИПЦ услуги пассажирского транспорта,body,21169,85,2002-01,2023-01,253,21505,336,45.57,187.11,0,1,0,1,ready_with_warning,yes,yes,"есть 1 флаг(ов), но ряд оставлен для разведки v0"
body_ipc_rail_transport,ИПЦ железнодорожный транспорт,body,19696,81,2002-01,2023-01,253,20493,797,69.64,200.0,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
body_ipc_services_broad,ИПЦ услуг (кандидат тела),body,21084,85,2002-01,2023-01,253,21505,421,86.97,149.29,0,0,0,0,ready_with_warning,yes,yes,"есть неполное покрытие регионов/месяцев, но ряд пригоден для разведки v0"
target_ipc_all,ИПЦ общий,target,21084,85,2002-01,2023-01,253,21505,421,91.17,110.93,0,0,0,0,ready_target,yes,yes,"цель прошла субъектную гармонизацию, нулей и экстремумов нет"
target_ipc_food,ИПЦ продовольственных товаров,target,21084,85,2002-01,2023-01,253,21505,421,86.22,115.12,0,0,0,0,ready_target,yes,yes,"цель прошла субъектную гармонизацию, нулей и экстремумов нет"
target_ipc_nonfood,ИПЦ непродовольственных товаров,target,21084,85,2002-01,2023-01,253,21505,421,97.92,115.84,0,0,0,0,ready_target,yes,yes,"цель прошла субъектную гармонизацию, нулей и экстремумов нет"
target_ipc_services,ИПЦ услуг,target,21084,85,2002-01,2023-01,253,21505,421,86.97,149.29,0,0,0,0,ready_target,yes,yes,"цель прошла субъектную гармонизацию, нулей и экстремумов нет"
