region,period,value,factor_id
Амурская область,2013-03,200.11,body_ipc_air_transport
Вологодская область,2008-07,205.71,body_ipc_air_transport
Вологодская область,2010-02,48.61,body_ipc_air_transport
Кабардино-Балкарская Республика,2021-09,49.37,body_ipc_air_transport
Калининградская область,2011-09,37.96,body_ipc_air_transport
"Корякский округ, входящий в состав Камчатского края",2007-08,0.0,body_ipc_air_transport
"Корякский округ, входящий в состав Камчатского края",2007-09,0.0,body_ipc_air_transport
"Корякский округ, входящий в состав Камчатского края",2007-10,0.0,body_ipc_air_transport
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,body_ipc_air_transport
"Корякский округ, входящий в состав Камчатского края",2007-12,0.0,body_ipc_air_transport
Курганская область,2020-09,49.51,body_ipc_air_transport
Республика Алтай,2020-08,222.17,body_ipc_air_transport
Республика Алтай,2021-07,205.93,body_ipc_air_transport
Республика Дагестан,2019-08,213.5,body_ipc_air_transport
Республика Дагестан,2020-09,40.68,body_ipc_air_transport
Республика Дагестан,2022-07,204.63,body_ipc_air_transport
Республика Ингушетия,2019-05,48.73,body_ipc_air_transport
Республика Ингушетия,2020-09,47.87,body_ipc_air_transport
Республика Ингушетия,2021-08,308.0,body_ipc_air_transport
Республика Ингушетия,2022-04,216.71,body_ipc_air_transport
Республика Крым,2016-08,209.22,body_ipc_air_transport
Республика Крым,2016-10,45.08,body_ipc_air_transport
Республика Северная Осетия-Алания,2020-08,208.1,body_ipc_air_transport
Республика Северная Осетия-Алания,2021-08,280.26,body_ipc_air_transport
Республика Северная Осетия-Алания,2022-07,206.1,body_ipc_air_transport
Ставропольский край,2022-07,202.04,body_ipc_air_transport
Чеченская Республика,2021-09,49.53,body_ipc_air_transport
Чукотский автономный округ,2021-05,225.88,body_ipc_air_transport
Чукотский автономный округ,2022-04,220.22,body_ipc_air_transport
Чукотский автономный округ,2022-05,27.07,body_ipc_air_transport
Агинский Бурятский округ (Забайкальский край),2008-07,0.0,body_ipc_diesel
"Корякский округ, входящий в состав Камчатского края",2007-08,0.0,body_ipc_diesel
"Корякский округ, входящий в состав Камчатского края",2007-09,0.0,body_ipc_diesel
"Корякский округ, входящий в состав Камчатского края",2007-10,0.0,body_ipc_diesel
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,body_ipc_diesel
"Корякский округ, входящий в состав Камчатского края",2007-12,0.0,body_ipc_diesel
Агинский Бурятский округ (Забайкальский край),2008-07,0.0,body_ipc_food_ex_veg_pot_fruit
"Корякский округ, входящий в состав Камчатского края",2007-08,0.0,body_ipc_food_ex_veg_pot_fruit
"Корякский округ, входящий в состав Камчатского края",2007-09,0.0,body_ipc_food_ex_veg_pot_fruit
"Корякский округ, входящий в состав Камчатского края",2007-10,0.0,body_ipc_food_ex_veg_pot_fruit
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,body_ipc_food_ex_veg_pot_fruit
"Корякский округ, входящий в состав Камчатского края",2007-12,0.0,body_ipc_food_ex_veg_pot_fruit
Агинский Бурятский округ (Забайкальский край),2008-07,0.0,body_ipc_food_no_alcohol
"Корякский округ, входящий в состав Камчатского края",2007-08,0.0,body_ipc_food_no_alcohol
"Корякский округ, входящий в состав Камчатского края",2007-09,0.0,body_ipc_food_no_alcohol
"Корякский округ, входящий в состав Камчатского края",2007-10,0.0,body_ipc_food_no_alcohol
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,body_ipc_food_no_alcohol
"Корякский округ, входящий в состав Камчатского края",2007-12,0.0,body_ipc_food_no_alcohol
Агинский Бурятский округ (Забайкальский край),2008-07,0.0,body_ipc_gasoline
"Корякский округ, входящий в состав Камчатского края",2007-08,0.0,body_ipc_gasoline
"Корякский округ, входящий в состав Камчатского края",2007-09,0.0,body_ipc_gasoline
"Корякский округ, входящий в состав Камчатского края",2007-10,0.0,body_ipc_gasoline
"Корякский округ, входящий в состав Камчатского края",2007-11,0.0,body_ipc_gasoline
