factor_id,role,rows,regions,period_min,period_max,min,max,zero_count,high_count
body_ipc_air_transport,body,17065,85,2002-01,2023-01,27.07,308.0,0,15
body_ipc_food_ex_optional,body,4956,83,2002-01,2006-12,83.92,112.75,0,0
body_ipc_food_optional,body,4956,83,2002-01,2006-12,93.85,127.82,0,0
body_ipc_nonfood_ex_optional,body,4956,83,2002-01,2006-12,97.41,105.18,0,0
body_ipc_nonfood_optional,body,4956,83,2002-01,2006-12,90.68,125.26,0,0
body_ipc_diesel,body,17209,85,2006-01,2023-01,80.28,127.5,0,0
body_ipc_food_ex_veg_pot_fruit,body,21084,85,2002-01,2023-01,97.18,113.66,0,0
body_ipc_food_no_alcohol,body,21084,85,2002-01,2023-01,84.48,115.12,0,0
body_ipc_gasoline,body,21169,85,2002-01,2023-01,77.64,152.75,0,0
body_ipc_motor_fuel,body,17124,85,2006-01,2023-01,80.66,126.6,0,0
body_ipc_nonfood_broad,body,21084,85,2002-01,2023-01,97.92,115.84,0,0
body_ipc_passenger_transport,body,21169,85,2002-01,2023-01,45.57,187.11,0,0
body_ipc_rail_transport,body,19696,81,2002-01,2023-01,69.64,200.0,0,0
body_ipc_services_broad,body,21084,85,2002-01,2023-01,86.97,149.29,0,0
target_ipc_all,target,21084,85,2002-01,2023-01,91.17,110.93,0,0
target_ipc_food,target,21084,85,2002-01,2023-01,86.22,115.12,0,0
target_ipc_nonfood,target,21084,85,2002-01,2023-01,97.92,115.84,0,0
target_ipc_services,target,21084,85,2002-01,2023-01,86.97,149.29,0,0
