target_factor_id,target_name,horizon,raw_rows,raw_regions,signal_rows_after_transform,future_rows,future_regions,period_min,period_max
target_ipc_all,ИПЦ общий,1,21084,85,21084,20999,85,2002-01,2022-12
target_ipc_all,ИПЦ общий,2,21084,85,21084,20914,85,2002-01,2022-11
target_ipc_all,ИПЦ общий,3,21084,85,21084,20829,85,2002-01,2022-10
target_ipc_all,ИПЦ общий,6,21084,85,21084,20574,85,2002-01,2022-07
target_ipc_food,ИПЦ продовольственных товаров,1,21084,85,21084,20999,85,2002-01,2022-12
target_ipc_food,ИПЦ продовольственных товаров,2,21084,85,21084,20914,85,2002-01,2022-11
target_ipc_food,ИПЦ продовольственных товаров,3,21084,85,21084,20829,85,2002-01,2022-10
target_ipc_food,ИПЦ продовольственных товаров,6,21084,85,21084,20574,85,2002-01,2022-07
target_ipc_nonfood,ИПЦ непродовольственных товаров,1,21084,85,21084,20999,85,2002-01,2022-12
target_ipc_nonfood,ИПЦ непродовольственных товаров,2,21084,85,21084,20914,85,2002-01,2022-11
target_ipc_nonfood,ИПЦ непродовольственных товаров,3,21084,85,21084,20829,85,2002-01,2022-10
target_ipc_nonfood,ИПЦ непродовольственных товаров,6,21084,85,21084,20574,85,2002-01,2022-07
target_ipc_services,ИПЦ услуг,1,21084,85,21084,20999,85,2002-01,2022-12
target_ipc_services,ИПЦ услуг,2,21084,85,21084,20914,85,2002-01,2022-11
target_ipc_services,ИПЦ услуг,3,21084,85,21084,20829,85,2002-01,2022-10
target_ipc_services,ИПЦ услуг,6,21084,85,21084,20574,85,2002-01,2022-07
