subject_a,subject_b
Алтайский край,Новосибирская область
Алтайский край,Республика Алтай
Алтайский край,Кемеровская область
Республика Мордовия,Рязанская область
Республика Мордовия,Нижегородская область
Республика Мордовия,Чувашская Республика
Республика Мордовия,Пензенская область
Республика Мордовия,Ульяновская область
Тульская область,Рязанская область
Тульская область,Московская область
Тульская область,Орловская область
Тульская область,Калужская область
Тульская область,Липецкая область
Курганская область,Свердловская область
Курганская область,Челябинская область
Курганская область,Тюменская область
Республика Ингушетия,Чеченская Республика
Республика Ингушетия,Республика Северная Осетия - Алания
Республика Ингушетия,Кабардино-Балкарская Республика
Ханты-Мансийский автономный округ - Югра,Республика Коми
Ханты-Мансийский автономный округ - Югра,Красноярский край
Ханты-Мансийский автономный округ - Югра,Свердловская область
Ханты-Мансийский автономный округ - Югра,Томская область
Ханты-Мансийский автономный округ - Югра,Тюменская область
Ханты-Мансийский автономный округ - Югра,Ямало-Ненецкий автономный округ
Кировская область,Республика Коми
Кировская область,Костромская область
Кировская область,Пермский край
Кировская область,Республика Татарстан
Кировская область,Нижегородская область
Кировская область,Архангельская область
Кировская область,Республика Марий Эл
Кировская область,Удмуртская Республика
Кировская область,Вологодская область
Республика Коми,Свердловская область
Республика Коми,Пермский край
Республика Коми,Архангельская область
Республика Коми,Ненецкий автономный округ
Республика Коми,Ямало-Ненецкий автономный округ
Костромская область,Нижегородская область
Костромская область,Вологодская область
Костромская область,Ярославская область
Костромская область,Ивановская область
Красноярский край,Иркутская область
Красноярский край,Республика Хакасия
Красноярский край,Томская область
Красноярский край,Республика Саха (Якутия)
Красноярский край,Республика Тыва
Красноярский край,Ямало-Ненецкий автономный округ
Красноярский край,Кемеровская область
Забайкальский край,Иркутская область
Забайкальский край,Республика Бурятия
Забайкальский край,Амурская область
Забайкальский край,Республика Саха (Якутия)
Свердловская область,Пермский край
Свердловская область,Челябинская область
Свердловская область,Тюменская область
Свердловская область,Республика Башкортостан
Волгоградская область,Ростовская область
Волгоградская область,Астраханская область
Волгоградская область,Саратовская область
Волгоградская область,Воронежская область
Волгоградская область,Республика Калмыкия
Иркутская область,Республика Бурятия
Иркутская область,Республика Саха (Якутия)
Иркутская область,Республика Тыва
Пермский край,Удмуртская Республика
Пермский край,Республика Башкортостан
Псковская область,Ленинградская область
Псковская область,Новгородская область
Псковская область,Смоленская область
Псковская область,Тверская область
Ростовская область,Краснодарский край
Ростовская область,Ставропольский край
Ростовская область,Воронежская область
Ростовская область,Республика Калмыкия
Рязанская область,Тамбовская область
Рязанская область,Нижегородская область
Рязанская область,Пензенская область
Рязанская область,Московская область
Рязанская область,Липецкая область
Рязанская область,Владимирская область
Республика Адыгея,Краснодарский край
