fedstat_name,canonical_region,region_type,action,use_in_subject_panel,federal_district,capital_city,capital_lat,capital_lon,region_code,note
Агинский Бурятский округ (Забайкальский край),,historical_subregion,exclude_historical_subregion,no,,,,,,исторический округ внутри Забайкальского края
Алтайский край,Алтайский край,subject,keep,yes,Сибирский федеральный округ,Барнаул,53.3481,83.7836,ALT,совпало со справочником
Амурская область,Амурская область,subject,keep,yes,Дальневосточный федеральный округ,Благовещенск,50.2907,127.5341,AMU,совпало со справочником
Архангельская область,Архангельская область,subject,keep,yes,Северо-Западный федеральный округ,Архангельск,64.5401,40.5433,ARK,совпало со справочником
Архангельская область (кроме Ненецкого автономного округа),,partial_parent_region,exclude_partial_region,no,,,,,,"часть субъекта, не полный регион"
Астраханская область,Астраханская область,subject,keep,yes,Южный федеральный округ,Астрахань,46.3497,48.0408,AST,совпало со справочником
Белгородская область,Белгородская область,subject,keep,yes,Центральный федеральный округ,Белгород,50.5953,36.5856,BEL,совпало со справочником
Брянская область,Брянская область,subject,keep,yes,Центральный федеральный округ,Брянск,53.2521,34.3654,BRY,совпало со справочником
Владимирская область,Владимирская область,subject,keep,yes,Центральный федеральный округ,Владимир,56.1366,40.4163,VLA,совпало со справочником
Волго-Вятский экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Волгоградская область,Волгоградская область,subject,keep,yes,Южный федеральный округ,Волгоград,48.708,44.5018,VGG,совпало со справочником
Вологодская область,Вологодская область,subject,keep,yes,Северо-Западный федеральный округ,Вологда,59.2205,39.8918,VLG,совпало со справочником
Воронежская область,Воронежская область,subject,keep,yes,Центральный федеральный округ,Воронеж,51.6608,39.1843,VOR,совпало со справочником
Восточно-Сибирский экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Город Москва столица Российской Федерации город федерального значения,г. Москва,subject_name_variant,map_to_canonical,yes,Центральный федеральный округ,Москва,55.7558,37.6173,MOW,вариант имени Fedstat
Город Санкт-Петербург город федерального значения,г. Санкт-Петербург,subject_name_variant,map_to_canonical,yes,Северо-Западный федеральный округ,Санкт-Петербург,59.9386,30.3141,SPE,вариант имени Fedstat
Город федерального значения Севастополь,г. Севастополь,subject_name_variant,map_to_canonical,yes,Южный федеральный округ,Севастополь,44.6166,33.5253,SEV,вариант имени Fedstat
Дальневосточный экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
