shape_id,shape_iso,shape_name,shape_type
28173009B80457268982215,RU-ALT,Altai Krai,ADM1
28173009B16834140201491,RU-MO,Republic of Mordovia,ADM1
28173009B42082792489997,RU-TUL,Tula Oblast,ADM1
28173009B71296032393878,RU-KGN,Kurgan Oblast,ADM1
28173009B75413689166101,RU-IN,Ingushetia,ADM1
28173009B731487536241,RU-KHM,Khanty-Mansiysk Autonomous Okrug – Ugra,ADM1
28173009B31225333555943,RU-KIR,Kirov Oblast,ADM1
28173009B21210279674314,RU-KO,Komi Republic,ADM1
28173009B70678486994214,RU-KOS,Kostroma Oblast,ADM1
28173009B65133456612022,RU-KYA,Krasnoyarsk Krai,ADM1
28173009B29209288820923,RU-ZAB,Zabaykalsky Krai,ADM1
28173009B92397886288731,RU-SVE,Sverdlovsk Oblast,ADM1
28173009B90356867269748,RU-VGG,Volgograd Oblast,ADM1
28173009B78872068540735,RU-IRK,Irkutsk Oblast,ADM1
28173009B90469334921421,RU-PER,Perm Krai,ADM1
28173009B86476767341172,RU-PSK,Pskov Oblast,ADM1
28173009B46424166303156,RU-ROS,Rostov Oblast,ADM1
28173009B69714658607289,RU-RYA,Ryazan Oblast,ADM1
28173009B41832925814017,RU-AD,Adygea,ADM1
28173009B25497318303482,RU-SAM,Samara Oblast,ADM1
28173009B55422170414647,RU-KK,Khakassia,ADM1
28173009B50284711669511,RU-TAM,Tambov Oblast,ADM1
28173009B46738131000378,RU-TA,Tatarstan,ADM1
28173009B26811060113320,RU-TOM,Tomsk Oblast,ADM1
28173009B18259284234443,RU-NIZ,Nizhny Novgorod Oblast,ADM1
28173009B96976580001980,RU-KR,Republic of Karelia,ADM1
28173009B62882423633207,RU-ARK,Arkhangelsk Oblast,ADM1
28173009B68474107072963,RU-AST,Astrakhan Oblast,ADM1
28173009B21416061393121,RU-BEL,Belgorod Oblast,ADM1
28173009B9124867987859,RU-BRY,Bryansk Oblast,ADM1
28173009B49563687485750,RU-BU,Buryatia,ADM1
28173009B98838729156012,RU-CE,Chechnya,ADM1
28173009B19466568926459,RU-CHE,Chelyabinsk Oblast,ADM1
28173009B91429860602147,RU-CU,Chuvashia,ADM1
28173009B77673499236961,RU-TYU,Tyumen Oblast,ADM1
28173009B7235812138525,RU-SE,North Ossetia–Alania,ADM1
28173009B59972517059449,RU-PNZ,Penza Oblast,ADM1
28173009B24080199016459,RU-AMU,Amur Oblast,ADM1
28173009B46612801043871,RU-KB,Kabardino-Balkaria,ADM1
28173009B83675725671802,RU-KDA,Krasnodar Krai,ADM1
28173009B94971452660823,RU-KRS,Kursk Oblast,ADM1
28173009B90810482533567,RU-LEN,Leningrad oblast,ADM1
28173009B61240048498251,RU-ME,Mari El,ADM1
28173009B19676032168465,RU-MOW,Moscow,ADM1
28173009B74836580104791,RU-MOS,Moscow Oblast,ADM1
28173009B70218250039968,RU-MUR,Murmansk Oblast,ADM1
28173009B3082792446388,RU-NEN,Nenets Autonomous Okrug,ADM1
28173009B16533507618293,RU-NGR,Novgorod Oblast,ADM1
28173009B27844369294009,RU-NVS,Novosibirsk Oblast,ADM1
28173009B55503329301013,RU-OMS,Omsk Oblast,ADM1
28173009B3932420572168,RU-ORL,Oryol Oblast,ADM1
28173009B8796515134902,RU-SPE,Saint Petersburg,ADM1
28173009B36269087375583,RU-SAK,Sakhalin Oblast,ADM1
28173009B48058606062294,RU-SA,Sakha Republic,ADM1
28173009B21415173479872,RU-SAR,Saratov Oblast,ADM1
28173009B31773571872137,RU-SMO,Smolensk Oblast,ADM1
28173009B89423349656391,RU-STA,Stavropol Krai,ADM1
28173009B55293521919285,RU-TY,Tuva,ADM1
28173009B63182593849600,RU-TVE,Tver Oblast,ADM1
28173009B34434912986355,RU-UD,Udmurtia,ADM1
28173009B99237675212372,RU-KLU,Kaluga Oblast,ADM1
28173009B5502896824563,RU-LIP,Lipetsk Oblast,ADM1
28173009B2185273376578,RU-MAG,Magadan Oblast,ADM1
28173009B42697300509311,RU-ULY,Ulyanovsk Oblast,ADM1
28173009B91128253561055,RU-VLA,Vladimir Oblast,ADM1
28173009B96664025860642,RU-VLG,Vologda Oblast,ADM1
28173009B38848907206629,RU-YAR,Yaroslavl Oblast,ADM1
28173009B2687808218031,RU-VOR,Voronezh Oblast,ADM1
28173009B47279883421777,RU-YAN,Yamalo-Nenets Autonomous Okrug,ADM1
28173009B30008444211385,RU-AL,Altai Republic,ADM1
28173009B41275184158050,RU-IVA,Ivanovo Oblast,ADM1
28173009B51962491984110,RU-YEV,Jewish Autonomous Oblast,ADM1
28173009B57398385788417,RU-KL,Kalmykia,ADM1
28173009B70023447378008,RU-KAM,Kamchatka Krai,ADM1
28173009B95588705134862,RU-KC,Karachay-Cherkessia,ADM1
28173009B4400867918714,RU-KEM,Kemerovo Oblast,ADM1
28173009B57295377776076,RU-KHA,Khabarovsk Krai,ADM1
28173009B11091203162490,RU-CHU,Chukotka Autonomous Okrug,ADM1
28173009B24428243574749,RU-DA,Dagestan,ADM1
28173009B40138449315491,RU-KGD,Kaliningrad,ADM1
28173009B76603557910928,RU-ORE,Orenburg Oblast,ADM1
28173009B46831765844996,RU-PRI,Primorsky Krai,ADM1
28173009B30250450380208,RU-BA,Bashkortostan,ADM1
