Tile-код;ISO 3166-2;Полное имя;Краткое имя;Федеральный округ;Столица;Долгота столицы;Широта столицы;Tile col;Tile row;Примечание;_src
МУР;MUR;Мурманская область;Мурманская;СЗФО;Мурманск;33.0826;68.9585;4;0;;2a89c262ef8bcfa5
КАР;KR;Республика Карелия;Карелия;СЗФО;Петрозаводск;34.3641;61.789;4;1;;2a89c262ef8bcfa5
КЛГ;KGD;Калининградская область;Калининградская;СЗФО;Калининград;20.5114;54.7104;1;2;;2a89c262ef8bcfa5
СПБ;SPE;Санкт-Петербург;Санкт-Петербург;СЗФО;Санкт-Петербург;30.3141;59.9386;3;2;;2a89c262ef8bcfa5
ЛЕН;LEN;Ленинградская область;Ленинградская;СЗФО;Гатчина;30.1281;59.5704;4;2;;2a89c262ef8bcfa5
АРХ;ARK;Архангельская область;Архангельская;СЗФО;Архангельск;40.5433;64.5401;5;2;;2a89c262ef8bcfa5
НЕН;NEN;Ненецкий АО;Ненецкий АО;СЗФО;Нарьян-Мар;53.0084;67.6383;6;2;;2a89c262ef8bcfa5
ПСК;PSK;Псковская область;Псковская;СЗФО;Псков;28.3569;57.8136;3;3;;2a89c262ef8bcfa5
НВГ;NGR;Новгородская область;Новгородская;СЗФО;Великий Новгород;31.275;58.5256;4;3;;2a89c262ef8bcfa5
ВОЛ;VLG;Вологодская область;Вологодская;СЗФО;Вологда;39.8918;59.2205;5;3;;2a89c262ef8bcfa5
КОМ;KO;Республика Коми;Коми;СЗФО;Сыктывкар;50.8088;61.6688;6;3;;2a89c262ef8bcfa5
ЯМН;YAN;Ямало-Ненецкий АО;Ямало-Ненецкий АО;УФО;Салехард;66.5965;66.5302;9;3;;2a89c262ef8bcfa5
КРР;KYA;Красноярский край;Красноярский;СФО;Красноярск;92.8932;56.0153;11;3;;2a89c262ef8bcfa5
ЧУК;CHU;Чукотский АО;Чукотский АО;ДФО;Анадырь;177.5103;64.7337;13;3;;2a89c262ef8bcfa5
КАМ;KAM;Камчатский край;Камчатский;ДФО;Петропавловск-Камчатский;158.6505;53.0382;14;3;;2a89c262ef8bcfa5
МСК;MOW;Москва;Москва;ЦФО;Москва;37.6173;55.7558;0;4;;2a89c262ef8bcfa5
ТВЕ;TVE;Тверская область;Тверская;ЦФО;Тверь;35.9176;56.8587;3;4;;2a89c262ef8bcfa5
ЯРО;YAR;Ярославская область;Ярославская;ЦФО;Ярославль;39.8742;57.6261;4;4;;2a89c262ef8bcfa5
ИВА;IVA;Ивановская область;Ивановская;ЦФО;Иваново;40.9745;57.0006;5;4;;2a89c262ef8bcfa5
