subject_a,subject_b,n_ways
Алтайский край,Кемеровская область,2
Алтайский край,Новосибирская область,8
Амурская область,Еврейская автономная область,2
Амурская область,Забайкальский край,2
Амурская область,Республика Саха (Якутия),10
Амурская область,Хабаровский край,1
Архангельская область,Вологодская область,10
Архангельская область,Республика Карелия,1
Архангельская область,Республика Коми,4
Астраханская область,Волгоградская область,2
Астраханская область,Республика Калмыкия,1
Белгородская область,Воронежская область,2
Белгородская область,Курская область,7
Брянская область,Калужская область,4
Брянская область,Курская область,2
Брянская область,Орловская область,1
Брянская область,Смоленская область,2
Владимирская область,Ивановская область,2
Владимирская область,Московская область,10
Владимирская область,Нижегородская область,4
Владимирская область,Ярославская область,2
Волгоградская область,Воронежская область,5
Волгоградская область,Ростовская область,8
Волгоградская область,Саратовская область,4
Вологодская область,Кировская область,1
Вологодская область,Костромская область,2
Вологодская область,Ленинградская область,3
Вологодская область,Новгородская область,1
Вологодская область,Ярославская область,2
Воронежская область,Курская область,1
Воронежская область,Липецкая область,2
Воронежская область,Ростовская область,6
Воронежская область,Саратовская область,2
Воронежская область,Тамбовская область,1
Еврейская автономная область,Хабаровский край,5
Забайкальский край,Республика Бурятия,3
Забайкальский край,Республика Саха (Якутия),10
Ивановская область,Костромская область,1
Иркутская область,Красноярский край,5
Иркутская область,Республика Бурятия,4
Кабардино-Балкарская Республика,Республика Северная Осетия - Алания,2
Кабардино-Балкарская Республика,Ставропольский край,2
Калужская область,Московская область,2
Калужская область,Смоленская область,3
Калужская область,Тульская область,2
Карачаево-Черкесская Республика,Ставропольский край,2
Кемеровская область,Красноярский край,2
Кемеровская область,Новосибирская область,7
Кемеровская область,Республика Хакасия,2
Кемеровская область,Томская область,1
Кировская область,Костромская область,2
Кировская область,Нижегородская область,2
Кировская область,Республика Марий Эл,1
Кировская область,Республика Татарстан,2
Кировская область,Удмуртская Республика,4
Костромская область,Ярославская область,1
Краснодарский край,Республика Адыгея,8
Краснодарский край,Ростовская область,8
Краснодарский край,Ставропольский край,3
Красноярский край,Республика Хакасия,2
Курганская область,Свердловская область,2
Курганская область,Челябинская область,2
Курская область,Липецкая область,2
Курская область,Орловская область,3
Ленинградская область,Новгородская область,7
Ленинградская область,Псковская область,1
Ленинградская область,Республика Карелия,5
Ленинградская область,г. Санкт-Петербург,24
Липецкая область,Орловская область,1
Липецкая область,Рязанская область,1
Липецкая область,Тамбовская область,5
Липецкая область,Тульская область,2
Московская область,Рязанская область,10
Московская область,Смоленская область,2
Московская область,Тверская область,5
Московская область,Тульская область,4
Московская область,г. Москва,81
Нижегородская область,Республика Мордовия,1
Новгородская область,Псковская область,2
Новгородская область,Тверская область,4
Новосибирская область,Омская область,2
Омская область,Тюменская область,2
Оренбургская область,Республика Башкортостан,5
Оренбургская область,Республика Татарстан,2
Оренбургская область,Самарская область,8
Оренбургская область,Челябинская область,2
Орловская область,Тульская область,2
Пензенская область,Республика Мордовия,6
Пензенская область,Саратовская область,6
Пензенская область,Тамбовская область,5
Пензенская область,Ульяновская область,4
Пермский край,Республика Башкортостан,4
Пермский край,Свердловская область,6
Пермский край,Удмуртская Республика,2
Приморский край,Хабаровский край,2
Псковская область,Тверская область,2
Республика Башкортостан,Республика Татарстан,1
Республика Башкортостан,Удмуртская Республика,2
Республика Башкортостан,Челябинская область,13
Республика Дагестан,Республика Калмыкия,1
Республика Дагестан,Чеченская Республика,3
Республика Ингушетия,Республика Северная Осетия - Алания,1
Республика Калмыкия,Ростовская область,1
Республика Калмыкия,Ставропольский край,1
Республика Коми,Ямало-Ненецкий автономный округ,1
Республика Марий Эл,Республика Татарстан,1
Республика Мордовия,Рязанская область,8
Республика Мордовия,Чувашская Республика,1
Республика Саха (Якутия),Хабаровский край,1
Республика Северная Осетия - Алания,Ставропольский край,1
Республика Татарстан,Самарская область,3
Республика Татарстан,Удмуртская Республика,8
Республика Татарстан,Ульяновская область,1
Республика Татарстан,Чувашская Республика,2
Рязанская область,Тамбовская область,3
Рязанская область,Тульская область,1
Самарская область,Саратовская область,4
Самарская область,Ульяновская область,11
Саратовская область,Тамбовская область,1
Саратовская область,Ульяновская область,2
Свердловская область,Тюменская область,2
Свердловская область,Ханты-Мансийский автономный округ - Югра,2
Свердловская область,Челябинская область,3
Смоленская область,Тверская область,1
Ставропольский край,Чеченская Республика,2
Тверская область,Ярославская область,2
Тюменская область,Ханты-Мансийский автономный округ - Югра,2
Ханты-Мансийский автономный округ - Югра,Ямало-Ненецкий автономный округ,1
