subject,rail_stations
Алтайский край,72
Амурская область,164
Архангельская область,150
Астраханская область,45
Белгородская область,68
Брянская область,61
Владимирская область,59
Волгоградская область,112
Вологодская область,72
Воронежская область,82
Еврейская автономная область,32
Забайкальский край,136
Ивановская область,30
Иркутская область,154
Кабардино-Балкарская Республика,9
Калининградская область,40
Калужская область,47
Камчатский край,0
Карачаево-Черкесская Республика,5
Кемеровская область,144
Кировская область,108
Костромская область,49
Краснодарский край,158
Красноярский край,147
Курганская область,42
Курская область,60
Ленинградская область,195
Липецкая область,69
Магаданская область,4
Московская область,178
Мурманская область,62
Ненецкий автономный округ,0
Нижегородская область,107
Новгородская область,72
Новосибирская область,77
Омская область,35
Оренбургская область,101
Орловская область,35
Пензенская область,60
Пермский край,142
Приморский край,113
Псковская область,79
Республика Адыгея,13
Республика Алтай,0
Республика Башкортостан,111
Республика Бурятия,86
Республика Дагестан,32
Республика Ингушетия,4
Республика Калмыкия,7
Республика Карелия,127
Республика Коми,132
Республика Марий Эл,14
Республика Мордовия,41
Республика Саха (Якутия),38
Республика Северная Осетия - Алания,13
Республика Татарстан,76
Республика Тыва,0
Республика Хакасия,36
Ростовская область,115
Рязанская область,62
Самарская область,97
Саратовская область,121
Сахалинская область,38
Свердловская область,316
Смоленская область,60
Ставропольский край,48
Тамбовская область,44
Тверская область,112
Томская область,25
Тульская область,61
Тюменская область,44
Удмуртская Республика,56
Ульяновская область,58
Хабаровский край,194
Ханты-Мансийский автономный округ - Югра,56
Челябинская область,193
Чеченская Республика,14
Чувашская Республика,20
Чукотский автономный округ,0
Ямало-Ненецкий автономный округ,59
Ярославская область,66
г. Москва,65
г. Санкт-Петербург,62
