fedstat_name,geo_name,federal_district,capital_city,capital_lat,capital_lon,region_code
Алтайский край,Алтайский край,Сибирский федеральный округ,Барнаул,53.35,83.76,
Амурская область,Амурская область,Дальневосточный федеральный округ,Благовещенск,50.29,127.53,
Архангельская область,Архангельская область,Северо-Западный федеральный округ,Архангельск,64.54,40.54,
Астраханская область,Астраханская область,Южный федеральный округ,Астрахань,46.35,48.04,
Белгородская область,Белгородская область,Центральный федеральный округ,Белгород,50.6,36.59,
Брянская область,Брянская область,Центральный федеральный округ,Брянск,53.25,34.37,
Владимирская область,Владимирская область,Центральный федеральный округ,Владимир,56.13,40.41,
Волгоградская область,Волгоградская область,Южный федеральный округ,Волгоград,48.71,44.51,
Вологодская область,Вологодская область,Северо-Западный федеральный округ,Вологда,59.22,39.89,
Воронежская область,Воронежская область,Центральный федеральный округ,Воронеж,51.66,39.2,
Дальневосточный федеральный округ,Дальневосточный федеральный округ,Дальневосточный федеральный округ,Владивосток,43.12,131.89,
Еврейская автономная область,Еврейская автономная область,Дальневосточный федеральный округ,Биробиджан,48.79,132.92,
Забайкальский край,Забайкальский край,Дальневосточный федеральный округ,Чита,52.03,113.5,
Ивановская область,Ивановская область,Центральный федеральный округ,Иваново,57.0,40.97,
Иркутская область,Иркутская область,Сибирский федеральный округ,Иркутск,52.29,104.28,
Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,Нальчик,43.49,43.61,
Калининградская область,Калининградская область,Северо-Западный федеральный округ,Калининград,54.71,20.51,
Калужская область,Калужская область,Центральный федеральный округ,Калуга,54.51,36.26,
Камчатский край,Камчатский край,Дальневосточный федеральный округ,Петропавловск-Камчатский,53.04,158.65,
Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,Черкесск,44.23,42.05,
Кемеровская область,Кемеровская область,Сибирский федеральный округ,Кемерово,55.35,86.09,
Кировская область,Кировская область,Приволжский федеральный округ,Киров,58.6,49.67,
Костромская область,Костромская область,Центральный федеральный округ,Кострома,57.77,40.93,
Краснодарский край,Краснодарский край,Южный федеральный округ,Краснодар,45.04,38.98,
Красноярский край,Красноярский край,Сибирский федеральный округ,Красноярск,56.01,92.87,
Курганская область,Курганская область,Уральский федеральный округ,Курган,55.44,65.34,
Курская область,Курская область,Центральный федеральный округ,Курск,51.73,36.19,
Ленинградская область,Ленинградская область,Северо-Западный федеральный округ,Санкт-Петербург,59.94,30.31,
Липецкая область,Липецкая область,Центральный федеральный округ,Липецк,52.61,39.59,
Магаданская область,Магаданская область,Дальневосточный федеральный округ,Магадан,59.57,150.8,
Москва,Москва,Центральный федеральный округ,Москва,55.75,37.62,
Московская область,Московская область,Центральный федеральный округ,Москва,55.75,37.62,
Мурманская область,Мурманская область,Северо-Западный федеральный округ,Мурманск,68.97,33.08,
Ненецкий автономный округ,Ненецкий автономный округ,Северо-Западный федеральный округ,Нарьян-Мар,67.64,53.01,
Нижегородская область,Нижегородская область,Приволжский федеральный округ,Нижний Новгород,56.33,44.01,
Новгородская область,Новгородская область,Северо-Западный федеральный округ,Великий Новгород,58.52,31.28,
Новосибирская область,Новосибирская область,Сибирский федеральный округ,Новосибирск,55.03,82.92,
Омская область,Омская область,Сибирский федеральный округ,Омск,54.99,73.37,
Оренбургская область,Оренбургская область,Приволжский федеральный округ,Оренбург,51.77,55.1,
Орловская область,Орловская область,Центральный федеральный округ,Орел,52.97,36.06,
Пензенская область,Пензенская область,Приволжский федеральный округ,Пенза,53.2,45.0,
Пермский край,Пермский край,Приволжский федеральный округ,Пермь,58.01,56.25,
Приволжский федеральный округ,Приволжский федеральный округ,Приволжский федеральный округ,Нижний Новгород,56.33,44.01,
Приморский край,Приморский край,Дальневосточный федеральный округ,Владивосток,43.12,131.89,
Псковская область,Псковская область,Северо-Западный федеральный округ,Псков,57.82,28.33,
Республика Адыгея,Республика Адыгея,Южный федеральный округ,Майкоп,44.61,40.1,
Республика Алтай,Республика Алтай,Сибирский федеральный округ,Горно-Алтайск,51.96,85.96,
Республика Башкортостан,Республика Башкортостан,Приволжский федеральный округ,Уфа,54.74,55.97,
Республика Бурятия,Республика Бурятия,Дальневосточный федеральный округ,Улан-Удэ,51.83,107.58,
Республика Дагестан,Республика Дагестан,Северо-Кавказский федеральный округ,Махачкала,42.98,47.5,
Республика Ингушетия,Республика Ингушетия,Северо-Кавказский федеральный округ,Магас,43.17,44.82,
Республика Калмыкия,Республика Калмыкия,Южный федеральный округ,Элиста,46.31,44.27,
Республика Карелия,Республика Карелия,Северо-Западный федеральный округ,Петрозаводск,61.79,34.36,
Республика Коми,Республика Коми,Северо-Западный федеральный округ,Сыктывкар,61.67,50.84,
Республика Крым,Республика Крым,Южный федеральный округ,Симферополь,44.95,34.1,
Республика Марий Эл,Республика Марий Эл,Приволжский федеральный округ,Йошкар-Ола,56.63,47.89,
Республика Мордовия,Республика Мордовия,Приволжский федеральный округ,Саранск,54.18,45.18,
Республика Саха (Якутия),Республика Саха (Якутия),Дальневосточный федеральный округ,Якутск,62.03,129.73,
Республика Северная Осетия - Алания,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,Владикавказ,43.02,44.68,
Республика Татарстан,Республика Татарстан,Приволжский федеральный округ,Казань,55.79,49.12,
Республика Тыва,Республика Тыва,Сибирский федеральный округ,Кызыл,51.72,94.44,
Республика Хакасия,Республика Хакасия,Сибирский федеральный округ,Абакан,53.72,91.44,
Российская Федерация,Российская Федерация,РФ,Москва,55.75,37.62,
Ростовская область,Ростовская область,Южный федеральный округ,Ростов-на-Дону,47.23,39.72,
Рязанская область,Рязанская область,Центральный федеральный округ,Рязань,54.63,39.74,
Самарская область,Самарская область,Приволжский федеральный округ,Самара,53.2,50.15,
Санкт-Петербург,Санкт-Петербург,Северо-Западный федеральный округ,Санкт-Петербург,59.94,30.31,
Саратовская область,Саратовская область,Приволжский федеральный округ,Саратов,51.53,46.03,
Сахалинская область,Сахалинская область,Дальневосточный федеральный округ,Южно-Сахалинск,46.96,142.73,
Свердловская область,Свердловская область,Уральский федеральный округ,Екатеринбург,56.84,60.61,
Северо-Западный федеральный округ,Северо-Западный федеральный округ,Северо-Западный федеральный округ,Санкт-Петербург,59.94,30.31,
Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Пятигорск,44.05,43.06,
Сибирский федеральный округ,Сибирский федеральный округ,Сибирский федеральный округ,Новосибирск,55.03,82.92,
Смоленская область,Смоленская область,Центральный федеральный округ,Смоленск,54.78,32.04,
Ставропольский край,Ставропольский край,Северо-Кавказский федеральный округ,Ставрополь,45.04,41.97,
Тамбовская область,Тамбовская область,Центральный федеральный округ,Тамбов,52.72,41.45,
Тверская область,Тверская область,Центральный федеральный округ,Тверь,56.86,35.92,
Томская область,Томская область,Сибирский федеральный округ,Томск,56.48,84.95,
Тульская область,Тульская область,Центральный федеральный округ,Тула,54.2,37.62,
Тюменская область,Тюменская область,Уральский федеральный округ,Тюмень,57.15,65.53,
Удмуртская Республика,Удмуртская Республика,Приволжский федеральный округ,Ижевск,56.85,53.2,
Ульяновская область,Ульяновская область,Приволжский федеральный округ,Ульяновск,54.31,48.4,
Уральский федеральный округ,Уральский федеральный округ,Уральский федеральный округ,Екатеринбург,56.84,60.61,
Хабаровский край,Хабаровский край,Дальневосточный федеральный округ,Хабаровск,48.48,135.08,
Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,Ханты-Мансийск,61.0,69.02,
Центральный федеральный округ,Центральный федеральный округ,Центральный федеральный округ,Москва,55.75,37.62,
Челябинская область,Челябинская область,Уральский федеральный округ,Челябинск,55.16,61.4,
Чеченская Республика,Чеченская Республика,Северо-Кавказский федеральный округ,Грозный,43.32,45.7,
Чувашская Республика,Чувашская Республика,Приволжский федеральный округ,Чебоксары,56.13,47.25,
Чукотский автономный округ,Чукотский автономный округ,Дальневосточный федеральный округ,Анадырь,64.73,177.51,
Южный федеральный округ,Южный федеральный округ,Южный федеральный округ,Ростов-на-Дону,47.23,39.72,
Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ,Уральский федеральный округ,Салехард,66.53,66.61,
Ярославская область,Ярославская область,Центральный федеральный округ,Ярославль,57.63,39.87,
г. Москва,г. Москва,Центральный федеральный округ,Москва,55.75,37.62,
г. Санкт-Петербург,г. Санкт-Петербург,Северо-Западный федеральный округ,Санкт-Петербург,59.94,30.31,
г. Севастополь,г. Севастополь,Южный федеральный округ,Севастополь,44.62,33.53,
