fedstat_name,geo_name,federal_district,capital_city,capital_lat,capital_lon,region_code,region_type,action,note
Алтайский край,Алтайский край,Сибирский федеральный округ,Барнаул,53.3481,83.7836,ALT,subject,keep,совпало со справочником
Амурская область,Амурская область,Дальневосточный федеральный округ,Благовещенск,50.2907,127.5341,AMU,subject,keep,совпало со справочником
Архангельская область,Архангельская область,Северо-Западный федеральный округ,Архангельск,64.5401,40.5433,ARK,subject,keep,совпало со справочником
Астраханская область,Астраханская область,Южный федеральный округ,Астрахань,46.3497,48.0408,AST,subject,keep,совпало со справочником
Белгородская область,Белгородская область,Центральный федеральный округ,Белгород,50.5953,36.5856,BEL,subject,keep,совпало со справочником
Брянская область,Брянская область,Центральный федеральный округ,Брянск,53.2521,34.3654,BRY,subject,keep,совпало со справочником
Владимирская область,Владимирская область,Центральный федеральный округ,Владимир,56.1366,40.4163,VLA,subject,keep,совпало со справочником
Волгоградская область,Волгоградская область,Южный федеральный округ,Волгоград,48.708,44.5018,VGG,subject,keep,совпало со справочником
Вологодская область,Вологодская область,Северо-Западный федеральный округ,Вологда,59.2205,39.8918,VLG,subject,keep,совпало со справочником
Воронежская область,Воронежская область,Центральный федеральный округ,Воронеж,51.6608,39.1843,VOR,subject,keep,совпало со справочником
Город Москва столица Российской Федерации город федерального значения,г. Москва,Центральный федеральный округ,Москва,55.7558,37.6173,MOW,subject_name_variant,map_to_canonical,вариант имени Fedstat
Город Санкт-Петербург город федерального значения,г. Санкт-Петербург,Северо-Западный федеральный округ,Санкт-Петербург,59.9386,30.3141,SPE,subject_name_variant,map_to_canonical,вариант имени Fedstat
Город федерального значения Севастополь,г. Севастополь,Южный федеральный округ,Севастополь,44.6166,33.5253,SEV,subject_name_variant,map_to_canonical,вариант имени Fedstat
Еврейская автономная область,Еврейская автономная область,Дальневосточный федеральный округ,Биробиджан,48.7948,132.9237,YEV,subject,keep,совпало со справочником
Забайкальский край,Забайкальский край,Дальневосточный федеральный округ,Чита,52.0307,113.5006,ZAB,subject,keep,совпало со справочником
Ивановская область,Ивановская область,Центральный федеральный округ,Иваново,57.0006,40.9745,IVA,subject,keep,совпало со справочником
Иркутская область,Иркутская область,Сибирский федеральный округ,Иркутск,52.2978,104.2807,IRK,subject,keep,совпало со справочником
Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,Нальчик,43.4946,43.6155,KB,subject,keep,совпало со справочником
Калининградская область,Калининградская область,Северо-Западный федеральный округ,Калининград,54.7104,20.5114,KGD,subject,keep,совпало со справочником
Калужская область,Калужская область,Центральный федеральный округ,Калуга,54.5293,36.2754,KLU,subject,keep,совпало со справочником
Камчатский край,Камчатский край,Дальневосточный федеральный округ,Петропавловск-Камчатский,53.0382,158.6505,KAM,subject,keep,совпало со справочником
Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,Черкесск,44.2236,42.0568,KC,subject,keep,совпало со справочником
Кемеровская область - Кузбасс,Кемеровская область,Сибирский федеральный округ,Кемерово,55.3547,86.0871,KEM,subject_name_variant,map_to_canonical,вариант имени Fedstat
Кировская область,Кировская область,Приволжский федеральный округ,Киров,58.6035,49.6601,KIR,subject,keep,совпало со справочником
Костромская область,Костромская область,Центральный федеральный округ,Кострома,57.7681,40.9269,KOS,subject,keep,совпало со справочником
Краснодарский край,Краснодарский край,Южный федеральный округ,Краснодар,45.0355,38.975,KDA,subject,keep,совпало со справочником
Красноярский край,Красноярский край,Сибирский федеральный округ,Красноярск,56.0153,92.8932,KYA,subject,keep,совпало со справочником
Курганская область,Курганская область,Уральский федеральный округ,Курган,55.4413,65.3334,KGN,subject,keep,совпало со справочником
Курская область,Курская область,Центральный федеральный округ,Курск,51.7304,36.1873,KRS,subject,keep,совпало со справочником
Ленинградская область,Ленинградская область,Северо-Западный федеральный округ,Гатчина,59.5704,30.1281,LEN,subject,keep,совпало со справочником
Липецкая область,Липецкая область,Центральный федеральный округ,Липецк,52.6088,39.5708,LIP,subject,keep,совпало со справочником
Магаданская область,Магаданская область,Дальневосточный федеральный округ,Магадан,59.5638,150.808,MAG,subject,keep,совпало со справочником
Московская область,Московская область,Центральный федеральный округ,Красногорск,55.8312,37.3299,MOS,subject,keep,совпало со справочником
Мурманская область,Мурманская область,Северо-Западный федеральный округ,Мурманск,68.9585,33.0826,MUR,subject,keep,совпало со справочником
Ненецкий автономный округ (Архангельская область),Ненецкий автономный округ,Северо-Западный федеральный округ,Нарьян-Мар,67.6383,53.0084,NEN,subject_name_variant,map_to_canonical,вариант имени Fedstat
