fedstat_name,geo_name,federal_district,capital_city,capital_lat,capital_lon,region_code,name_short,source
Мурманская область,Мурманская область,Северо-Западный федеральный округ,Мурманск,68.9585,33.0826,MUR,Мурманская,DEEONE ru-subjects.csv
Республика Карелия,Республика Карелия,Северо-Западный федеральный округ,Петрозаводск,61.789,34.3641,KR,Карелия,DEEONE ru-subjects.csv
Калининградская область,Калининградская область,Северо-Западный федеральный округ,Калининград,54.7104,20.5114,KGD,Калининградская,DEEONE ru-subjects.csv
г. Санкт-Петербург,г. Санкт-Петербург,Северо-Западный федеральный округ,Санкт-Петербург,59.9386,30.3141,SPE,Санкт-Петербург,DEEONE ru-subjects.csv
Ленинградская область,Ленинградская область,Северо-Западный федеральный округ,Гатчина,59.5704,30.1281,LEN,Ленинградская,DEEONE ru-subjects.csv
Архангельская область,Архангельская область,Северо-Западный федеральный округ,Архангельск,64.5401,40.5433,ARK,Архангельская,DEEONE ru-subjects.csv
Ненецкий автономный округ,Ненецкий автономный округ,Северо-Западный федеральный округ,Нарьян-Мар,67.6383,53.0084,NEN,Ненецкий АО,DEEONE ru-subjects.csv
Псковская область,Псковская область,Северо-Западный федеральный округ,Псков,57.8136,28.3569,PSK,Псковская,DEEONE ru-subjects.csv
Новгородская область,Новгородская область,Северо-Западный федеральный округ,Великий Новгород,58.5256,31.275,NGR,Новгородская,DEEONE ru-subjects.csv
Вологодская область,Вологодская область,Северо-Западный федеральный округ,Вологда,59.2205,39.8918,VLG,Вологодская,DEEONE ru-subjects.csv
Республика Коми,Республика Коми,Северо-Западный федеральный округ,Сыктывкар,61.6688,50.8088,KO,Коми,DEEONE ru-subjects.csv
Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ,Уральский федеральный округ,Салехард,66.5302,66.5965,YAN,Ямало-Ненецкий АО,DEEONE ru-subjects.csv
Красноярский край,Красноярский край,Сибирский федеральный округ,Красноярск,56.0153,92.8932,KYA,Красноярский,DEEONE ru-subjects.csv
Чукотский АО,Чукотский АО,Дальневосточный федеральный округ,Анадырь,64.7337,177.5103,CHU,Чукотский АО,DEEONE ru-subjects.csv
Камчатский край,Камчатский край,Дальневосточный федеральный округ,Петропавловск-Камчатский,53.0382,158.6505,KAM,Камчатский,DEEONE ru-subjects.csv
г. Москва,г. Москва,Центральный федеральный округ,Москва,55.7558,37.6173,MOW,Москва,DEEONE ru-subjects.csv
Тверская область,Тверская область,Центральный федеральный округ,Тверь,56.8587,35.9176,TVE,Тверская,DEEONE ru-subjects.csv
Ярославская область,Ярославская область,Центральный федеральный округ,Ярославль,57.6261,39.8742,YAR,Ярославская,DEEONE ru-subjects.csv
Ивановская область,Ивановская область,Центральный федеральный округ,Иваново,57.0006,40.9745,IVA,Ивановская,DEEONE ru-subjects.csv
Костромская область,Костромская область,Центральный федеральный округ,Кострома,57.7681,40.9269,KOS,Костромская,DEEONE ru-subjects.csv
Кировская область,Кировская область,Приволжский федеральный округ,Киров,58.6035,49.6601,KIR,Кировская,DEEONE ru-subjects.csv
Пермский край,Пермский край,Приволжский федеральный округ,Пермь,58.0105,56.2502,PER,Пермский,DEEONE ru-subjects.csv
