subject_a,subject_b,n_ways,total_lanes
Алтайский край,Кемеровская область,1,2.0
Алтайский край,Новосибирская область,1,2.0
Алтайский край,Республика Алтай,9,18.0
Амурская область,Еврейская автономная область,1,2.0
Амурская область,Забайкальский край,1,3.0
Амурская область,Республика Саха (Якутия),1,2.0
Архангельская область,Вологодская область,1,2.0
Астраханская область,Волгоградская область,1,2.0
Астраханская область,Республика Калмыкия,4,8.0
Белгородская область,Курская область,1,2.0
Брянская область,Калужская область,1,2.0
Брянская область,Курская область,2,4.0
Брянская область,Орловская область,1,2.0
Брянская область,Смоленская область,1,2.0
Владимирская область,Ивановская область,1,2.0
Владимирская область,Московская область,9,18.0
Владимирская область,Нижегородская область,4,8.0
Владимирская область,Ярославская область,1,2.0
Волгоградская область,Воронежская область,1,2.0
Волгоградская область,Республика Калмыкия,1,2.0
Волгоградская область,Ростовская область,1,2.0
Волгоградская область,Саратовская область,1,2.0
Вологодская область,Костромская область,1,2.0
Вологодская область,Ленинградская область,1,2.0
Вологодская область,Республика Карелия,1,2.0
Вологодская область,Ярославская область,1,2.0
Воронежская область,Курская область,1,2.0
Воронежская область,Липецкая область,2,4.0
Воронежская область,Ростовская область,2,4.0
Воронежская область,Саратовская область,1,2.0
Воронежская область,Тамбовская область,2,4.0
Еврейская автономная область,Хабаровский край,1,2.0
Забайкальский край,Республика Бурятия,1,2.0
Ивановская область,Костромская область,1,2.0
Иркутская область,Красноярский край,1,2.0
Иркутская область,Республика Бурятия,1,2.0
Иркутская область,Республика Саха (Якутия),1,2.0
Кабардино-Балкарская Республика,Республика Северная Осетия - Алания,1,2.0
Кабардино-Балкарская Республика,Ставропольский край,3,6.0
Калужская область,Московская область,4,10.0
Калужская область,Смоленская область,1,2.0
Калужская область,Тульская область,1,2.0
Калужская область,г. Москва,1,2.0
Карачаево-Черкесская Республика,Ставропольский край,1,2.0
Кемеровская область,Красноярский край,1,2.0
Кемеровская область,Новосибирская область,1,2.0
Кемеровская область,Томская область,1,2.0
Кировская область,Костромская область,1,2.0
Кировская область,Пермский край,1,2.0
Кировская область,Республика Коми,1,2.0
Кировская область,Республика Марий Эл,1,2.0
Костромская область,Ярославская область,1,4.0
Краснодарский край,Республика Адыгея,14,30.0
Краснодарский край,Ростовская область,4,9.0
Краснодарский край,Ставропольский край,2,4.0
Красноярский край,Республика Тыва,1,2.0
Красноярский край,Республика Хакасия,3,6.0
Курганская область,Свердловская область,1,2.0
Курганская область,Тюменская область,2,4.0
Курганская область,Челябинская область,1,2.0
Курская область,Орловская область,3,4.0
Ленинградская область,Новгородская область,8,16.0
Ленинградская область,Псковская область,1,3.0
Ленинградская область,Республика Карелия,2,4.0
Ленинградская область,г. Санкт-Петербург,36,115.0
Липецкая область,Орловская область,1,2.0
Липецкая область,Тамбовская область,3,6.0
Липецкая область,Тульская область,2,4.0
Московская область,Рязанская область,1,4.0
Московская область,Смоленская область,2,4.0
Московская область,Тверская область,4,9.0
Московская область,Тульская область,5,12.0
Московская область,г. Москва,67,275.0
Мурманская область,Республика Карелия,1,2.0
Нижегородская область,Республика Мордовия,1,2.0
Нижегородская область,Чувашская Республика,4,8.0
Новгородская область,Тверская область,3,7.0
Новосибирская область,Омская область,1,2.0
Омская область,Тюменская область,1,2.0
Оренбургская область,Республика Башкортостан,2,4.0
Оренбургская область,Республика Татарстан,3,6.0
Оренбургская область,Самарская область,3,6.0
Пензенская область,Республика Мордовия,2,4.0
Пензенская область,Саратовская область,1,2.0
Пензенская область,Тамбовская область,1,2.0
Пензенская область,Ульяновская область,1,2.0
Пермский край,Республика Башкортостан,2,4.0
Пермский край,Свердловская область,4,8.0
Пермский край,Удмуртская Республика,1,2.0
Псковская область,Смоленская область,1,2.0
Псковская область,Тверская область,1,2.0
Республика Башкортостан,Республика Татарстан,3,6.0
Республика Башкортостан,Челябинская область,2,4.0
Республика Дагестан,Республика Калмыкия,1,2.0
Республика Дагестан,Ставропольский край,1,2.0
Республика Дагестан,Чеченская Республика,3,6.0
Республика Ингушетия,Республика Северная Осетия - Алания,2,4.0
Республика Ингушетия,Чеченская Республика,2,6.0
Республика Калмыкия,Ставропольский край,1,2.0
Республика Марий Эл,Республика Татарстан,1,2.0
Республика Марий Эл,Чувашская Республика,2,4.0
Республика Мордовия,Ульяновская область,1,2.0
Республика Татарстан,Удмуртская Республика,2,4.0
Республика Татарстан,Ульяновская область,2,5.0
Республика Татарстан,Чувашская Республика,8,16.0
Ростовская область,Ставропольский край,1,2.0
Рязанская область,Тамбовская область,1,2.0
Самарская область,Саратовская область,1,2.0
Самарская область,Ульяновская область,5,11.0
Саратовская область,Ульяновская область,1,2.0
Свердловская область,Тюменская область,2,4.0
Свердловская область,Ханты-Мансийский автономный округ - Югра,1,2.0
Свердловская область,Челябинская область,2,4.0
Тюменская область,Ханты-Мансийский автономный округ - Югра,4,8.0
Ханты-Мансийский автономный округ - Югра,Ямало-Ненецкий автономный округ,1,2.0
