subject,hotels,restaurants
Алтайский край,272,148
Амурская область,85,63
Архангельская область,131,89
Астраханская область,83,46
Белгородская область,72,107
Брянская область,65,65
Владимирская область,138,145
Волгоградская область,191,109
Вологодская область,168,154
Воронежская область,183,139
Еврейская автономная область,20,15
Забайкальский край,75,35
Ивановская область,66,59
Иркутская область,297,268
Кабардино-Балкарская Республика,111,65
Калининградская область,248,245
Калужская область,142,121
Камчатский край,81,63
Карачаево-Черкесская Республика,353,56
Кемеровская область,188,81
Кировская область,98,53
Костромская область,67,47
Краснодарский край,2135,906
Красноярский край,151,157
Курганская область,47,24
Курская область,56,62
Ленинградская область,228,258
Липецкая область,67,75
Магаданская область,19,23
Московская область,645,1128
Мурманская область,117,90
Ненецкий автономный округ,12,4
Нижегородская область,276,257
Новгородская область,58,58
Новосибирская область,152,188
Омская область,111,103
Оренбургская область,114,106
Орловская область,37,28
Пензенская область,78,66
Пермский край,193,169
Приморский край,265,192
Псковская область,107,70
Республика Адыгея,50,55
Республика Алтай,203,48
Республика Башкортостан,287,227
Республика Бурятия,130,41
Республика Дагестан,157,293
Республика Ингушетия,8,13
Республика Калмыкия,26,21
Республика Карелия,148,78
Республика Коми,89,49
Республика Марий Эл,29,31
Республика Мордовия,45,34
Республика Саха (Якутия),134,96
Республика Северная Осетия - Алания,44,109
Республика Татарстан,298,363
Республика Тыва,20,4
Республика Хакасия,43,9
Ростовская область,309,375
Рязанская область,98,94
Самарская область,237,266
Саратовская область,127,148
Сахалинская область,67,61
Свердловская область,295,402
Смоленская область,84,61
Ставропольский край,233,215
Тамбовская область,61,41
Тверская область,188,136
Томская область,127,93
Тульская область,103,119
Тюменская область,133,145
Удмуртская Республика,91,50
Ульяновская область,55,70
Хабаровский край,139,94
Ханты-Мансийский автономный округ - Югра,229,127
Челябинская область,302,213
Чеченская Республика,30,54
Чувашская Республика,83,72
Чукотский автономный округ,6,4
Ямало-Ненецкий автономный округ,97,54
Ярославская область,189,183
г. Москва,770,2675
г. Санкт-Петербург,988,1475
