period,usd_rub,eur_rub
2014-01,33.7844,46.0588
2014-02,35.244,48.1064
2014-03,36.1986,50.0314
2014-04,35.6677,49.2408
2014-05,34.8337,47.8373
2014-06,34.4495,46.8631
2014-07,34.6354,46.9568
2014-08,36.0984,48.0993
2014-09,37.9018,48.9781
2014-10,40.7987,51.7555
2014-11,46.2175,57.6835
2014-12,55.7704,68.7635
2015-01,65.1531,75.3377
2015-02,64.5182,73.295
2015-03,60.3631,65.4129
2015-04,53.2187,57.3571
2015-05,50.468,56.3063
2015-06,54.449,61.1039
2015-07,57.1797,62.9885
2015-08,65.423,72.8399
2015-09,66.7829,75.0396
2015-10,63.2456,71.0406
2015-11,65.0296,69.8765
2015-12,69.7048,75.7851
2016-01,77.9344,84.7717
2016-02,77.3285,85.954
2016-03,70.4183,78.1484
2016-04,66.6826,75.6065
2016-05,65.8387,74.36
2016-06,65.2193,73.2865
2016-07,64.338,71.1955
2016-08,64.9365,72.7963
2016-09,64.5572,72.3626
2016-10,62.62,69.1254
2016-11,64.3137,69.5389
2016-12,62.0913,65.5193
2017-01,59.6299,63.5634
2017-02,58.5394,62.4011
2017-03,58.0066,62.0003
2017-04,56.4356,60.4609
2017-05,56.9501,62.9553
2017-06,57.8932,64.9659
2017-07,59.6927,68.6209
2017-08,59.6127,70.3716
2017-09,57.7447,68.7917
2017-10,57.6981,67.8553
2017-11,58.9266,69.132
2017-12,58.5739,69.3379
2018-01,56.4981,69.02
2018-02,56.8067,70.3013
2018-03,57.0636,70.3559
2018-04,60.7699,74.6485
2018-05,62.2309,73.5186
2018-06,62.7685,73.2698
2018-07,62.8619,73.4467
2018-08,66.0764,76.2987
2018-09,67.6661,78.8998
2018-10,65.8545,75.7196
2018-11,66.3557,75.4199
2018-12,67.3353,76.6544
2019-01,66.5125,75.9632
2019-02,65.8105,74.7268
2019-03,65.0923,73.6682
2019-04,64.6031,72.623
2019-05,64.8187,72.4945
2019-06,64.169,72.396
2019-07,63.2227,70.9686
2019-08,65.5875,72.9704
2019-09,64.9587,71.5524
2019-10,64.375,71.0582
2019-11,63.8671,70.6082
2019-12,62.9325,69.8919
2020-01,61.8121,68.5708
2020-02,63.9798,69.8526
2020-03,73.7194,81.4928
2020-04,74.7635,81.2117
2020-05,72.5003,78.9671
2020-06,69.1967,77.8865
2020-07,71.2941,81.4883
2020-08,73.7981,87.2802
2020-09,75.728,89.3607
2020-10,77.6635,91.3897
2020-11,76.8395,90.9064
2020-12,74.2167,90.2087
2021-01,74.3925,90.3835
2021-02,74.3168,89.8787
2021-03,74.3971,88.6309
2021-04,76.1439,90.9061
2021-05,74.0043,89.8787
2021-06,72.6169,87.607
2021-07,73.8899,87.3699
2021-08,73.5827,86.5952
2021-09,72.9262,85.9354
2021-10,71.4501,82.9005
2021-11,72.6989,82.8934
2021-12,73.7693,83.3708
2022-01,76.5947,86.8366
2022-02,77.1694,87.4769
2022-03,103.47,114.1815
2022-04,77.8992,84.3528
2022-05,63.3127,65.9733
2022-06,57.1786,60.0074
2022-07,58.2214,59.1692
2022-08,60.3919,61.042
2022-09,59.8215,59.2636
2022-10,61.1158,59.8451
2022-11,60.853,61.9302
2022-12,65.815,69.6299
2023-01,68.876,74.4998
2023-02,72.7828,78.1453
2023-03,76.1036,81.4328
2023-04,80.9955,88.8295
2023-05,79.2126,86.0776
2023-06,83.3193,90.2924
2023-07,90.474,100.0181
2023-08,95.2853,104.0649
2023-09,96.6223,103.3661
2023-10,97.1223,102.5588
2023-11,90.4128,97.5819
2023-12,90.8172,99.1748
2024-01,88.6803,96.7011
2024-02,91.5183,98.7035
2024-03,91.7316,99.6726
2024-04,92.9586,99.7436
2024-05,90.6072,98.0669
2024-06,87.7569,94.5558
2024-07,87.4916,95.0233
2024-08,89.1602,98.081
2024-09,91.2345,101.2303
2024-10,96.1602,105.114
2024-11,100.6874,107.1885
2024-12,102.2596,107.5857
2025-01,100.4121,104.1219
2025-02,92.7423,96.7687
2025-03,86.0234,92.7441
2025-04,83.4256,93.6623
2025-05,80.2048,90.6948
2025-06,78.6679,90.5219
2025-07,78.7724,92.2918
2025-08,80.1278,93.1772
2025-09,82.9708,97.4907
2025-10,80.9214,94.259
2025-11,80.3438,92.9869
2025-12,78.4016,91.8712
2026-01,77.215,90.8532
2026-02,76.9278,91.0506
2026-03,80.5037,93.0318
2026-04,76.8898,89.794
2026-05,72.8112,85.3482
2026-06,73.5829,85.004
2026-07,77.8817,88.866
2026-08,79.4637,91.1925
