target_factor_id,target_name,horizon,correlation,abs_correlation,rmse_z,direction_accuracy,n_eval,selected_body_terms,selected_transport_terms,top_body_candidate,top_body_lag,top_body_correlation,top_overall_candidate,top_overall_role,top_overall_lag,top_overall_transport,recipe_path,scoreboard_path
target_ipc_all,ИПЦ общий,1,0.1583860518405211,0.1583860518405211,1.297361838036169,0.5516453164436401,20999,body_ipc_food_no_alcohol@lag0:1.0; body_ipc_nonfood_broad@lag0:0.855; body_ipc_food_ex_veg_pot_fruit@lag0:0.8498; body_ipc_nonfood_broad@lag1:0.5139; body_ipc_nonfood_broad@lag5:0.3813,same_federal_district@lag4:0.35,body_ipc_food_no_alcohol,0,0.11729377055117891,recipe_plus_transport,transport,4,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h1_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h1_scoreboard.csv
target_ipc_all,ИПЦ общий,2,0.09558866789155657,0.09558866789155657,1.3448926260534297,0.5326575499665296,20914,body_ipc_nonfood_broad@lag0:1.0; body_ipc_food_no_alcohol@lag6:-0.744; body_ipc_nonfood_broad@lag4:0.742; body_ipc_nonfood_broad@lag1:0.7049; body_ipc_nonfood_broad@lag2:0.6695,same_federal_district@lag2:0.35,body_ipc_nonfood_broad,0,0.060272189699643555,recipe_plus_transport,transport,2,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h2_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h2_scoreboard.csv
target_ipc_all,ИПЦ общий,3,0.0859008041061195,0.0859008041061195,1.352076410565775,0.5323827356090066,20829,body_ipc_food_no_alcohol@lag5:-1.0; body_ipc_nonfood_broad@lag3:0.9973; body_ipc_nonfood_broad@lag0:0.9474; body_ipc_nonfood_broad@lag1:0.8998; body_ipc_nonfood_broad@lag2:0.8943,distance_band_800@lag6:0.35,body_ipc_food_no_alcohol,5,-0.04484243164532722,recipe_plus_transport,transport,6,distance_band_800,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h3_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h3_scoreboard.csv
target_ipc_all,ИПЦ общий,6,0.16915155595544162,0.16915155595544162,1.2890362597690006,0.5572307081928188,20164,body_ipc_food_no_alcohol@lag6:1.0; body_ipc_services_broad@lag6:0.6559; body_ipc_food_no_alcohol@lag5:0.519; body_ipc_food_ex_veg_pot_fruit@lag6:0.3333; body_ipc_nonfood_broad@lag6:0.3203,distance_inverse@lag1:0.35,body_ipc_food_no_alcohol,6,0.14274147648308505,recipe_plus_transport,transport,1,distance_inverse,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h6_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_all_h6_scoreboard.csv
target_ipc_food,ИПЦ продовольственных товаров,1,0.1539450428532057,0.1539450428532057,1.300780278830301,0.5477879899042811,20999,body_ipc_food_no_alcohol@lag0:1.0; body_ipc_food_ex_veg_pot_fruit@lag0:0.7406; body_ipc_food_no_alcohol@lag1:-0.4472; body_ipc_food_no_alcohol@lag6:-0.422; body_ipc_food_no_alcohol@lag2:-0.4116,same_federal_district@lag6:0.35,body_ipc_food_no_alcohol,0,0.12408043918464069,recipe_plus_transport,transport,6,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h1_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h1_scoreboard.csv
target_ipc_food,ИПЦ продовольственных товаров,2,0.11861521207500142,0.11861521207500142,1.327661457340392,0.5319986557203898,20829,body_ipc_food_no_alcohol@lag0:-1.0; body_ipc_food_no_alcohol@lag5:-0.9232; body_ipc_food_no_alcohol@lag1:-0.9189; body_ipc_food_no_alcohol@lag6:-0.9147; body_ipc_food_no_alcohol@lag3:-0.7503,same_federal_district@lag6:0.35,body_ipc_food_no_alcohol,0,-0.056214930867132806,recipe_plus_transport,transport,6,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h2_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h2_scoreboard.csv
target_ipc_food,ИПЦ продовольственных товаров,3,0.11440802753020497,0.11440802753020497,1.3308262704005156,0.5323467026610104,20744,body_ipc_food_no_alcohol@lag4:-1.0; body_ipc_food_no_alcohol@lag0:-0.986; body_ipc_food_no_alcohol@lag5:-0.9767; body_ipc_food_no_alcohol@lag2:-0.8121; body_ipc_food_no_alcohol@lag1:-0.7624,same_federal_district@lag6:0.35,body_ipc_food_no_alcohol,4,-0.05276211126264135,recipe_plus_transport,transport,6,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h3_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h3_scoreboard.csv
target_ipc_food,ИПЦ продовольственных товаров,6,0.19910107588529455,0.19910107588529455,1.2655906406890058,0.5614232026941286,20489,body_ipc_food_no_alcohol@lag6:1.0; body_ipc_food_no_alcohol@lag5:0.4625; body_ipc_food_ex_veg_pot_fruit@lag6:0.3344; body_ipc_food_no_alcohol@lag1:-0.2765; body_ipc_food_no_alcohol@lag2:-0.2566,,body_ipc_food_no_alcohol,6,0.19811674521761596,recipe_plus_transport,transport,5,distance_inverse,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h6_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_food_h6_scoreboard.csv
target_ipc_nonfood,ИПЦ непродовольственных товаров,1,0.09035578377588678,0.09035578377588678,1.3487778896245883,0.5247868946140293,20999,body_ipc_food_ex_veg_pot_fruit@lag0:1.0; body_ipc_food_ex_veg_pot_fruit@lag1:0.69; body_ipc_food_no_alcohol@lag0:0.5385; body_ipc_food_ex_veg_pot_fruit@lag2:0.5086; body_ipc_food_no_alcohol@lag2:0.4487,same_federal_district@lag6:0.35,body_ipc_food_ex_veg_pot_fruit,0,0.07521587721397832,recipe_plus_transport,transport,6,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_nonfood_h1_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_nonfood_h1_scoreboard.csv
target_ipc_nonfood,ИПЦ непродовольственных товаров,2,0.06691912158615182,0.06691912158615182,1.3660426518095832,0.5150138663096491,20914,body_ipc_food_ex_veg_pot_fruit@lag0:1.0; body_ipc_food_ex_veg_pot_fruit@lag1:0.7452; body_ipc_food_no_alcohol@lag1:0.6501; body_ipc_food_no_alcohol@lag0:0.5815; body_ipc_motor_fuel@lag3:-0.4938,same_federal_district@lag5:0.35,body_ipc_food_ex_veg_pot_fruit,0,0.05191593769107984,recipe_plus_transport,transport,5,same_federal_district,index_lab_output\auto_selection_v0_sensitivity\target_ipc_nonfood_h2_recipe.json,index_lab_output\auto_selection_v0_sensitivity\target_ipc_nonfood_h2_scoreboard.csv
