candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,6,same_federal_district,0.11440802753020497,20744,0.11440802753020497
recipe_plus_transport,transport,6,distance_band_800,0.11336938340012775,20744,0.11336938340012775
recipe_plus_transport,transport,6,distance_inverse,0.11094030730967355,20744,0.11094030730967355
recipe_plus_transport,transport,2,distance_inverse,0.10786877723213656,20744,0.10786877723213656
recipe_plus_transport,transport,2,same_federal_district,0.10782521917405839,20744,0.10782521917405839
recipe_plus_transport,transport,2,distance_band_800,0.10764052603389657,20744,0.10764052603389657
recipe_plus_transport,transport,3,distance_inverse,0.10635570972932457,20744,0.10635570972932457
recipe_plus_transport,transport,1,distance_inverse,0.10589415960697877,20744,0.10589415960697877
recipe_plus_transport,transport,5,distance_inverse,0.10579366609407694,20744,0.10579366609407694
recipe_plus_transport,transport,3,same_federal_district,0.1044147527950529,20744,0.1044147527950529
recipe_plus_transport,transport,1,same_federal_district,0.1037883173479334,20744,0.1037883173479334
recipe_plus_transport,transport,3,distance_band_800,0.10369054951926837,20744,0.10369054951926837
recipe_plus_transport,transport,5,same_federal_district,0.10346557251926652,20744,0.10346557251926652
recipe_plus_transport,transport,5,distance_band_800,0.10270016094128702,20744,0.10270016094128702
recipe_plus_transport,transport,1,distance_band_800,0.10268623608045024,20744,0.10268623608045024
recipe_plus_transport,transport,4,distance_inverse,0.10241433902782061,20744,0.10241433902782061
recipe_plus_transport,transport,4,same_federal_district,0.09512687178517874,20744,0.09512687178517874
recipe_plus_transport,transport,4,distance_band_800,0.09497722279621484,20744,0.09497722279621484
body_ipc_food_no_alcohol,body,4,,-0.05276211126264135,20404,0.05276211126264135
body_ipc_food_no_alcohol,body,0,,-0.05202384233330966,20744,0.05202384233330966
body_ipc_food_no_alcohol,body,5,,-0.05153507741887265,20319,0.05153507741887265
body_ipc_food_no_alcohol,body,2,,-0.042850304263446076,20574,0.042850304263446076
body_ipc_food_no_alcohol,body,1,,-0.04022774910540339,20659,0.04022774910540339
body_ipc_food_ex_veg_pot_fruit,body,3,,0.033051409162893376,20574,0.033051409162893376
body_ipc_food_no_alcohol,body,3,,-0.02677926723741916,20489,0.02677926723741916
body_ipc_food_ex_veg_pot_fruit,body,6,,-0.025856735009768986,20319,0.025856735009768986
body_ipc_food_no_alcohol,body,6,,-0.025068171463440512,20234,0.025068171463440512
body_ipc_diesel,body,0,,-0.024186118272103714,16869,0.024186118272103714
body_ipc_food_ex_veg_pot_fruit,body,5,,-0.022589940818780078,20404,0.022589940818780078
body_ipc_nonfood_broad,body,6,,0.018857790690640246,20234,0.018857790690640246
body_ipc_nonfood_broad,body,3,,0.01872744885107411,20489,0.01872744885107411
body_ipc_nonfood_broad,body,1,,0.01698623388741273,20659,0.01698623388741273
body_ipc_services_broad,body,1,,-0.016823805233545756,20659,0.016823805233545756
body_ipc_rail_transport,body,6,,0.01658011013632311,18890,0.01658011013632311
body_ipc_food_ex_veg_pot_fruit,body,2,,0.016576184629271885,20659,0.016576184629271885
body_ipc_food_ex_veg_pot_fruit,body,4,,-0.016216082851581437,20489,0.016216082851581437
body_ipc_nonfood_broad,body,2,,0.015322246694090427,20574,0.015322246694090427
body_ipc_rail_transport,body,0,,-0.014691340948284622,19376,0.014691340948284622
body_ipc_diesel,body,5,,0.01465834462033815,16444,0.01465834462033815
body_ipc_diesel,body,4,,0.013817987257473022,16529,0.013817987257473022
body_ipc_nonfood_broad,body,5,,0.012491685479618299,20319,0.012491685479618299
body_ipc_passenger_transport,body,1,,-0.012354152067022221,20744,0.012354152067022221
body_ipc_services_broad,body,4,,0.01233180732701665,20404,0.01233180732701665
body_ipc_passenger_transport,body,4,,0.01222674478305829,20489,0.01222674478305829
