candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,6,same_federal_district,0.09035578377588678,20999,0.09035578377588678
recipe_plus_transport,transport,5,same_federal_district,0.08975098408597564,20999,0.08975098408597564
recipe_plus_transport,transport,4,distance_band_800,0.08934634615727749,20999,0.08934634615727749
recipe_plus_transport,transport,4,same_federal_district,0.0893120691633293,20999,0.0893120691633293
recipe_plus_transport,transport,5,distance_band_800,0.08891395502645019,20999,0.08891395502645019
recipe_plus_transport,transport,6,distance_band_800,0.08836054277124629,20999,0.08836054277124629
recipe_plus_transport,transport,6,distance_inverse,0.08791125003376996,20999,0.08791125003376996
recipe_plus_transport,transport,5,distance_inverse,0.08775634693417725,20999,0.08775634693417725
recipe_plus_transport,transport,3,distance_band_800,0.0877310292692388,20999,0.0877310292692388
recipe_plus_transport,transport,2,distance_band_800,0.08765975958005597,20999,0.08765975958005597
recipe_plus_transport,transport,4,distance_inverse,0.08732243813720833,20999,0.08732243813720833
recipe_plus_transport,transport,2,same_federal_district,0.08702305521144056,20999,0.08702305521144056
recipe_plus_transport,transport,3,same_federal_district,0.0868293580409811,20999,0.0868293580409811
recipe_plus_transport,transport,2,distance_inverse,0.08645355210870073,20999,0.08645355210870073
recipe_plus_transport,transport,3,distance_inverse,0.08636296266404207,20999,0.08636296266404207
recipe_plus_transport,transport,1,distance_inverse,0.08596400816342052,20999,0.08596400816342052
recipe_plus_transport,transport,1,distance_band_800,0.0855642001787087,20999,0.0855642001787087
recipe_plus_transport,transport,1,same_federal_district,0.08548771107871395,20999,0.08548771107871395
body_ipc_food_ex_veg_pot_fruit,body,0,,0.07521587721397832,20914,0.07521587721397832
body_ipc_food_ex_veg_pot_fruit,body,1,,0.051901995783085735,20829,0.051901995783085735
body_ipc_food_no_alcohol,body,0,,0.040504576245061916,20999,0.040504576245061916
body_ipc_food_ex_veg_pot_fruit,body,2,,0.03825240091608855,20744,0.03825240091608855
body_ipc_food_no_alcohol,body,2,,0.033753060619778695,20829,0.033753060619778695
body_ipc_food_no_alcohol,body,1,,0.03019081467610492,20914,0.03019081467610492
body_ipc_motor_fuel,body,4,,-0.025635443018451762,16699,0.025635443018451762
body_ipc_food_ex_veg_pot_fruit,body,6,,0.02438929392600303,20404,0.02438929392600303
body_ipc_motor_fuel,body,1,,-0.024308247841904263,16954,0.024308247841904263
body_ipc_diesel,body,4,,-0.02303217716512379,16699,0.02303217716512379
body_ipc_motor_fuel,body,5,,-0.021960498200175226,16614,0.021960498200175226
body_ipc_gasoline,body,1,,-0.021843610546552834,20914,0.021843610546552834
body_ipc_services_broad,body,0,,0.021390712259287754,20914,0.021390712259287754
body_ipc_food_ex_veg_pot_fruit,body,5,,0.02098457713238908,20489,0.02098457713238908
body_ipc_food_ex_veg_pot_fruit,body,4,,0.020688967283049278,20574,0.020688967283049278
body_ipc_motor_fuel,body,3,,-0.02035097944430076,16784,0.02035097944430076
body_ipc_rail_transport,body,4,,0.02007149156284107,19212,0.02007149156284107
body_ipc_motor_fuel,body,0,,0.019854474983704268,17039,0.019854474983704268
body_ipc_food_no_alcohol,body,6,,0.019276804450136506,20489,0.019276804450136506
body_ipc_food_ex_veg_pot_fruit,body,3,,0.01813721952184101,20659,0.01813721952184101
body_ipc_motor_fuel,body,6,,-0.01740901771818127,16529,0.01740901771818127
body_ipc_diesel,body,1,,-0.017333575112941525,16954,0.017333575112941525
body_ipc_diesel,body,2,,-0.017102955284039427,16869,0.017102955284039427
body_ipc_gasoline,body,3,,-0.015589617431086316,20744,0.015589617431086316
body_ipc_passenger_transport,body,4,,-0.014934806144961864,20659,0.014934806144961864
body_ipc_gasoline,body,0,,0.014384934458550483,20999,0.014384934458550483
body_ipc_gasoline,body,6,,-0.013974982913114395,20489,0.013974982913114395
body_ipc_passenger_transport,body,0,,0.013534255971079387,20999,0.013534255971079387
body_ipc_gasoline,body,4,,-0.013489862856696037,20659,0.013489862856696037
body_ipc_services_broad,body,2,,-0.012936103436998582,20744,0.012936103436998582
body_ipc_rail_transport,body,3,,0.012729671661424908,19293,0.012729671661424908
body_ipc_passenger_transport,body,6,,-0.012188413708297928,20489,0.012188413708297928
body_ipc_gasoline,body,5,,-0.01124279485950074,20574,0.01124279485950074
body_ipc_diesel,body,5,,-0.011218383571396569,16614,0.011218383571396569
body_ipc_motor_fuel,body,2,,-0.01100868500821871,16869,0.01100868500821871
body_ipc_food_no_alcohol,body,4,,0.009375767941609065,20659,0.009375767941609065
body_ipc_rail_transport,body,5,,-0.009024109989019341,19131,0.009024109989019341
body_ipc_passenger_transport,body,1,,-0.008822111452284736,20914,0.008822111452284736
body_ipc_food_no_alcohol,body,3,,0.008795026710022512,20744,0.008795026710022512
body_ipc_food_no_alcohol,body,5,,0.00852451682279924,20574,0.00852451682279924
body_ipc_diesel,body,3,,-0.007557398524532141,16784,0.007557398524532141
body_ipc_diesel,body,6,,-0.007520077143297293,16529,0.007520077143297293
body_ipc_gasoline,body,2,,-0.0058616524717956826,20829,0.0058616524717956826
body_ipc_services_broad,body,3,,-0.004837422937830325,20659,0.004837422937830325
body_ipc_services_broad,body,5,,0.00424794016445725,20489,0.00424794016445725
body_ipc_rail_transport,body,1,,-0.0037819683042248733,19455,0.0037819683042248733
body_ipc_passenger_transport,body,3,,-0.0031754129817719904,20744,0.0031754129817719904
body_ipc_services_broad,body,6,,-0.0026661077336847007,20404,0.0026661077336847007
body_ipc_rail_transport,body,0,,-0.0021555330451037604,19536,0.0021555330451037604
body_ipc_rail_transport,body,2,,-0.0014308243633430393,19374,0.0014308243633430393
body_ipc_passenger_transport,body,5,,0.0011584161735992279,20574,0.0011584161735992279
body_ipc_rail_transport,body,6,,-0.001153003032816349,19050,0.001153003032816349
body_ipc_passenger_transport,body,2,,0.0010063857355589213,20829,0.0010063857355589213
body_ipc_diesel,body,0,,0.0008885753332358914,17039,0.0008885753332358914
body_ipc_services_broad,body,4,,-0.0002410984901520264,20574,0.0002410984901520264
body_ipc_services_broad,body,1,,0.00019509985796998334,20829,0.00019509985796998334
