candidate,role,lag,transport,correlation,n_eval,score
recipe_plus_transport,transport,6,same_federal_district,0.06644431506647143,20999,0.06644431506647143
recipe_plus_transport,transport,5,distance_band_800,0.06597958857124084,20999,0.06597958857124084
recipe_plus_transport,transport,6,distance_band_800,0.06580172430153713,20999,0.06580172430153713
recipe_plus_transport,transport,5,same_federal_district,0.06562651197874841,20999,0.06562651197874841
recipe_plus_transport,transport,5,distance_inverse,0.06504431050544349,20999,0.06504431050544349
recipe_plus_transport,transport,1,distance_band_800,0.0647456699111753,20999,0.0647456699111753
recipe_plus_transport,transport,6,distance_inverse,0.06473646730060753,20999,0.06473646730060753
recipe_plus_transport,transport,2,distance_band_800,0.06461093875284074,20999,0.06461093875284074
recipe_plus_transport,transport,1,same_federal_district,0.06450076744702592,20999,0.06450076744702592
recipe_plus_transport,transport,4,distance_band_800,0.064367683555127,20999,0.064367683555127
recipe_plus_transport,transport,3,distance_band_800,0.06430335989989899,20999,0.06430335989989899
recipe_plus_transport,transport,2,distance_inverse,0.06429713870692606,20999,0.06429713870692606
recipe_plus_transport,transport,4,distance_inverse,0.06410715760232745,20999,0.06410715760232745
recipe_plus_transport,transport,1,distance_inverse,0.06409383692289415,20999,0.06409383692289415
recipe_plus_transport,transport,3,distance_inverse,0.06381812465313816,20999,0.06381812465313816
recipe_plus_transport,transport,2,same_federal_district,0.06313292085067244,20999,0.06313292085067244
recipe_plus_transport,transport,4,same_federal_district,0.06212384599280106,20999,0.06212384599280106
recipe_plus_transport,transport,3,same_federal_district,0.0618300505119532,20999,0.0618300505119532
body_ipc_passenger_transport,body,2,,-0.041622045523493974,20829,0.041622045523493974
body_ipc_passenger_transport,body,1,,-0.03581476326661004,20914,0.03581476326661004
body_ipc_food_no_alcohol,body,0,,0.021339178788789784,20914,0.021339178788789784
body_ipc_rail_transport,body,2,,-0.0207049158722976,19454,0.0207049158722976
body_ipc_passenger_transport,body,3,,-0.020169858603904123,20744,0.020169858603904123
body_ipc_rail_transport,body,4,,-0.019751810752852858,19292,0.019751810752852858
body_ipc_diesel,body,1,,0.018920498719967777,16954,0.018920498719967777
body_ipc_gasoline,body,0,,0.016520070477114318,20999,0.016520070477114318
body_ipc_rail_transport,body,1,,-0.016223668091662393,19535,0.016223668091662393
body_ipc_rail_transport,body,5,,0.01596926579889636,19211,0.01596926579889636
body_ipc_food_no_alcohol,body,4,,0.014909526024130829,20574,0.014909526024130829
body_ipc_diesel,body,4,,-0.014272055125936083,16699,0.014272055125936083
body_ipc_food_ex_veg_pot_fruit,body,0,,0.012859802309222602,20914,0.012859802309222602
body_ipc_diesel,body,3,,-0.012227740760401909,16784,0.012227740760401909
body_ipc_nonfood_broad,body,0,,0.0116265854272856,20914,0.0116265854272856
body_ipc_food_ex_veg_pot_fruit,body,4,,0.011394992962548207,20574,0.011394992962548207
body_ipc_nonfood_broad,body,2,,0.01118771066594361,20744,0.01118771066594361
body_ipc_motor_fuel,body,5,,-0.011150607516860036,16529,0.011150607516860036
body_ipc_diesel,body,0,,0.010845126570141084,17039,0.010845126570141084
body_ipc_passenger_transport,body,4,,-0.010750173463698907,20659,0.010750173463698907
body_ipc_food_ex_veg_pot_fruit,body,1,,-0.009888557791999455,20829,0.009888557791999455
body_ipc_food_no_alcohol,body,3,,0.009858419200636648,20659,0.009858419200636648
body_ipc_rail_transport,body,6,,0.009345148107126952,19130,0.009345148107126952
body_ipc_food_no_alcohol,body,2,,0.008579693399961105,20744,0.008579693399961105
body_ipc_food_ex_veg_pot_fruit,body,2,,0.008425439361086515,20744,0.008425439361086515
body_ipc_motor_fuel,body,0,,0.008356683396897296,16954,0.008356683396897296
body_ipc_food_ex_veg_pot_fruit,body,5,,0.008349325099752697,20489,0.008349325099752697
body_ipc_food_no_alcohol,body,5,,-0.008098183768253189,20489,0.008098183768253189
body_ipc_nonfood_broad,body,5,,0.008030863814787658,20489,0.008030863814787658
body_ipc_food_no_alcohol,body,1,,-0.007620982899200652,20829,0.007620982899200652
body_ipc_gasoline,body,5,,-0.00754392239846591,20574,0.00754392239846591
body_ipc_gasoline,body,2,,0.007268395877076983,20829,0.007268395877076983
body_ipc_food_no_alcohol,body,6,,-0.0065560443363219785,20404,0.0065560443363219785
body_ipc_food_ex_veg_pot_fruit,body,6,,-0.006474213460716569,20404,0.006474213460716569
body_ipc_nonfood_broad,body,6,,0.006456548820009892,20404,0.006456548820009892
body_ipc_gasoline,body,4,,-0.006102447710948885,20659,0.006102447710948885
body_ipc_rail_transport,body,0,,0.006053713136586859,19616,0.006053713136586859
body_ipc_gasoline,body,6,,0.005937245404026393,20489,0.005937245404026393
body_ipc_passenger_transport,body,0,,-0.0058725344261920985,20999,0.0058725344261920985
body_ipc_diesel,body,5,,-0.005631128425173204,16614,0.005631128425173204
body_ipc_passenger_transport,body,5,,-0.003820693146989553,20574,0.003820693146989553
body_ipc_motor_fuel,body,6,,0.0037758331999192944,16444,0.0037758331999192944
body_ipc_nonfood_broad,body,4,,0.003621884948494663,20574,0.003621884948494663
body_ipc_motor_fuel,body,4,,-0.003527240517053873,16614,0.003527240517053873
body_ipc_passenger_transport,body,6,,0.0028326735332691957,20489,0.0028326735332691957
body_ipc_gasoline,body,3,,-0.0021772731996965783,20744,0.0021772731996965783
body_ipc_gasoline,body,1,,0.002042148896547329,20914,0.002042148896547329
body_ipc_motor_fuel,body,2,,0.00189872791534655,16784,0.00189872791534655
body_ipc_motor_fuel,body,1,,0.0018633460249298103,16869,0.0018633460249298103
body_ipc_diesel,body,6,,0.0011614997780093604,16529,0.0011614997780093604
body_ipc_nonfood_broad,body,1,,-0.000963766293637389,20829,0.000963766293637389
body_ipc_rail_transport,body,3,,-0.0008358321859490351,19373,0.0008358321859490351
body_ipc_food_ex_veg_pot_fruit,body,3,,0.0008312188169245877,20659,0.0008312188169245877
body_ipc_nonfood_broad,body,3,,0.0006700338568603646,20659,0.0006700338568603646
body_ipc_diesel,body,2,,0.0005638589069144874,16869,0.0005638589069144874
body_ipc_motor_fuel,body,3,,-0.00032896703197273777,16699,0.00032896703197273777
