model,term,coef,se,t,p
M0_local,own_l1,0.10064,0.01838,5.477,0.0
M0_local,own_l2,-0.05535,0.01103,-5.019,0.0
M0_local,own_l3,-0.06983,0.0143,-4.882,0.0
M0_local,own_l6,-0.02731,0.01268,-2.154,0.03128
M1_fd,own_l1,0.05727,0.01698,3.372,0.00075
M1_fd,own_l2,-0.04519,0.01334,-3.387,0.00071
M1_fd,own_l3,-0.04583,0.01705,-2.687,0.00722
M1_fd,own_l6,-0.04249,0.01344,-3.161,0.00157
M1_fd,fd_l1,0.21304,0.03926,5.427,0.0
M1_fd,fd_l2,-0.08249,0.02373,-3.476,0.00051
M1_fd,fd_l3,-0.07023,0.03293,-2.132,0.033
M1_fd,fd_l6,0.04444,0.02859,1.555,0.12003
M2_dist,own_l1,0.06268,0.0189,3.317,0.00091
M2_dist,own_l2,-0.04453,0.0142,-3.135,0.00172
M2_dist,own_l3,-0.04683,0.0174,-2.692,0.00711
M2_dist,own_l6,-0.05126,0.01191,-4.305,2e-05
M2_dist,dist_l1,0.46563,0.081,5.748,0.0
M2_dist,dist_l2,-0.21235,0.05869,-3.618,0.0003
M2_dist,dist_l3,-0.12738,0.08308,-1.533,0.12523
M2_dist,dist_l6,0.20289,0.05441,3.729,0.00019
M3_adj,own_l1,0.06572,0.0165,3.983,7e-05
M3_adj,own_l2,-0.04804,0.01281,-3.749,0.00018
M3_adj,own_l3,-0.05738,0.01517,-3.781,0.00016
M3_adj,own_l6,-0.03162,0.01433,-2.208,0.0273
M3_adj,adj_l1,0.1823,0.01826,9.983,0.0
M3_adj,adj_l2,-0.07148,0.02299,-3.109,0.00188
M3_adj,adj_l3,-0.01594,0.0186,-0.857,0.39162
M3_adj,adj_l6,0.0108,0.0229,0.472,0.63725
