model,term,coef,se,t,p
C0_base,own_l1,0.06014,0.01926,3.122,0.0018
C0_base,own_l2,-0.03523,0.01381,-2.55,0.01078
C0_base,own_l3,-0.0508,0.01673,-3.037,0.00239
C0_base,own_l6,-0.05354,0.01375,-3.894,0.0001
C0_base,adj_l1,0.18916,0.02813,6.724,0.0
C0_base,adj_l2,-0.09257,0.02774,-3.337,0.00085
C0_base,adj_l3,-0.01149,0.02449,-0.469,0.63898
C0_base,adj_l6,0.04631,0.0166,2.789,0.0053
C1_own_weather,own_l1,0.06125,0.01932,3.17,0.00153
C1_own_weather,own_l2,-0.03533,0.01383,-2.555,0.01065
C1_own_weather,own_l3,-0.05082,0.01659,-3.064,0.00219
C1_own_weather,own_l6,-0.05274,0.01381,-3.82,0.00013
C1_own_weather,adj_l1,0.19254,0.02824,6.818,0.0
C1_own_weather,adj_l2,-0.0939,0.02807,-3.346,0.00082
C1_own_weather,adj_l3,-0.01187,0.02439,-0.487,0.62646
C1_own_weather,adj_l6,0.04644,0.01678,2.768,0.00566
C1_own_weather,wx_l0,-0.01141,0.00287,-3.976,7e-05
C1_own_weather,wx_l1,0.01271,0.00276,4.607,0.0
C2_neighbor_weather,own_l1,0.06059,0.0193,3.139,0.0017
C2_neighbor_weather,own_l2,-0.03449,0.01395,-2.472,0.01346
C2_neighbor_weather,own_l3,-0.05117,0.01658,-3.086,0.00203
C2_neighbor_weather,own_l6,-0.05257,0.01388,-3.788,0.00015
C2_neighbor_weather,adj_l1,0.18964,0.02815,6.737,0.0
C2_neighbor_weather,adj_l2,-0.09047,0.02804,-3.226,0.00126
C2_neighbor_weather,adj_l3,-0.01285,0.02435,-0.528,0.59769
C2_neighbor_weather,adj_l6,0.04732,0.01682,2.814,0.0049
C2_neighbor_weather,wx_l0,-0.01171,0.0027,-4.335,1e-05
C2_neighbor_weather,wx_l1,0.01664,0.00852,1.952,0.05097
C2_neighbor_weather,nbwx_l1,-0.00645,0.00998,-0.646,0.51836
C2_neighbor_weather,nbwx_l2,0.01079,0.00291,3.711,0.00021
