model,term,coef,se,t,p
E0_base,own_l1,0.0577,0.02078,2.776,0.00551
E0_base,own_l2,-0.03848,0.01375,-2.799,0.00514
E0_base,own_l3,-0.05481,0.01656,-3.309,0.00094
E0_base,own_l6,-0.04858,0.01612,-3.013,0.0026
E0_base,adj_l1,0.18369,0.02885,6.367,0.0
E0_base,adj_l2,-0.10415,0.03078,-3.384,0.00072
E0_base,adj_l3,-0.02443,0.02425,-1.007,0.3138
E0_base,adj_l6,0.04314,0.01756,2.457,0.01403
E1_utilities,own_l1,0.0575,0.02067,2.782,0.00542
E1_utilities,own_l2,-0.03804,0.01389,-2.737,0.00621
E1_utilities,own_l3,-0.05459,0.01658,-3.292,0.001
E1_utilities,own_l6,-0.04839,0.01616,-2.994,0.00276
E1_utilities,adj_l1,0.18341,0.02882,6.364,0.0
E1_utilities,adj_l2,-0.10271,0.03027,-3.393,0.00069
E1_utilities,adj_l3,-0.02482,0.02423,-1.024,0.30569
E1_utilities,adj_l6,0.04538,0.01795,2.528,0.01148
E1_utilities,util_l0,-0.0142,0.0107,-1.328,0.18436
E1_utilities,util_l1,-0.02209,0.01358,-1.627,0.10381
E2_moderators,own_l1,0.05588,0.01963,2.846,0.00443
E2_moderators,own_l2,-0.03805,0.01422,-2.675,0.00748
E2_moderators,own_l3,-0.05482,0.01638,-3.347,0.00082
E2_moderators,own_l6,-0.05006,0.01607,-3.115,0.00185
E2_moderators,adj_l1,0.17309,0.02782,6.221,0.0
E2_moderators,adj_l2,-0.10758,0.03005,-3.58,0.00035
E2_moderators,adj_l3,-0.02709,0.02416,-1.121,0.26231
E2_moderators,adj_l6,0.04318,0.018,2.399,0.01647
E2_moderators,util_l0,-0.01369,0.01051,-1.303,0.1927
E2_moderators,util_l1,-0.0223,0.01344,-1.659,0.0971
E2_moderators,adjXtour,0.00494,0.00485,1.018,0.30879
E2_moderators,adjXolder,0.0163,0.01651,0.987,0.32348
E2_moderators,adjXagri,0.02215,0.00528,4.196,3e-05
E3_weather_robust,own_l1,0.05644,0.01968,2.868,0.00414
E3_weather_robust,own_l2,-0.03779,0.01426,-2.65,0.00807
E3_weather_robust,own_l3,-0.05491,0.01624,-3.38,0.00073
E3_weather_robust,own_l6,-0.04923,0.01614,-3.049,0.0023
E3_weather_robust,adj_l1,0.1752,0.02798,6.261,0.0
E3_weather_robust,adj_l2,-0.10776,0.03014,-3.576,0.00035
E3_weather_robust,adj_l3,-0.02811,0.02432,-1.156,0.24777
E3_weather_robust,adj_l6,0.04334,0.01819,2.382,0.01724
E3_weather_robust,util_l0,-0.01385,0.01061,-1.306,0.19166
E3_weather_robust,util_l1,-0.02218,0.01335,-1.662,0.09661
E3_weather_robust,adjXtour,0.005,0.00487,1.026,0.30507
E3_weather_robust,adjXolder,0.01592,0.01663,0.958,0.33829
E3_weather_robust,adjXagri,0.02253,0.00534,4.215,3e-05
E3_weather_robust,wx_l0,-0.01107,0.00278,-3.974,7e-05
E3_weather_robust,wx_l1,0.01141,0.00907,1.257,0.20867
E3_weather_robust,nbwx_l1,0.00013,0.01062,0.012,0.99034
