subject,n_neighbours,out_influence,in_influence,net,activity,class
Омская область,3,0.1449,-0.1358,0.2807,0.0045,источник
Республика Дагестан,3,0.1661,-0.0405,0.2066,0.0628,источник
Амурская область,4,0.2933,0.0913,0.202,0.1923,источник
Алтайский край,3,0.0865,-0.0791,0.1656,0.0037,источник
Республика Башкортостан,6,0.1194,-0.038,0.1574,0.0407,источник
Чувашская Республика,5,0.1469,-0.0044,0.1513,0.0713,источник
Пензенская область,5,0.1395,-0.0064,0.1458,0.0665,источник
Кировская область,9,0.1101,-0.0323,0.1424,0.0389,источник
Курская область,5,0.1106,-0.0247,0.1353,0.043,источник
Самарская область,4,0.1087,-0.0265,0.1352,0.0411,источник
Чеченская Республика,4,0.1579,0.0247,0.1332,0.0913,источник
Карачаево-Черкесская Республика,3,0.1984,0.0691,0.1293,0.1338,источник
Республика Тыва,5,0.0254,-0.0987,0.1241,-0.0367,источник
Смоленская область,5,0.0751,-0.0484,0.1235,0.0133,источник
Магаданская область,4,0.2296,0.1081,0.1216,0.1689,источник
Липецкая область,6,0.1157,-0.0025,0.1182,0.0566,источник
Владимирская область,5,0.0847,-0.0331,0.1178,0.0258,источник
Кемеровская область,6,0.0535,-0.0556,0.1091,-0.0011,источник
Оренбургская область,5,0.0858,-0.005,0.0908,0.0404,источник
Ленинградская область,5,0.1042,0.0192,0.085,0.0617,источник
Забайкальский край,4,0.2244,0.1413,0.0831,0.1828,источник
Волгоградская область,5,0.0864,0.0062,0.0802,0.0463,нейтральный
Ульяновская область,6,0.0957,0.0179,0.0778,0.0568,транзит
Краснодарский край,4,0.1161,0.0398,0.0763,0.078,транзит
Ненецкий автономный округ,3,0.0994,0.0238,0.0756,0.0616,транзит
Красноярский край,8,0.0104,-0.064,0.0743,-0.0268,нейтральный
Республика Калмыкия,5,0.1531,0.0824,0.0707,0.1178,транзит
Свердловская область,7,0.0849,0.0288,0.0562,0.0568,транзит
Камчатский край,2,0.2169,0.1632,0.0537,0.1901,транзит
Республика Марий Эл,4,0.1046,0.0533,0.0512,0.079,транзит
